Date,Close,High,Low,Open,Volume,NI,XA,OD,YB,QA,DR,SQ,YP,HP,XC,LG,KK,XL,YJ,DH,AZ,MG,CP,BK,RO,IN,RS,YU,AK,AT,ZP,TP,EP,CD,SF,IU,PD,BQ,AG,KI,GR,CC,FZ,SH,JB,FS,SA,AI,LS,DU,ZR,PO,SS,ES,IF,AF,IT,BB,DX,HD,PC,PG,RB,AO,MI,AR
2026-07-13,74.0,76.0,73.0,76.0,46739000,0.0615,-0.0034,0.0333,0.0252,-0.0241,0.0285,0.0473,0.2608,0.0,0.0097,0.038,0.0447,0.047,-0.0029,-0.06,-0.0236,-0.0026,-0.065,-0.0252,0.0057,-0.0002,0.0,0.0019,-0.7484,0.0428,0.0015,0.0083,0.0009,0.0,0.0,0.0,0.0518,0.033,0.0054,0.004,0.025,0.1716,0.0,0.0,0.0,0.0,0.0,0.0,0.0052,0.0,0.0,0.0,0.0,0.0,0.0007,0.0,0.0,0.0,-0.0001,0.0007,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-14,75.0,77.0,74.0,74.0,48585500,-0.0166,-0.0004,-0.0093,0.0099,-0.0001,-0.0121,-0.2686,0.1533,0.04,0.1458,0.048,0.0019,-0.0974,0.0034,0.0187,0.004,0.018,-0.27,0.0239,-0.0002,0.018,0.0,0.0003,-0.6309,-0.0512,0.1698,-0.0063,-0.0288,0.0,0.0,0.0023,0.1934,0.0283,0.0,-0.0024,-0.3497,0.9462,-0.0023,0.0,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,0.0,0.0,0.0,0.0113,0.0,0.0,-0.0927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-15,75.0,76.0,74.0,75.0,28677900,0.172,-0.0,0.1144,-0.0001,-0.0002,0.0034,-0.0025,0.0645,0.0023,0.0389,0.0013,0.0184,0.134,0.0,0.0006,-0.0859,0.0203,0.0115,0.0,0.0,-0.018,0.0074,-0.225,-0.1955,0.0016,-0.057,0.0188,0.0047,0.0,0.0,0.0033,-0.0062,0.0106,0.0,0.0,0.0039,-0.1227,0.0038,0.0,0.0,0.041,0.0,0.0,0.0,0.0007,0.0,0.0,0.0038,0.0248,-0.0075,-0.0059,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-16,77.0,78.0,74.0,75.0,82095800,-0.0065,-0.0006,0.0216,-0.0127,0.0001,0.0016,0.0322,0.1907,0.0116,0.2279,0.0365,0.02,0.5669,0.0,0.0186,0.0029,0.0286,-0.1361,0.0,0.0013,0.0031,-0.0075,-0.0351,-0.744,-0.0094,0.3467,0.01,0.0088,0.0039,0.0,0.0193,0.113,-0.0725,0.0,0.0002,-0.1045,-0.521,-0.0038,0.0077,0.001,-0.0465,-0.0008,0.0278,-0.0002,-0.0002,-0.0008,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-17,77.0,77.0,75.0,77.0,34879500,-0.0447,0.0028,-0.0023,0.03,-0.0001,0.0167,0.0074,0.0365,-0.0084,0.1393,0.0,-0.2684,-0.1065,-0.0001,0.001,-0.0,0.0149,0.0868,-0.0517,-0.0009,-0.003,-0.0001,0.152,-0.2113,-0.0009,-0.0236,0.1144,0.007,-0.0038,0.076,-0.0007,-0.0333,-0.0063,0.0005,0.0002,-0.032,0.1128,-0.0003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,78.0,78.0,76.0,77.0,46057700,-0.1111,0.0,0.0,0.0849,0.0002,-0.0387,-0.0539,-0.0003,0.002,-0.19,0.0373,0.05,-0.0622,-0.0005,-0.0025,-0.0024,0.0924,-0.1464,0.0,0.0012,0.0,0.0,0.0,-0.1217,0.0008,-0.2017,-0.0188,0.0026,0.0,0.0,0.0,0.5173,0.0081,0.0012,0.0,-0.0576,0.1698,0.0,0.0,0.0,-0.0259,0.0,0.054,0.0,-0.0006,0.0,0.0,-0.0039,0.0,0.0126,0.0,0.0,0.0,0.0,0.0,-0.0005,0.0,0.0043,0.0,0.0,0.0
2026-07-21,82.0,83.0,77.0,78.0,147796900,0.0326,0.0203,0.0133,-0.1275,0.0097,-0.0006,-0.0725,0.2079,0.0243,-0.124,-0.23,-0.1848,1.0,-0.0815,-0.0161,0.2662,-0.0614,-0.878,0.0075,-0.0041,0.0,-0.0123,-0.0753,-0.8907,0.036,-0.0874,0.0011,-0.0034,0.0025,0.0,-0.0077,0.1046,-0.0093,0.0083,0.0238,0.0162,1.2,0.0001,0.0,0.0,-0.0118,-0.0008,-0.0877,-0.0004,0.0,-0.0017,0.0,0.0,0.0,0.0075,0.0,0.0,0.0,-0.0034,0.0002,0.0,0.0,0.0,-0.0066,0.0,0.0081
2026-07-22,80.0,83.0,78.0,83.0,121075700,-0.0493,0.0601,0.2994,0.098,0.0,0.0217,0.2191,0.1112,0.0086,0.0225,0.0457,0.47,1.5,0.0908,0.01,0.2776,0.0223,0.1116,-0.0818,0.0,0.0,0.0246,-0.7051,-1.8,-0.0115,-0.6649,-0.0105,0.0226,0.0,0.0,-0.0001,-0.1145,0.0243,0.0,0.012,0.041,-0.2939,0.0233,0.0,0.0,-0.0006,0.0,0.1243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,-0.008,0.0,0.0,0.0,0.0079
2026-07-23,82.0,84.0,80.0,80.0,127830800,0.1155,0.217,-0.0094,-0.0118,-0.0105,0.0222,-0.0316,0.2359,0.0666,0.0505,0.0549,0.4732,-0.0443,-0.0841,0.0175,0.4884,-0.0666,0.0191,0.0,0.0,0.0,0.0046,-0.4282,-2.1,0.0661,-0.0236,0.1408,0.0102,0.0,0.0,-0.0003,0.2615,0.0307,-0.0273,0.1203,0.062,0.2081,0.1156,0.0,0.0,0.0481,0.0,0.0,-0.0005,0.0,0.0,0.0,0.0,0.0,0.0067,0.0,0.0,0.0,0.0071,-0.0002,0.0,0.0,0.0099,-0.0025,-0.0128,0.0
2026-07-24,79.0,81.0,77.0,81.0,101377600,-0.2325,-0.2542,0.1269,0.0632,0.0041,-0.0181,-0.0042,-0.2532,-0.0035,0.0031,0.0525,0.0529,1.2,0.3861,0.0544,-0.0538,0.0567,0.6004,0.0,-0.0039,0.0,-0.0081,0.1384,-0.7153,0.0736,-0.1829,0.0,0.0793,0.0,0.0,-0.0001,-0.1889,0.0007,0.0158,0.0082,0.0322,-0.9976,-0.113,0.0,0.0,0.0555,0.0,0.0,0.0006,0.0,0.0,0.0,0.0156,0.0,0.0049,0.0,0.0203,0.0,0.0177,0.0,-0.0001,0.005,0.0,0.0,0.0,0.0
