Date,Close,High,Low,Open,Volume,XC,SQ,LG,XA,KK,NI,AT,EP,XL,YP,DH,CC,PD,BQ,CP,OD,AK,KI
2026-07-13,214.0,214.0,210.0,214.0,169200,0.0006,0.0,0.0,0.0,0.0,0.0004,0.0,0.0,-0.0036,-0.0066,0.0,0.0093,0.0,-0.0002,0.0,-0.0,0.0,0.0
2026-07-14,212.0,214.0,212.0,214.0,11000,0.0002,0.0,0.0,0.0,0.0,0.0,0.0,-0.0019,0.0008,0.0001,0.0,0.0,0.0,-0.0,0.0,0.0005,0.0002,0.0
2026-07-15,216.0,216.0,210.0,212.0,70000,-0.0078,0.0,0.0,0.0,0.0,0.0,-0.0004,0.0,0.012,0.0001,0.0,0.0001,-0.004,0.0,0.0,-0.0002,0.0002,0.0
2026-07-16,216.0,218.0,212.0,216.0,40300,-0.0001,0.0,0.0,0.0,0.0,0.0,0.0002,0.0018,-0.0023,0.0001,0.0,0.0,0.0003,400.0,0.0001,-0.0003,0.0,0.0
2026-07-17,214.0,216.0,206.0,216.0,44100,0.0003,0.0001,0.0001,0.0001,0.0013,0.0,0.0,-0.0034,0.0006,0.0007,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0
2026-07-20,214.0,214.0,212.0,214.0,5700,,,,,,,,,,,,,,,,,,
2026-07-21,214.0,214.0,210.0,214.0,30000,,,,,,,,,,,,,,,,,,
2026-07-22,214.0,218.0,212.0,218.0,34000,,,,,,,,,,,,,,,,,,
2026-07-23,212.0,218.0,212.0,214.0,50400,,,,,,,,,,,,,,,,,,
2026-07-24,216.0,218.0,210.0,214.0,209700,,,,,,,,,,,,,,,,,,
