Date,Close,High,Low,Open,Volume,NI,RO,XA,OD,ID,YB,QA,DR,SQ,YP,HP,XC,LG,ZR,XL,AK,FS,KK,AT,YJ,AI,EP,TP,DH,PD,BQ,AZ,IF,MG,PC,KI,GR,CC,CP,ES,YU,AG,BR,HD,AD,SF,BK,RF,RG,RX,ZP
2026-07-13,76.0,78.0,74.0,77.0,15824200,0.009,0.0002,0.0001,0.0167,-0.0015,-0.0021,0.0006,-0.0706,0.0098,0.0424,0.0,-0.03,-0.0,0.0,-0.0473,0.0358,0.0,-0.0017,-0.0017,0.0,0.0105,0.0046,-0.0096,0.0007,0.0523,0.0307,-0.0001,0.0,-0.0001,0.0035,-0.0169,0.0025,0.0033,-0.0506,0.0,0.0,0.0037,0.0,0.0001,0.0,0.0,0.0064,0.0,0.0,0.0,-0.0008
2026-07-14,77.0,79.0,74.0,76.0,15459700,0.0377,-0.0012,-0.0008,0.0301,0.0055,0.0003,0.0017,-0.0185,0.0113,-0.0091,-0.0111,-0.0008,0.0049,0.0,0.0349,-0.0093,0.0,-0.0626,-0.0019,0.0,0.0003,0.0053,0.0,0.0,0.0122,0.0007,0.0075,0.0,-0.0,0.0,0.0,0.0031,0.0108,0.002,0.0008,0.0,0.0066,0.0,0.0,0.0,0.0,-0.0064,-0.0046,0.0038,-0.0531,0.0
2026-07-15,75.0,78.0,74.0,78.0,15688800,-0.0057,0.0,0.0001,-0.0271,-0.0101,0.0005,0.0048,0.0226,0.0136,-0.0129,0.0,0.0592,0.0015,0.0,0.0446,-0.0216,0.0,-0.0128,0.0016,0.0,0.004,-0.0002,0.0,0.0004,-0.0361,0.0091,-0.5078,0.0,0.0228,0.0,0.0,0.0,0.082,0.3752,0.0,0.0,-0.0,0.0,0.0,-0.0076,-0.0,0.0,0.0,0.0,0.0,0.0
2026-07-16,77.0,82.0,75.0,75.0,41492700,0.0206,0.0002,-0.2726,0.0217,0.004,0.0011,-0.0043,0.0093,-0.0184,-0.0148,-0.0007,-0.0138,-0.0057,0.0001,-0.24,0.0192,0.0,0.0186,0.0026,0.002,-0.0041,0.0217,0.0001,0.0977,0.0606,0.0209,0.0024,0.0003,0.052,-0.0035,0.0,-0.0046,-0.0004,0.0029,-0.0008,0.0158,-0.0109,-0.0531,0.2736,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-17,76.0,80.0,76.0,78.0,15465200,-0.005,-0.0,0.0004,-0.0294,-0.0037,0.0064,0.0002,-0.0038,-0.0206,0.0031,0.0093,0.0335,0.0042,0.0007,0.1157,0.0027,0.0,-0.006,-0.0029,-0.0016,-0.0,-0.009,-0.0,-0.0989,-0.012,0.0369,0.001,0.0008,0.0005,0.0001,-0.0,0.0003,0.0087,-0.0312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,78.0,80.0,76.0,77.0,10027600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-21,77.0,79.0,75.0,78.0,13364300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-22,78.0,84.0,76.0,78.0,78744200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-23,77.0,81.0,77.0,79.0,13401300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-24,74.0,78.0,72.0,78.0,10426400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
