Date,Close,High,Low,Open,Volume,NI,HD,OD,YB,QA,DR,SQ,YP,HP,XC,KK,AK,XL,EP,DH,PD,BQ,AZ,MG,KI,GR,CC,FZ,CP,LG,FS,AT,YJ,RO,AG,XA
2026-07-13,109.0,111.0,107.0,111.0,2810400,-0.0007,0.0,-0.0013,0.0,0.0,0.0,0.0,0.0046,-0.0,-0.0662,0.0011,0.0172,-0.0563,-0.0207,0.0081,-0.0083,0.001,0.0001,0.0124,0.0,0.0,0.0455,0.0,0.0642,0.0,0.0,0.0006,0.0,-0.0003,0.0,-0.0011
2026-07-14,110.0,112.0,108.0,110.0,4303100,-0.0101,-0.0,0.0087,0.011,0.0,-0.0,-0.135,0.0009,0.0,-0.0451,0.0016,0.0,-0.1329,-0.0003,0.0,0.0291,0.0491,0.0,0.0022,0.0,0.0,0.1291,0.0,0.1022,0.0,0.0,-0.0006,0.0,0.0,0.0,-0.0101
2026-07-15,110.0,116.0,110.0,110.0,10506200,0.0264,0.0255,0.0053,0.0012,0.0,-0.0255,-0.006,-0.0263,0.0,-0.0471,-0.0034,-0.0241,0.0523,0.003,0.0012,-0.0091,0.0024,0.001,0.0017,0.0,0.0001,-0.0539,0.0001,0.0331,0.0,0.0,-0.0017,0.0001,0.005,0.0386,0.0
2026-07-16,112.0,113.0,110.0,112.0,2502000,-0.0103,-0.0157,0.0,0.0,-0.0001,0.0,0.0059,0.0047,0.0,-0.043,0.0015,-0.0009,-0.0416,-0.0006,0.001,0.0015,-0.0005,0.0,-0.0172,0.0,0.0,-0.0044,0.0,0.1198,0.001,-0.0028,0.0017,-0.0001,0.0,0.0,0.0
2026-07-17,112.0,116.0,112.0,112.0,5344500,-0.0027,-0.0079,0.0059,-0.0011,-0.0001,0.0013,0.0012,-0.0312,0.0002,0.0105,0.0042,-0.0116,-0.036,-0.0002,-0.0156,-0.0171,-0.068,-0.0,0.0002,0.0,0.0001,0.0094,0.0001,0.1584,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,116.0,117.0,112.0,115.0,7853500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-21,114.0,116.0,113.0,116.0,3374100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-22,112.0,115.0,111.0,115.0,2407300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-23,122.0,126.0,111.0,112.0,55134200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-24,119.0,125.0,117.0,119.0,24505000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
