Date,Close,High,Low,Open,Volume,YU,XC,GR,HP,YP,BK,XL,PD,CC,YB,ZP,EP,SQ,MG,AZ,NI,KK,AK,AT,CP,LG,BQ,OD,KI,XA
2026-07-13,1815.0,1855.0,1805.0,1850.0,99300,0.0,0.0027,0.0,0.0004,0.0022,-0.0171,0.0597,0.0,-0.0514,-0.0002,0.0028,0.0003,0.0,0.0,0.0,0.0,-0.0002,-0.0002,0.0,0.0,0.0,0.0,0.0,0.0,0.0009
2026-07-14,1815.0,1850.0,1805.0,1815.0,27800,0.0,0.0042,0.0,0.0004,-0.0002,-0.0054,0.0384,-0.0004,0.0004,0.0007,0.0,-0.0002,-0.007,0.0,0.0,-0.0311,0.0,0.0,0.0,0.0,0.0,-0.0009,-0.0002,0.0014,0.0
2026-07-15,1805.0,1845.0,1805.0,1805.0,14400,0.0,-0.005,0.0,0.0002,-0.0,-0.0038,-0.002,0.0083,-0.0006,0.0,0.0,-0.0015,0.0,0.0,0.0,0.0002,0.0,0.0,0.0,0.0005,0.0037,0.0,0.0,0.0,0.0
2026-07-16,1790.0,1865.0,1730.0,1805.0,98500,0.0,-0.0,0.0013,0.0,0.0538,-0.0102,-0.0061,0.0002,0.0016,0.0,0.0,0.0028,0.0903,-0.1327,0.0003,-0.0002,-0.0005,-0.0003,-0.0002,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-17,1790.0,1795.0,1770.0,1790.0,29800,-0.0002,0.0059,0.0005,0.0002,0.0,-0.0061,0.0009,0.0356,-0.0333,-0.0016,0.0018,-0.0038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,1800.0,1870.0,1765.0,1870.0,134400,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-21,1810.0,1855.0,1800.0,1800.0,77100,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-22,1830.0,1835.0,1800.0,1810.0,83700,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-23,1835.0,1870.0,1830.0,1845.0,99400,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-24,1935.0,1990.0,1830.0,1835.0,317900,,,,,,,,,,,,,,,,,,,,,,,,,
