Date,Close,High,Low,Open,Volume,DH,AK,EP,MG,QA,XA,OD,GR,CP,SS,BB,HD,CC,YP,RG,MI,AT,PD,IF,XL,CD,TP,TF,LG,YB,KI,YJ,DX,ZP,AI,RF,YU,HP,DR,LS,ES,RO,SQ,NI,AZ,BQ,XC,KK,AG,KZ,IH,IU,AO,PP,BR,BK,FS,PG,AH,YO,DD,PC,PO,AF,DP,RB
2026-07-13,1200.0,1200.0,1095.0,1125.0,12819200,-0.0078,-0.8192,-0.0852,-0.1035,-0.0023,-0.0019,2.2,-0.4222,0.4596,-0.0024,0.0,-0.0098,-0.0326,-0.3455,-0.0012,0.0,-0.0337,-0.1032,-0.0176,0.0376,0.0,0.0691,0.0,0.0214,0.0066,0.3464,0.0221,0.006,0.0564,-0.3356,0.0,0.0166,0.0171,0.0071,0.0111,-0.115,-0.0085,-0.0706,0.3945,-1.5,0.0468,-0.0807,-0.0412,0.0055,0.0,-0.0068,0.0,0.0,0.0,0.0,0.406,-0.0008,0.0,0.0,-0.0004,0.0059,0.0,0.0,0.0,0.0,0.0
2026-07-14,1160.0,1205.0,1140.0,1200.0,7870500,0.0,-1.4,0.0577,0.0967,0.0,0.0663,0.3291,0.1635,-0.011,0.0,0.0,-0.0451,-1.1,0.087,0.0,0.0019,0.0,0.588,0.0012,0.0924,0.0,-0.0768,0.0,0.0318,0.0301,0.0229,-0.032,0.0058,0.6999,0.0106,0.0,-1.2,0.0088,-0.0345,0.0231,0.0,0.0,0.1307,1.1,0.0697,0.0316,0.0437,0.2918,0.0,0.0,0.0,0.0232,0.0,0.0,0.0,-0.227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-15,1250.0,1310.0,1160.0,1160.0,23580700,0.0,-1.4,-0.2889,-0.1818,0.002,-0.0531,-0.2398,-0.0245,-0.4621,0.0,-0.1178,-0.0259,0.9582,-0.4402,0.0,0.0,-0.0702,0.0792,0.7314,-0.8693,0.0,0.0,0.0004,-0.2528,0.0684,-0.3539,-0.0194,-0.0124,0.2151,0.0013,2.2,-0.0575,-0.0181,0.1282,0.7634,0.0,-0.0184,0.1197,-0.1553,0.6531,0.3586,-0.6454,-0.448,-0.0187,0.0,0.0,-0.0205,0.0,0.0,0.0377,-0.106,0.0,0.0386,0.0257,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-16,1320.0,1330.0,1245.0,1250.0,28500200,0.1238,0.1194,-0.8138,0.2015,0.0017,0.1403,-4.1,0.2571,0.5448,-0.0026,4.0,0.1379,1.5,0.0511,0.0,0.0,-0.0027,3.8,0.3887,-0.4155,0.0,0.0166,0.0004,0.0248,0.0737,0.1763,0.3891,0.0065,-0.3594,0.0312,0.0,-0.0294,-0.0256,0.2072,-0.0034,-0.0132,-0.0129,-0.9725,-0.1434,4.1,0.0173,-0.4602,-0.0585,-0.0004,-7.8,-0.824,-0.0004,-0.004,-0.1688,-0.0386,-0.0278,-0.0016,-0.0384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-17,1405.0,1435.0,1320.0,1325.0,24898100,-0.1171,-2.0,-0.1109,-0.0437,-0.0093,-0.0652,-0.1518,-0.6438,-0.6302,-0.0294,3.1,-0.0317,-2.7,-0.8842,0.0014,-0.0693,0.0783,-0.1182,0.9256,0.2119,-0.0228,0.031,0.0011,0.4115,0.0706,-0.2139,-0.3652,0.4983,0.1287,0.0086,0.4215,-0.4814,0.0057,-0.2401,-0.0076,-0.0134,0.0044,-0.1115,-1.4,4.2,0.0006,-0.0349,0.3404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,1395.0,1435.0,1365.0,1405.0,14094900,0.0788,-0.4703,-0.106,0.2622,0.002,-0.0188,0.1704,0.1934,0.0899,0.0,-0.4864,-0.003,-2.1,-0.9338,0.0,0.0,0.3001,-0.1157,0.457,1.4,0.0041,-0.0527,0.0,0.2861,-0.1217,0.0035,-0.0288,-0.0261,1.8,0.0643,0.0,0.1268,0.0239,0.0142,0.0,0.0,0.0155,0.0792,-0.1204,-0.4246,-0.11,0.2251,0.2091,-0.0497,0.0,0.0,0.0824,0.0434,0.0,0.0,-0.9916,0.0,0.1426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0001
2026-07-21,1380.0,1395.0,1310.0,1390.0,21632400,0.0927,-0.5394,0.1209,-0.054,-0.0412,0.0151,0.4451,0.1631,-0.053,0.0,8.4,0.0161,-0.8226,0.3876,-0.0013,0.0696,-0.0678,-2.2,0.0819,-0.0505,-0.0048,0.0049,0.0004,0.7082,-0.0079,0.0009,0.0269,-0.008,0.391,0.0226,0.0,-0.0304,0.0082,-0.028,0.0201,-0.0003,-0.0079,-0.3567,-0.0171,1.2,0.0633,0.1602,-0.1093,0.0064,-8.7,0.0,-0.0845,-0.0008,0.0,0.0,-0.1911,0.0,0.0,-0.0265,0.0,0.0,0.0,0.0,0.0,0.8862,0.0
2026-07-22,1330.0,1385.0,1325.0,1380.0,7779600,0.9828,-0.1247,0.0452,-0.1052,0.0,0.0234,0.152,-0.0131,0.0327,0.0,-0.267,0.0239,0.8864,0.5389,0.0,0.0,0.0188,0.1002,-1.0,1.3,0.0203,0.0156,0.0,0.0148,0.0586,-0.009,0.0301,0.0007,-2.2,0.0013,0.0,-0.0865,0.0,-0.6407,0.0,0.0,0.0,0.0793,0.0348,0.0269,-0.0848,0.1775,-0.0235,0.0,0.0,0.0,0.1697,-0.0002,0.0,0.0,-0.192,0.0013,0.0,0.0,0.0,0.0,0.0,0.0,0.0027,0.0,0.0
2026-07-23,1340.0,1360.0,1300.0,1340.0,10019100,1.2,-0.5061,-0.0287,0.2123,0.0029,-0.09,0.0232,0.0511,-0.1123,0.0,0.0,-0.01,0.3009,-0.38,0.0,0.0,0.0164,0.1331,-1.5,2.0,-0.0203,0.1873,0.0,0.0031,0.0661,-0.0126,0.0,0.0009,-0.0191,-0.0753,0.0,0.0,-0.0004,0.7684,-0.0001,0.0,0.0137,-0.0157,-0.0021,-2.2,-0.2927,0.1625,0.0593,0.0,0.0,0.0,0.0334,0.0,0.0,0.0,0.0797,0.0,0.0,0.0,0.0,0.0,0.0004,0.0099,0.0,0.0,0.0
2026-07-24,1250.0,1330.0,1235.0,1330.0,8174300,-0.0531,-0.1067,0.0426,-0.0175,0.0,0.0174,-0.0097,0.0722,0.0675,0.0,0.0,0.0065,1.4,0.4289,0.0,0.0019,0.1087,0.1324,0.1862,0.1603,0.0,-0.2039,0.0,-0.6677,-0.1428,-0.0048,0.025,0.9515,-0.9121,-1.5,0.0,0.0017,-0.0859,-0.0119,0.0261,0.013,0.0093,0.1823,0.0583,-0.6992,0.0636,0.11,0.205,0.0065,0.0,0.0,-0.0036,0.1396,0.0,0.0,-0.019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
