Date,Close,High,Low,Open,Volume,BK,NI,RO,XA,OD,YB,QA,SQ,YP,XC,LG,KK,XL,AK,YJ,ZP,AT,EP,TP,DH,PD,BQ,AZ,CC,CP,PG,SH,DR,MG,LS,YU,KI,GR,HP,IF,PC,GI,RB,IU,HD,AI
2026-07-13,196.0,197.0,185.0,197.0,2888500,-0.0008,0.0,0.0,0.1011,0.0007,-0.1027,0.0,0.0,0.0333,-0.0867,0.0,0.1305,0.032,-0.0665,0.0,0.0,-0.0888,0.0,0.0,0.0,0.0006,0.0,0.0,-0.0014,0.0,0.0,0.0,0.0,0.0,-0.001,0.0,0.0,0.0001,0.0,0.1741,0.0,0.0037,0.0,-0.129,0.0,0.0006
2026-07-14,212.0,226.0,190.0,194.0,9100900,0.0214,-0.0101,0.1115,-0.0011,-0.0014,-0.0002,0.004,-0.0486,0.1492,0.0218,0.0001,-0.0764,-0.4745,-0.0716,-0.2175,0.0,0.201,-0.0005,0.0,-0.0026,-0.0058,0.0092,0.0,-0.1126,-0.0057,0.1399,0.0,0.0018,-0.0005,0.0,0.0,0.0,0.0001,0.0,0.0,-0.0157,-0.004,-0.0042,0.0889,0.3042,0.0
2026-07-15,218.0,220.0,210.0,212.0,3703800,-0.0242,0.0047,-0.0004,-0.0335,-0.0001,0.0046,0.0062,-0.0056,0.0133,0.0007,0.0,-0.0011,0.3885,-0.0041,0.0025,0.0,0.0043,0.0001,0.0207,-0.0019,0.0381,0.0,0.0,-0.1057,-0.1995,0.0,0.0,-0.0018,0.0043,0.0,0.0,0.0,0.0002,0.0,-0.1104,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-16,234.0,250.0,212.0,218.0,6032000,0.0687,-0.0072,-0.0002,-0.0157,-0.0226,0.0002,-0.0105,-0.0423,-0.0368,0.0623,-0.0,-0.0016,0.089,0.0357,0.0,0.0155,-0.038,-0.0019,-0.0187,-0.0022,-0.0366,-0.0043,0.0001,0.1388,-0.0004,-0.1713,0.005,-0.0,-0.0046,-0.0,0.0,0.0002,-0.0006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-17,220.0,236.0,212.0,234.0,3434400,0.0011,0.0103,-0.0001,-0.0679,-0.0674,0.0798,-0.0,0.0003,-0.0196,-0.0559,-0.0228,0.0525,0.1574,-0.0048,0.1802,-0.0153,-0.2466,0.0003,-0.0016,0.0001,0.0053,0.0003,0.0003,-0.0269,0.0408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,220.0,224.0,214.0,222.0,3188200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-21,216.0,226.0,210.0,220.0,5478200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-22,218.0,224.0,212.0,218.0,4620700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-23,218.0,222.0,212.0,220.0,4945200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-24,210.0,218.0,204.0,218.0,5150600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
