Date,Close,High,Low,Open,Volume,EP,YP,DR,SQ,OD,BQ,XC,KK,PD,XL,CC,YB,XA,AZ,AT,LG,RO,NI,CP,TP,DX,KI,QA,GR
2026-07-13,240.0,248.0,238.0,246.0,39400,0.0011,0.0001,0.0,0.0,-0.0002,0.0,0.0001,0.0,0.0001,0.0021,-0.0039,0.0,0.0,0.0,0.0,0.0,0.0003,0.0002,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-14,244.0,244.0,238.0,244.0,19500,-0.0013,0.0,0.0,0.0,0.0004,0.0,-0.0003,-0.0007,0.0,0.0027,-0.0005,0.0,0.0,0.0,-0.0001,200.0,0.0,-0.0002,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-15,246.0,248.0,242.0,244.0,90700,-0.0003,0.0004,-0.0,0.0,0.0008,0.0,0.0014,-0.0045,-0.0001,0.0121,-0.0114,0.0,0.0,0.0,0.0,0.0,0.0022,0.0,-0.0006,0.0,0.0,0.0,0.0,0.0
2026-07-16,246.0,250.0,226.0,250.0,424600,-0.0001,-0.0002,0.0,0.0,0.0003,0.0001,0.0026,-0.0367,0.0027,0.0075,-0.0044,0.0267,0.0,0.0012,0.0002,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-17,244.0,248.0,238.0,238.0,67400,-0.0004,-0.0,-600.0,0.0001,-0.0002,0.0,0.0059,-0.0013,0.0024,0.002,-0.0022,-0.0064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,246.0,248.0,242.0,246.0,59200,-0.0001,-0.0004,0.0,0.0016,0.0001,-0.0,0.0011,0.0,0.0045,0.0015,-0.0099,0.0009,0.0,-0.0001,0.0,0.0001,0.0006,0.0001,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-21,250.0,252.0,242.0,248.0,458500,-0.0,-0.0002,-0.0,0.0005,0.0002,0.0001,-0.0085,-0.0582,0.0066,-0.0125,-0.0129,-0.0036,-0.0,-0.0,0.0,-0.0,0.0,-0.0028,0.0,0.0893,0.0,0.0,0.0,0.002
2026-07-22,248.0,250.0,244.0,250.0,76800,0.0,0.0,0.0,0.0005,0.0001,-0.0035,0.0019,0.0,-0.0005,0.003,-0.0048,0.0025,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0013,0.0,0.0,-0.0005,0.0
2026-07-23,248.0,250.0,244.0,250.0,31100,0.0,0.0,0.0,0.0,0.0001,0.0,0.0014,0.0,-0.0017,0.0041,0.0,-0.0022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0019,0.0,0.0,0.0
2026-07-24,238.0,250.0,236.0,248.0,110600,0.0017,0.0012,-600.0,0.0005,-0.0001,0.0012,-0.004,0.0002,0.0,0.0157,-0.0002,-0.0185,0.0,0.0022,0.0002,0.0,0.0,0.0001,0.0,-0.0003,0.0,0.0,0.0,0.0
