Date,Close,High,Low,Open,Volume,DH,MG,QA,EP,PC,XA,OD,GR,CP,HD,CC,YP,AG,AT,PD,IF,XL,TP,FZ,TF,LG,YB,KI,YJ,ZP,SA,DX,AI,YU,FS,HP,DR,LS,RO,SQ,NI,AZ,BQ,XC,KK,AR,BK,DP,AK,PG,JB,ZR,PO
2026-07-13,142.0,143.0,140.0,142.0,2940800,-0.0001,0.003,0.0013,0.0289,0.0,-0.0014,0.0029,0.015,0.0,0.006,0.0087,-0.0832,0.0,0.0,0.0019,-0.0142,-0.0118,0.0017,0.0,0.0,0.0014,-0.0141,-0.0002,0.031,0.0059,0.0,0.0,0.0,0.0007,0.0003,0.0001,0.0008,-0.0009,-0.0,0.0364,0.0253,-0.0439,-0.0204,0.0322,-0.0199,0.0,0.0011,0.0,0.0054,0.0,0.0,0.0,0.0
2026-07-14,142.0,144.0,141.0,143.0,2670200,-0.0,-0.003,-0.0014,-0.0371,0.0,0.0001,-0.0143,0.0039,0.0004,-0.0071,0.0282,0.0109,0.0,0.0813,0.0301,0.0,-0.0405,-0.0134,0.0,0.0,-0.0281,0.0,0.001,0.0043,0.0,0.0,0.0,0.0072,0.0014,0.0,0.0021,-0.0399,0.0,0.0,-0.0059,-0.0165,-0.0,0.0,0.0157,0.0254,0.0,0.0007,0.0,-0.0054,0.0,0.0,0.0,0.0
2026-07-15,145.0,148.0,142.0,142.0,4373000,-0.0014,-0.0004,0.0,-0.0381,0.0,0.0013,-0.041,-0.016,-0.0087,0.0,-0.0185,-0.0304,-0.0008,-0.0824,-0.0194,0.0,-0.0088,0.0,0.0,0.0,0.0001,-0.0001,0.0,-0.0007,-0.0018,0.0,0.0,-0.0073,0.0,-0.0003,-0.002,0.0102,-0.0032,-0.0018,0.2364,0.0238,0.0015,0.0007,-0.0077,-0.1023,0.0,0.0006,0.1183,0.0,0.0,0.0,0.0,0.0
2026-07-16,145.0,147.0,144.0,146.0,5438000,0.002,-0.0011,0.0003,-0.0015,0.0,0.0,0.1783,0.0158,0.0,0.0078,0.0142,0.0512,0.0,0.0001,0.0179,-0.0004,0.0073,0.0014,0.0,0.0,-0.0083,0.005,-0.0004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0006,-0.0175,0.0,0.0,0.0671,-0.4681,0.0001,0.0,0.023,0.1062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-17,152.0,155.0,145.0,147.0,18728800,0.0288,0.0006,0.0002,-0.0225,-0.0005,-0.0043,0.0094,-0.0137,0.0178,-0.0003,0.0784,0.0489,-0.0001,-0.0022,0.1913,0.0767,0.0022,-0.0031,0.0004,0.0002,0.0124,0.0004,-0.0054,-0.046,0.0004,0.0009,-0.0047,-0.0026,0.0139,-0.0003,-0.0021,0.0182,-0.003,-0.0004,-0.3736,0.074,0.0002,0.024,-0.0252,-0.0895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,152.0,156.0,152.0,154.0,9063200,0.0708,-0.0023,0.0007,-0.0207,0.0,0.0001,-0.0793,-0.0033,-0.017,900.0,-0.0585,0.0568,-0.0002,0.0076,-0.0609,0.0015,-0.0571,-0.0171,0.0,0.0,-0.0074,0.002,0.0009,-0.0175,-0.124,0.0,0.0,0.0031,0.0015,-0.0003,0.0181,-0.0237,-0.0003,0.0,0.1958,0.1257,0.012,0.0015,0.0308,-0.0163,-0.0008,-0.0226,0.0,0.0,0.0,0.0,0.0,-0.0
2026-07-21,154.0,156.0,152.0,153.0,5461800,-0.0011,0.0,0.0,-0.0113,0.0,0.002,-0.0295,0.003,0.0231,0.0075,0.0236,-0.1354,0.0,0.0001,0.0389,-0.0919,-0.02,0.0084,0.0,0.0,0.0022,0.0054,-0.0,0.0011,0.0031,0.0,-0.0459,0.0027,0.0011,0.0,-0.0194,0.0168,0.0,0.0,-0.0146,0.0738,-0.0124,0.0069,0.1505,-0.0004,0.0,0.0107,0.0,-0.0,0.0,0.0,0.0008,0.0
2026-07-22,153.0,155.0,151.0,155.0,3488500,0.0001,0.0031,0.0,0.0033,0.0,0.0009,-0.008,-0.0109,-0.0161,0.0152,-0.0022,0.0491,0.0,0.0225,-0.037,0.0,0.0115,0.0055,0.0,0.0,0.0,0.0,0.0019,0.0,0.0077,0.0,0.0008,-0.0058,0.0,0.0,-0.0278,0.0066,0.0007,0.0,0.0015,-0.0802,-0.002,0.0,0.0088,0.0612,0.0,-0.0101,0.0,0.0,0.0,-0.0,0.0,0.0
2026-07-23,152.0,156.0,152.0,153.0,7937800,-0.0341,0.0,0.0,0.066,0.0,0.0003,-0.0117,0.0212,0.0116,-0.0139,0.0539,0.2546,0.0,-0.015,-0.0293,0.0,-0.0225,0.0046,0.0,0.0,0.0016,-0.0136,0.0,0.0,0.0015,0.0,0.0,0.0,0.0015,0.0,-0.3645,0.0378,0.0009,0.0,-0.0404,-0.0169,0.0022,0.0031,0.0578,0.0343,0.0,0.0089,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-24,147.0,152.0,145.0,152.0,3138100,-0.0716,0.0,0.0,0.0161,0.0,0.0022,0.0029,0.0213,-0.001,-0.0164,-0.0407,0.0247,0.0003,-0.0005,0.061,0.0,0.0383,0.0138,0.0,0.0,0.001,0.0,0.0,0.0001,0.0124,0.0,0.0,0.0,-0.0015,0.0006,-0.0546,-0.0102,-0.0025,0.0021,-0.0225,0.0042,0.0037,0.0002,0.001,0.0267,0.0,-0.0123,0.0,0.0,0.0015,0.0,0.0,0.0
