Date,Close,High,Low,Open,Volume,NI,XA,AH,CC,OD,YB,QA,SH,DR,SQ,YP,SS,HP,XC,LG,KK,XL,YJ,AI,DH,FZ,AZ,IF,PF,MG,PC,LS,MI,MU,CP,BK,AD,RO,RS,YU,AK,AT,ZP,TF,EP,TP,CD,PD,BQ,AG,KI,AR,GR,HD,DX,PP,BB,PO,IH,ID,ES,RB,RG,AO,SF,IU,FS,IT
2026-07-13,224.0,224.0,212.0,218.0,9585900,0.0013,0.0004,0.0,-0.0207,-0.1255,0.0433,-0.0,0.0,0.0608,0.0236,-0.0631,0.0,-0.0002,0.0551,-0.3174,0.0379,-0.172,-0.0361,0.0,0.0157,0.0,-0.0688,-0.0002,0.0,0.2933,-400.0,0.0,0.0032,0.0,-0.0024,0.0157,0.0,-0.0009,-0.0089,0.0508,0.1121,0.0,0.0094,0.0,-0.0086,0.0309,0.0,-0.0215,-0.0008,0.0,0.0004,0.0,0.0593,0.0013,-0.0231,0.0,0.0,-0.0002,0.0,0.0,0.0,0.0,0.0,0.056,0.0,0.0,0.0,0.0
2026-07-14,224.0,230.0,222.0,226.0,13652800,-0.0192,0.0,0.0,0.1392,0.0267,-0.0089,0.0,0.0,-0.0278,0.0119,-0.0681,0.0,0.008,0.0759,0.0075,-0.0231,-0.297,0.0402,-0.1356,0.0002,0.0,0.0452,0.1243,-0.0224,0.0613,0.0,-0.0068,0.0044,0.0,-0.4094,0.0282,0.0,-0.0023,-0.0066,-0.2462,0.3481,-0.002,0.0715,0.0,0.0109,0.0385,0.0,0.3007,-0.1188,0.0,-0.0009,0.0,0.0295,-0.0015,0.0011,0.0,0.0,0.0,0.0,0.0226,0.0,0.0,0.0003,0.0,0.0,0.0,0.0,0.0
2026-07-15,232.0,236.0,222.0,226.0,29257000,0.1289,0.178,0.0,0.4921,0.0371,-0.0332,0.0,0.0,0.035,-0.023,0.0691,-0.0023,0.007,0.1124,-0.0326,0.0585,0.2946,-0.069,-0.0437,-0.2704,-0.0468,0.1038,0.0013,-0.0228,-0.3521,-0.0005,0.0,-0.0046,0.0,-0.0226,-0.1909,0.0,0.0159,0.0,-0.1214,-0.1657,-0.004,-0.1701,0.0,0.0461,-0.0709,0.0,-0.0751,0.1336,-0.0013,0.0,0.0,-0.0069,0.0327,0.0,0.0,0.0,0.0,0.0254,-0.0224,-0.001,-0.0179,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-16,234.0,238.0,228.0,234.0,19394200,-0.0898,-0.035,0.0,-0.2566,-0.0874,0.0342,0.0,0.0,0.0087,-0.1033,0.5067,0.0,0.0089,-0.1956,0.0243,0.0434,-0.0516,0.0,0.0129,0.0036,0.0,-0.1355,0.0255,0.0,0.2533,0.0196,0.0,0.0,0.0119,0.0434,0.0226,0.0,0.0293,0.0069,0.0623,-0.1551,-0.0087,-0.0983,0.0,-0.0189,0.0092,0.0,0.0427,0.2813,0.0,0.0236,0.0,-0.0121,0.0051,0.0085,-0.0505,-0.1894,-0.0002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-17,262.0,270.0,234.0,236.0,160637500,0.198,0.3392,-0.007,1.6,-0.1111,0.0,0.0001,-0.075,-0.246,0.8699,0.3402,-0.0026,0.0144,-0.2381,-1.3,0.652,1.5,-0.0006,-0.0565,-0.0054,-0.052,0.0638,0.0524,-0.0262,0.0925,-0.0199,0.0025,-0.0212,-0.013,0.2014,0.0246,-0.001,-0.0736,-0.0077,0.3404,-4.6,0.0051,-0.3389,0.0022,0.1141,-0.1716,-0.0039,0.9988,0.0891,-0.0329,-0.0046,0.0128,-0.1568,0.1051,0.0004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,256.0,266.0,254.0,258.0,47307900,-0.5431,-0.0122,0.0,0.453,0.0405,-0.0057,-0.0109,0.0,0.0053,-0.1116,0.1399,0.0,-0.0357,0.0536,-0.0468,-0.0852,0.1663,0.0191,0.0013,0.1474,0.0,0.0538,-0.0002,-0.0131,0.3017,0.0013,0.0159,0.0039,0.0,-0.4149,-0.1245,0.0,0.007,0.0,-0.3112,-0.9781,0.0046,-0.0562,0.0,0.0634,0.0275,0.0,1.1,-0.1095,0.0528,0.0247,0.0,0.1019,0.006,-0.0109,0.0,0.0,0.0,-0.0286,0.0,0.0,0.0,0.0,0.005,0.0,0.0,0.0,0.1178
2026-07-21,262.0,262.0,254.0,260.0,37104600,-0.0293,0.8827,0.0,0.3098,0.0272,0.1605,-0.0001,0.078,-0.1049,0.0352,0.3773,0.0,0.0563,0.0245,-0.5453,-0.1604,-0.7959,-0.0177,-0.0261,0.0329,0.0051,0.0028,0.0225,0.0,0.0124,0.0,0.0051,0.0,0.0,0.0144,0.1324,0.0,0.0165,0.0,-0.0769,0.4249,-0.0604,0.2203,0.0,-0.1337,-0.0481,0.0032,-1.1,0.466,0.0277,-0.0269,0.0,-0.02,0.0011,-0.0821,0.0,0.0,-0.0003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0039,-0.0008,-0.0655
2026-07-22,262.0,268.0,254.0,264.0,33413400,0.0826,-0.0954,0.0,0.955,0.1002,-0.022,0.0025,-0.0266,-0.0634,0.073,-0.0075,0.0,0.0049,0.0906,0.2463,-0.1927,0.1525,-0.0044,0.0,-0.0232,-0.0051,-0.0031,0.0555,-0.0131,0.0,0.0005,-0.1316,0.0,0.0,-0.0607,-0.1086,0.0,-0.0243,0.0,-0.05,-0.405,0.0153,-0.0553,0.0,-0.0388,0.0468,-0.0033,-0.0623,-0.4254,-0.0556,0.0,0.0,0.0986,-0.0126,0.0027,0.0,0.0,0.0,0.0,-0.0435,0.0,0.0,0.0,0.0131,0.0,0.0,0.0,0.0
2026-07-23,254.0,268.0,254.0,268.0,33567800,0.1439,-0.0848,0.0,0.1962,-0.3965,0.017,-0.0003,0.0131,-0.074,-0.1079,-0.213,0.0,-0.0238,0.0596,0.0262,0.0592,-0.0851,0.0259,-0.0008,-0.0221,0.0,0.0883,0.029,0.0,0.0111,0.0003,0.0,0.0,0.0,0.0461,0.2404,0.0,-0.0003,0.0,0.0103,0.0951,-0.0002,-0.0025,-0.0021,-0.0232,0.1278,0.0,-0.2721,0.1507,0.0382,-0.0023,0.0,0.0658,-0.1306,0.0087,0.0,0.0,0.0003,0.0,0.0,0.0,0.0,0.0,-0.0134,0.0045,-0.0023,0.0,0.0
2026-07-24,244.0,252.0,240.0,252.0,28294800,-0.0732,0.0045,0.0,0.2943,-0.1926,0.0304,0.0,0.0,-0.1629,0.1134,-0.5537,0.0,0.0016,-0.3628,-0.0148,-0.0408,0.1434,0.0159,0.0,0.0334,0.0244,0.1368,-0.0022,0.0487,-0.0184,0.0,0.0068,0.0057,0.0,-0.4814,0.028,0.0,-0.0,0.0,0.035,-0.2799,0.0117,0.304,0.0,0.0371,0.0708,0.0,0.3991,0.4171,0.0,0.0001,0.0,0.0241,-0.0136,0.0097,0.0,0.0,0.0,0.0,0.0002,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0
