Date,Close,High,Low,Open,Volume,XC,SQ,LG,KK,CP,AK,EP,OD,XL,YP,CC,FZ,TP,NI,AO,GR,HD,PD,DR,RO,AZ,XA,ZP,AT,DH,YB,RX,FS,KI,CD,IT,BQ,HP,MG,IF
2026-07-13,388.0,388.0,380.0,382.0,247300,0.0099,0.0002,0.0,-0.0012,-0.0057,0.0012,0.0,0.0235,0.0202,-0.0417,-0.0029,0.0,0.0,-0.001,0.0,0.0,0.0003,-0.0078,0.0,0.0,0.0,0.0065,0.0,0.0002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0019,0.0,0.0,0.0
2026-07-14,390.0,396.0,388.0,388.0,1330100,-0.0016,-0.0524,0.0,-0.0027,0.0,-0.0011,0.0492,0.1267,-0.1038,-0.001,-0.0136,0.2078,0.0,0.0002,0.0,0.0,-0.0008,-0.0651,0.0,0.0047,0.023,0.0,-0.0491,0.0001,0.0,0.0,0.0,0.0,0.0053,-0.0843,0.0,-0.001,0.0,-0.0403,-0.0
2026-07-15,406.0,406.0,392.0,398.0,940100,-0.0036,-0.0111,0.0,-0.0039,-0.0089,-0.0,0.0311,0.0187,0.0048,-0.0117,0.0036,0.0756,-0.0202,-0.0039,0.0,0.0,-0.0008,-0.0018,0.0,0.0,0.0191,0.0,-0.0216,0.0,-0.0023,0.0,0.0,0.0,-0.0246,-0.0316,-0.004,0.0011,-0.004,0.0,0.0
2026-07-16,414.0,414.0,398.0,406.0,647600,0.0035,0.0001,0.0,0.0022,0.0406,-0.0133,0.0014,0.0001,-0.0238,-0.0598,0.0247,0.0,-0.0003,-0.0022,-0.0002,0.0,-0.0,0.0154,0.0,-0.0,0.0127,0.0004,0.008,-0.0002,-0.0008,-0.0082,-0.0,-0.0004,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-17,410.0,414.0,404.0,414.0,567700,0.0011,0.0005,0.0001,-0.0025,-0.0369,-0.0106,-0.0139,-0.0005,-0.0247,-0.0055,0.0339,0.0342,-0.0008,-0.0075,-0.0003,0.0206,0.0004,0.02,-0.0077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,410.0,418.0,408.0,418.0,1335000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-21,406.0,410.0,404.0,408.0,1165700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-22,406.0,410.0,404.0,408.0,124500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-23,408.0,408.0,402.0,408.0,1058600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-24,402.0,406.0,398.0,404.0,872600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
