Date,Close,High,Low,Open,Volume,SQ,TP,XL,PD,MU,XA,AZ,YJ,DH,EP,KK,ZP,AK,AT,LG,OD,XC,GR,AO,YP,CP,AG,CC,DR,RO,NI,YB,YU,AI,BK,BQ,MG,QA,KI,FZ,SF
2026-07-13,230.0,244.0,216.0,238.0,2518800,0.0149,-0.1401,0.0671,0.002,0.0,0.0,-0.0058,0.0001,0.0,0.0,0.001,-0.0026,-0.0116,0.0033,-0.0025,0.0006,0.0055,-0.0042,-0.0001,0.0322,0.0817,0.0,-0.0368,0.0001,0.0257,-0.0155,0.0,0.0,0.0,-0.0143,-0.0001,-0.0,0.0,0.0,0.0001,-0.0007
2026-07-14,228.0,236.0,222.0,230.0,1945300,0.0004,-0.015,0.0553,-0.0029,0.0,0.0,0.0003,0.007,0.01,0.0,0.0059,0.0,-0.0114,-0.0163,0.0,0.0001,0.0178,-0.0348,0.0025,0.0196,-0.0035,0.0116,0.0561,-0.0815,0.0005,0.0028,0.0,-0.0054,0.0,0.0016,0.0023,-0.035,0.0,0.0121,0.0,0.0
2026-07-15,236.0,242.0,228.0,228.0,3219300,0.0185,-0.0753,-0.2156,0.2009,0.0,0.0,0.0046,0.0002,0.0,0.0,-0.0068,-0.0004,-0.0039,0.0178,0.0,-0.0125,-0.0352,0.0,-0.022,-0.012,0.0856,-0.0045,0.1433,0.0002,-0.0282,0.0024,-0.012,0.0,0.0,-0.0369,0.0042,-0.0124,0.0,0.0,0.0,0.0
2026-07-16,230.0,236.0,224.0,232.0,2509600,0.0004,-0.0412,0.0865,0.1252,0.0,0.0,-0.007,0.004,0.0,0.0,0.0003,0.0,-0.0329,0.0089,0.0,0.0101,0.0029,0.0,0.0079,0.008,-0.0707,0.0,-0.002,0.0002,0.0,-0.0003,-0.046,-0.0498,0.0046,-0.0091,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-17,222.0,230.0,220.0,230.0,1883600,0.0448,-0.0935,0.1175,-0.0836,0.0011,0.0045,-0.0004,0.0036,-0.0,-0.0001,0.0007,-0.0011,-0.0325,-0.0427,0.0067,0.0108,0.0008,-0.0045,0.0248,0.0181,0.0117,0.0019,0.0069,0.0025,0.0011,0.0009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,226.0,226.0,220.0,222.0,1383700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-21,224.0,230.0,216.0,226.0,4976900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-22,220.0,226.0,216.0,224.0,2000400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-23,222.0,226.0,214.0,222.0,2501300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-24,220.0,224.0,214.0,222.0,1111600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
