Date,Close,High,Low,Open,Volume,Sektor,Sub_Sektor,DH,MG,QA,PC,AK,EP,XA,OD,GR,CP,BB,CC,YP,YO,AG,KZ,IU,AT,PD,IF,XL,PF,TP,AO,LG,YB,KI,YJ,RX,DX,SA,ZP,BK,AI,YU,DD,HP,DR,LS,RO,SQ,NI,AZ,BQ,XC,KK,DP,ZR,HD,TF,FS,ES,RB,IT,GA,PO,RG,CD,BS,FZ,AR,SF,AD
2026-07-13,1400.0,1405.0,1370.0,1400.0,18311600,Barang-Konsumen-Primer,Perdagangan Ritel Barang Primer,0.0251,-0.1394,-0.0001,0.0,-7.7,-0.0101,0.0005,-0.2341,0.0136,0.2767,-3.8,-4.7,-0.0251,0.0,0.0,0.0,0.0,-0.0007,0.1982,0.18,-0.0168,0.0,0.0,0.0,0.0095,0.0443,-0.0018,0.1428,6.8,3.3,0.0,-3.1,0.3916,0.0,1.6,0.0,0.0003,0.0537,0.0,0.0017,0.1891,6.2,0.0024,0.2106,0.1445,-0.0227,0.0,0.0138,-0.0799,0.0,0.0,0.0,0.0,-0.0003,-0.0013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-14,1400.0,1415.0,1385.0,1400.0,25637200,Barang-Konsumen-Primer,Perdagangan Ritel Barang Primer,0.0205,0.1369,0.0003,0.0,-6.1,-0.0221,0.0137,0.0289,0.0142,-0.1931,-2.1,-4.6,-0.11,0.0,-1.2,0.0,-0.0836,0.0001,-0.3879,0.0001,0.0207,0.0,0.0432,0.0,0.0929,0.2441,0.0006,0.0,5.8,9.8,0.0,-6.2,-1.6,0.0,4.6,0.0,0.0112,0.005,0.0,-0.0004,0.3175,-0.4444,2.9,-0.0607,-0.0577,-0.969,0.0,-0.0349,-0.0001,0.0,0.0,0.0,0.0014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-15,1360.0,1400.0,1355.0,1395.0,29626200,Barang-Konsumen-Primer,Perdagangan Ritel Barang Primer,0.0577,0.0212,0.0,0.0,-7.1,0.0244,0.5272,0.2887,0.1441,0.5858,0.4321,-5.2,2.0,0.0,0.0412,-0.7058,0.0,0.0,2.2,0.7115,1.7,0.0,-0.0227,0.0,-0.8095,-0.0611,0.4166,0.0506,9.1,0.0,0.0,-2.3,0.5073,0.0,3.2,0.0,0.0344,0.0897,0.0214,0.0,0.2441,-3.8,0.014,-0.6384,2.0,-0.2126,-3.8,0.0,-0.0264,0.0,0.0,0.1239,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-16,1330.0,1370.0,1330.0,1360.0,49228400,Barang-Konsumen-Primer,Perdagangan Ritel Barang Primer,0.2283,0.0,0.0,0.0,-16.0,0.5675,0.1785,0.8391,0.2506,-0.038,0.0,3.5,4.2,0.0,0.0,-0.34,-0.0427,0.0433,2.2,-0.0149,4.2,0.0,1.1,0.0,-0.1955,-0.5265,-0.042,0.1259,0.0,-1.0,0.0,3.2,-0.0083,-9.5,1.4,0.0,0.0152,-0.0149,0.0,0.0432,1.2,-10.7,0.236,10.1,3.4,0.9742,0.0,0.0405,0.0159,-0.0027,0.1335,0.2005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-17,1335.0,1360.0,1315.0,1325.0,45667700,Barang-Konsumen-Primer,Perdagangan Ritel Barang Primer,0.1816,0.1711,0.0051,0.0457,-2.1,-0.3658,-0.6495,-0.1751,0.0197,-0.1252,1.1,-2.1,-0.6897,-0.0007,-0.6643,-15.5,-0.0108,0.134,0.3499,-0.1967,1.7,-0.0013,-0.084,-0.004,-0.2905,0.0287,-0.38,-0.0349,0.1648,8.8,0.0663,0.0134,2.1,0.1818,3.1,0.0067,-0.1711,0.0692,0.0667,0.0242,-0.0138,0.1857,-0.0602,3.4,-0.9021,1.8,0.7425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,1370.0,1415.0,1350.0,1350.0,36623700,,,0.322,-0.0416,-0.0121,0.0,-3.6,0.0445,-0.019,-1.2,-0.0488,-0.1765,0.0033,-3.8,-0.7882,0.0,-2.1,9.8,0.0,-0.027,-4.3,0.0471,-1.8,0.0,-0.0527,0.0,-0.0398,0.167,-0.0163,-0.0911,0.0,2.2,0.0,-0.8047,1.5,1.5,4.8,0.0,-0.0312,0.0979,0.0,-0.0394,-0.6418,0.1289,-0.1417,-0.4064,-1.1,0.5596,0.0,0.0,0.0012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0119,0.0,0.0,0.0,-0.0064,0.0035
2026-07-21,1390.0,1400.0,1365.0,1370.0,34754500,,,-0.0625,-0.1153,0.0007,-0.0525,-13.4,-0.1672,-0.0006,0.0023,0.0421,-0.1152,0.1947,-6.7,4.2,0.0,0.0037,0.4539,0.0,-0.0006,11.2,-0.04,0.4185,0.0,-3.1,0.0,0.0375,-0.0446,-0.002,0.0,1.1,7.8,0.0,0.2269,-6.6,-0.2749,2.5,0.0,-0.0098,0.1323,-0.0001,0.0015,-0.0411,2.1,0.0515,-0.1342,0.5606,-0.1052,0.0,-0.0556,0.0202,0.0,0.0,0.0,0.0,0.0,0.0,0.0041,0.0,-0.0065,0.0001,0.0,0.0,0.0,0.0
2026-07-22,1400.0,1415.0,1370.0,1390.0,47990200,,,-0.0935,0.0014,0.0001,0.0,-6.2,-0.1066,-0.0215,0.5549,-0.1832,-0.0256,0.0,1.7,-1.2,0.0,0.0041,12.7,0.0,-0.0084,-0.0107,0.0069,-0.5377,0.0,0.0463,-0.0423,9.0,-0.0299,0.0014,0.0,0.0,0.7054,0.0,-3.2,-12.7,-0.2763,2.1,0.0,0.0229,-0.7018,-0.0003,-0.0417,-0.5903,0.4053,-0.0084,0.8352,-1.9,0.0438,0.0,0.0,-0.0028,0.0,-0.139,0.0,0.0,0.0,0.0,0.0,0.0,0.0094,0.0,-0.0003,-0.0112,0.0,0.0
2026-07-23,1415.0,1425.0,1400.0,1405.0,24031000,,,-0.4519,-0.0468,-0.0017,0.0,-3.2,0.0128,0.0007,-1.4,-0.3608,-0.1029,0.0,-1.8,-1.2,0.0,-2.7,0.0008,0.0,-0.1417,-0.1665,0.0941,-1.1,0.0,2.9,0.0,3.5,0.0977,0.0003,0.0141,0.0,-0.0222,0.0,-0.4855,0.9694,-0.0567,4.4,0.0,0.0221,-0.1922,-0.0001,-0.0006,-0.0252,1.7,0.1011,-0.0222,0.0168,-0.2875,0.0,0.0,-0.0399,0.0017,0.0,0.0,0.0,0.0,0.0,-0.0422,0.0126,0.0018,-0.0001,0.0,0.0,0.0,0.0
2026-07-24,1375.0,1410.0,1365.0,1410.0,37290000,,,0.0537,0.0624,0.0065,0.0,-19.7,-0.0042,0.0,0.1661,0.0243,-0.0027,-0.0405,-8.7,0.7973,0.0,0.0165,0.0,0.0,0.0177,0.2458,0.0415,0.1257,0.0,0.0,-0.0018,16.3,0.0625,0.0023,-0.139,0.2577,9.6,0.0,-14.3,0.1921,0.0,-0.2415,0.0,0.004,0.0219,0.0,-0.0036,-0.0692,0.5066,0.0537,13.9,0.1622,0.6759,0.0,0.0,0.0356,0.0,0.0,0.0,0.0,0.0,0.0,-0.0352,0.0,0.0,0.0,0.0,0.0,0.0,0.0
