Date,Close,High,Low,Open,Volume,XC,SQ,QA,LG,AZ,KK,CP,OD,XL,YP,DH,CC,MG,TP,YB,HD,NI,BQ,IF,CD,PD,DR,YJ,PC,AT,EP,BR,GR,HP,XA,KI,YU,IU,RS,RO
2026-07-13,67.0,67.0,67.0,67.0,8768400,0.0141,-0.0142,0.0,-0.0,-0.0,-0.0063,-0.0658,-0.0179,0.334,-0.0752,0.0034,-0.0228,-0.0335,-0.0007,-0.0071,0.0143,-0.0044,-0.1001,0.0,0.0,0.0062,-0.0008,0.0,0.0,-0.0012,0.0002,0.0,0.0,0.0,-0.0201,-0.0014,-0.0066,0.0057,-0.0007,0.0008
2026-07-14,73.0,73.0,68.0,68.0,9933200,0.0208,0.0,0.0,0.001,-0.0,-0.0101,-0.0519,0.0,-0.01,-0.0582,-0.028,-0.0888,-0.0209,-0.0022,0.0001,0.0212,-0.0016,0.0015,-0.0001,0.0,-0.0199,0.0002,0.2499,0.0,0.0,-0.0037,0.0,-0.003,0.0022,0.0146,0.0,-0.0072,-0.0058,0.0,0.0
2026-07-15,66.0,78.0,66.0,78.0,6438900,0.0127,0.0,0.0,0.0,0.0,0.0035,-0.0016,0.0,-0.0071,0.0201,0.0,0.0099,0.0237,0.0,-0.1191,0.024,0.0001,0.0,0.0023,0.0,0.0151,-0.0143,0.0366,0.0003,-0.0008,0.0,0.0,0.0099,0.0,-0.0156,0.0,0.0,0.0,0.0,0.0
2026-07-16,66.0,66.0,60.0,62.0,12407300,-0.0127,0.0096,0.0,0.0,-0.0609,-0.0277,0.0053,-0.0007,-0.1701,-0.0145,-0.0102,-0.0183,0.0019,0.0,-0.002,0.3064,-0.0007,0.0026,0.0012,0.0,0.0014,-0.0312,0.0277,-0.0003,-0.0015,-0.0132,-0.0001,-0.0001,0.0079,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-17,70.0,72.0,67.0,72.0,7187800,-0.0179,-0.004,-0.0,-0.0011,0.0191,-0.0012,-0.0003,-0.0001,0.0035,-0.026,-0.0001,-0.1141,-0.0174,-0.0007,-0.0028,0.0076,-0.0255,-0.005,-0.0043,0.0,0.2269,-0.0367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,70.0,70.0,70.0,70.0,4681100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-21,65.0,70.0,65.0,70.0,8284600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-22,67.0,67.0,63.0,65.0,3026700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-23,68.0,70.0,67.0,70.0,2235400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-24,67.0,68.0,67.0,68.0,2626900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
