Date,Close,High,Low,Open,Volume,NI,XA,OD,YB,QA,DR,SQ,DX,YP,HP,XC,LG,KK,XL,YJ,DH,AZ,MG,MU,CP,RO,FO,AT,ZP,CD,TP,EP,IU,PD,BQ,AG,KI,GR,CC,FZ,HD,FS,GI,YU,PC,PI,SF,JB,IF,IN,PG,BR,ES,PO,AI
2026-07-13,10.0,11.0,10.0,10.0,55424400,0.0054,0.0,-0.0008,-0.0027,-0.05,0.0001,0.0501,0.0,0.0162,0.0,-0.0042,-0.225,-0.0,0.0557,0.0,0.0001,0.0,0.1538,-0.002,-0.0097,0.0003,0.0,0.0003,0.0,0.0,0.0,0.0,0.0,0.0005,0.0012,0.0,0.0,0.0011,0.0037,0.0,0.0,0.0,0.0,0.006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-14,10.0,11.0,10.0,11.0,52443300,-0.0002,0.0,0.0001,0.0045,0.0083,-0.0099,-0.0013,0.0,0.0249,0.0001,-0.0001,0.0001,-0.0093,-0.0226,0.0,-0.0001,0.0317,0.1889,0.0,-0.1687,-0.0,-0.0036,0.0,0.0,0.0,0.0,-0.0084,0.0,0.0045,-0.0006,0.0,0.0,0.001,0.0104,-0.0,0.0,0.0,0.0,-0.0496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-15,10.0,11.0,10.0,10.0,42635500,-0.0008,0.0014,0.0031,-0.004,0.0474,-0.0167,0.0013,0.0045,0.0262,0.0001,0.0067,0.0004,0.0119,-0.0889,0.0,0.0,-0.0027,0.0999,0.0,-0.0049,0.0001,-0.0358,0.0,-0.0001,0.0,0.0,0.0,-0.055,0.0014,0.0001,-0.0165,0.0006,0.0,0.0155,0.0,0.0,0.0,0.0,0.006,-0.0011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-16,11.0,11.0,10.0,11.0,28261600,-0.0069,0.0001,-0.0028,-0.0312,0.0,-0.0005,-0.0024,0.0004,-0.0108,0.0014,0.0434,0.0003,0.0029,-0.009,0.0,0.0003,-0.0081,-0.0055,0.0,0.0099,0.0001,0.0,0.0001,0.0,0.0,0.0002,-0.0001,0.0186,0.0039,-0.0071,0.0,0.0,0.0022,0.0061,0.0,0.0,-0.0055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-17,11.0,11.0,10.0,10.0,177883500,-0.0248,-0.0057,-0.0112,-0.0398,-0.0028,-0.0399,-0.5536,0.0003,-0.0663,-0.001,-0.0696,0.0034,0.001,-0.3894,-0.055,0.0037,-0.0213,-0.0267,-0.0016,1.6,-0.0311,0.0034,0.0,0.0549,-0.0066,-0.0025,-0.0008,-0.1286,-0.0177,0.0062,0.0006,-0.0221,-0.0022,-0.1178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,11.0,12.0,11.0,12.0,51319300,0.0031,-0.0,0.0024,0.0002,0.0006,0.0118,-0.0001,0.0,0.0064,-0.0016,-0.0118,0.0003,-0.0062,0.0163,0.0011,0.0,0.0034,0.0521,0.0,-0.0087,-0.0007,-0.0226,0.0006,0.0,0.0,0.0,-0.0107,0.055,-0.0123,0.0013,0.0,0.0001,-0.0024,-0.0502,0.0,0.0,-0.017,0.0,-0.0106,0.0,0.0,0.0,0.0,0.0004,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-21,11.0,12.0,11.0,11.0,60716100,-0.0013,0.0006,-0.0006,0.059,0.0,-0.0002,0.0006,0.0,-0.0168,0.0,-0.0274,-0.2447,0.0062,0.0099,0.0,-0.0001,0.0001,0.1243,-0.0035,0.0001,0.0,0.0,0.0006,-0.011,0.0,0.0,0.0009,0.0,-0.0032,-0.0056,0.0,-0.0001,-0.0022,0.0154,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.099,0.0,0.0,0.0,0.0
2026-07-22,12.0,12.0,12.0,12.0,80230100,0.0041,0.03,-0.003,-0.0039,0.0,-0.0143,0.0035,0.0,0.0446,-0.0119,-0.0441,0.0041,-0.0111,0.131,0.0,-0.0003,0.0238,-0.1691,0.0,-0.069,-0.0554,0.0,-0.0206,0.1197,-0.0,0.0001,-0.0127,-0.06,-0.0026,0.0,0.0,0.0,-0.0634,0.2646,-0.0001,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.024,-0.0001,-0.06
2026-07-23,12.0,12.0,11.0,12.0,119642600,-0.001,-0.001,-0.0933,-0.0074,0.0,0.0102,-0.3418,0.0,0.2139,0.0,0.02,0.0002,-0.0055,-0.1645,-0.001,0.0001,-0.0014,0.157,0.0,0.0728,-0.0097,0.0,0.0012,0.06,0.0,0.0002,0.0266,0.085,-0.0082,0.0001,0.0003,0.0,0.0,0.003,0.0,0.0,0.0,0.0,-0.0006,0.0,0.0,0.0,-0.0,-0.0007,0.0,-0.0184,0.0036,0.0,0.0,0.0
2026-07-24,11.0,12.0,11.0,12.0,47400100,0.0024,0.0,-0.0025,0.0635,-0.012,-0.0067,0.0001,0.0,0.0344,0.0,0.0106,0.0001,-0.0076,0.0593,0.0,0.0002,0.1033,-0.0473,0.0,-0.1741,0.0,0.0,0.0007,0.0,0.0,0.0,-0.0006,-0.0275,0.0001,0.006,0.0,0.0,0.006,-0.0098,0.0,0.0005,0.0,0.0,0.0,0.0,0.0008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
