Date,Close,High,Low,Open,Volume,XC,SQ,YJ,QA,LG,XA,AZ,KK,CP,ZP,AT,KI,AK,EP,BK,XL,OD,DX,AG,AI,YP,DH,CC,MG,TP,YB,RG,NI,BQ,IF,BR,GR,PD,HP,CD,RO,DR,YU,SH,MU,FS,ES,AO,HD
2026-07-13,460.0,472.0,456.0,470.0,23241600,0.2515,-0.1242,-0.0007,0.0,0.0017,0.0,0.0261,-0.0143,-0.0735,-0.0558,-0.0875,-0.0181,-0.5402,1.5,0.0152,0.4004,0.0513,0.0,0.0,0.0097,0.0555,0.0069,-0.1575,0.0024,0.0,-0.0138,0.0046,0.0337,-0.0257,0.0595,-0.2164,-0.0333,-1.1,0.0062,0.0,0.0007,-0.001,0.034,-0.0,-0.0116,0.0003,0.0,0.023,-0.0001
2026-07-14,460.0,476.0,458.0,460.0,37281700,-0.1189,0.0131,0.0005,0.0,0.0,-0.1957,0.0341,0.006,0.1105,-0.0321,-0.0186,0.0002,0.3255,0.7101,-0.0589,-0.1685,-0.2425,0.0071,0.0,-0.0094,-0.5728,0.0229,1.1,0.0201,0.0,-0.0339,0.0,0.0446,0.0002,0.0,-0.7487,-0.0017,0.0189,-0.1241,0.0,0.0007,-0.0748,-0.0045,0.0,0.0,-0.0291,-0.0,-0.0091,-0.0003
2026-07-15,460.0,464.0,454.0,462.0,17977100,0.1225,0.0523,-0.0053,0.0,0.0244,-0.0492,-0.0197,0.0122,0.047,-0.156,0.067,0.0058,-1.2,0.9745,0.0099,0.7458,0.0532,0.0,0.0,0.0024,0.0815,0.0213,-0.5063,-0.2655,0.023,0.0253,0.0,-0.0487,0.0247,0.0481,-0.2768,0.0756,-0.0766,0.0099,0.0126,0.0697,0.0426,0.0982,-0.0,0.0012,0.0,0.0,0.0,0.0
2026-07-16,460.0,462.0,452.0,460.0,21109600,-0.0171,0.001,0.0007,-0.0,-0.0147,-0.0014,-0.001,-0.0379,-0.0325,-0.9237,0.0245,0.0001,-0.3309,1.2,-0.0042,0.6997,-0.2203,0.0049,0.0,0.0145,-0.0834,0.014,0.0952,0.0,0.0005,-0.0046,0.0,-0.0659,-0.0111,0.0,-0.5512,-0.0366,0.2209,0.0425,0.0,0.0003,0.0022,0.0132,-0.0,0.0034,0.0005,0.0,0.0,0.0
2026-07-17,456.0,460.0,454.0,460.0,16544800,0.2097,0.0004,0.0009,0.0001,0.0075,0.0005,-0.0044,0.0054,0.1835,-0.253,-0.0001,-0.0009,0.1595,0.5973,0.0827,0.4231,0.0618,0.0003,0.0,-0.0115,-0.1341,-0.0029,-0.6491,-0.0913,0.0008,-0.0097,-0.0091,0.0283,0.0024,0.0001,-0.421,-0.1138,-0.0266,-0.0146,-0.0045,0.0,-0.0177,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,450.0,458.0,442.0,456.0,26280400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-21,448.0,450.0,438.0,450.0,23669100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-22,428.0,448.0,418.0,448.0,30829800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-23,410.0,428.0,402.0,428.0,46798300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-24,386.0,410.0,378.0,410.0,28968400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
