Date,Close,High,Low,Open,Volume,XC,SQ,BK,AZ,AK,DX,XL,CC,PD,CP,PC,AT,KI,OD,BR,YP,EP,ID,MI,SH,DR,YU,NI
2026-07-13,1355.0,1375.0,1330.0,1375.0,6600,0.0001,0.0003,-0.005,0.0,-0.0009,0.0011,-0.0001,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0004,0.0,0.0,0.0,0.0,0.0,0.0048
2026-07-14,1340.0,1365.0,1300.0,1365.0,21900,0.0037,0.0009,-0.0049,0.0,-0.0019,0.0024,-0.0043,0.0035,-0.0056,0.0,0.0,0.0007,0.0,0.0001,0.0,0.0,0.0001,0.0,0.0,0.0,-0.0013,0.008,-0.0016
2026-07-15,1330.0,1365.0,1310.0,1365.0,19100,-0.0073,-0.0004,-0.0043,0.0,-0.0027,0.0013,0.0046,0.0014,0.0,0.0,0.0,-0.0007,0.0,-0.0,0.0,-0.0,0.0001,-0.001,0.0013,0.0065,0.0009,0.0,0.0
2026-07-16,1315.0,1340.0,1315.0,1340.0,22700,0.0013,-0.0015,-0.0041,0.0,-0.0028,0.0019,-0.0028,0.0065,0.0001,0.0032,0.0013,0.0033,-0.0146,0.0067,0.0013,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-17,1305.0,1340.0,1290.0,1320.0,15600,0.0014,-0.0,-0.0033,0.0003,-0.0018,0.0007,0.0129,0.0016,-0.0117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,1305.0,1340.0,1295.0,1310.0,148200,,,,,,,,,,,,,,,,,,,,,,,
2026-07-21,1350.0,1435.0,1300.0,1330.0,72200,,,,,,,,,,,,,,,,,,,,,,,
2026-07-22,1370.0,1405.0,1350.0,1350.0,50400,,,,,,,,,,,,,,,,,,,,,,,
2026-07-23,1410.0,1440.0,1390.0,1415.0,63200,,,,,,,,,,,,,,,,,,,,,,,
2026-07-24,1395.0,1415.0,1390.0,1415.0,29500,,,,,,,,,,,,,,,,,,,,,,,
