Date,Close,High,Low,Open,Volume,XC,SQ,YJ,LG,XA,KK,ZP,AK,AI,BK,XL,YP,DH,CC,MG,YB,RF,GR,PD,YU,CP,TP,IN,HP,NI,IF,EP,KI,FZ
2026-07-13,8050.0,8050.0,7775.0,8050.0,114500,0.0106,-0.0017,0.0,-0.0449,-0.0604,0.0121,-0.0503,-0.0269,-0.0007,-0.1343,0.0506,0.0069,0.0,-0.1897,-0.0225,0.0,0.4025,0.0,0.0545,-0.0008,0.0,0.0,0.0,0.0,0.0,0.0,-0.0083,0.0008,0.0024
2026-07-14,8025.0,8050.0,7800.0,7950.0,63900,-0.0058,-0.0008,0.0,-0.0393,-0.0667,-0.004,-0.028,-0.0327,0.0013,-0.0492,0.0658,0.0203,0.0,-0.0396,0.004,0.0,0.1605,0.0,-0.0,-0.0001,0.0111,0.0,0.0,0.0,0.0,0.0032,0.0,0.0,0.0
2026-07-15,8000.0,8025.0,7825.0,8025.0,82600,-0.0073,-0.0016,0.0079,-0.0891,-0.0401,0.0,0.0,0.0304,-0.0947,-0.0466,0.0516,-0.1014,0.0047,-0.0108,0.0039,0.0,0.32,-0.0008,-0.0072,-0.0206,-0.0111,0.0008,0.0,0.0,0.0087,0.0032,0.0,0.0,0.0
2026-07-16,8100.0,8100.0,7875.0,8000.0,49800,-0.0249,0.0,-0.008,0.0081,-0.0403,0.0,0.0,0.0265,-0.0315,-0.016,-0.0811,-0.0185,0.0,-0.0016,0.0,0.2408,0.0405,0.0,-0.0048,-0.0601,-0.0001,-0.0008,-0.0128,-0.0154,0.0,0.0,0.0,0.0,0.0
2026-07-17,8100.0,8250.0,8050.0,8100.0,90500,-0.0001,-0.0016,0.0082,-0.045,-0.1704,-0.0008,-0.0024,0.0743,-0.0345,-0.0448,-0.1823,0.013,0.0123,0.0796,0.0567,0.2486,0.0251,-0.0082,-0.0276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,8125.0,8250.0,8025.0,8100.0,78700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-21,8450.0,8600.0,8100.0,8150.0,341900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-22,8525.0,9275.0,8450.0,8450.0,640000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-23,8675.0,8700.0,8225.0,8550.0,313700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-24,8400.0,8675.0,8400.0,8675.0,81800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
