Date,Close,High,Low,Open,Volume,NI,XA,OD,YB,RS,YP,XC,LG,XL,SA,ZP,OK,EP,DH,IF,AG,MG,KI,CC,CP,RO,SQ,YU,KK,AT,PD,AK,CD,BQ,II,TP,SS
2026-07-13,3750.0,3770.0,3650.0,3770.0,269400,-0.0005,-0.0008,0.0055,0.0,0.4308,0.1757,0.0033,-0.2018,0.0026,-0.4627,0.0,0.0366,0.0,0.0,0.0,0.0,0.0,0.0,0.0099,-0.0019,0.0004,0.0,-0.0011,-0.0,0.0,0.0004,0.0,0.0037,0.0,0.0,0.0,0.0
2026-07-14,3690.0,3790.0,3650.0,3740.0,275200,0.0013,-0.0001,0.004,0.0,0.4249,0.1215,0.0,0.0003,0.0297,-0.368,0.0,0.0016,0.0,0.0,0.0,0.0,0.0,0.011,-0.0008,-0.2331,0.0,0.0,0.0074,0.0,0.0,0.0004,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-15,3900.0,3900.0,3700.0,3730.0,136500,-0.0004,0.0,-0.0218,0.0,0.4603,-0.0169,0.0286,-0.0039,-0.0038,-0.3121,-0.064,-0.0479,0.0,0.0,0.0,0.0,0.0,0.0,-0.0015,-0.0,0.0,0.0,-0.0007,0.0004,0.0,-0.0045,-0.0023,-0.0095,0.0,0.0,0.0,0.0
2026-07-16,3940.0,3940.0,3850.0,3900.0,180400,-0.002,-0.0004,-0.0004,0.0,0.4737,-0.0007,-0.0031,-0.0016,-0.002,-0.437,0.0,0.0138,-0.0012,-0.0008,0.0,0.0,0.0,-0.0118,0.0031,-0.0001,-0.0004,-0.0012,-0.0156,-0.001,-0.0117,0.0002,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-17,4250.0,4250.0,3900.0,3980.0,170000,-0.0,-0.0021,-0.0,-0.0242,0.5221,-0.0319,0.0011,-0.0008,-0.0188,-0.2168,-0.1063,-0.0421,-0.0051,-0.0004,-0.0573,-0.0038,-0.0236,-0.0128,0.0253,-0.0025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,4260.0,4260.0,3970.0,4230.0,175300,-0.0013,-0.0004,-0.0085,0.0,0.5065,-0.0009,-0.0019,-0.0,-0.1277,0.0,0.0,-0.0891,-0.0043,-0.0004,-0.0212,0.0,0.0,0.0,0.0312,-0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.282
2026-07-21,4260.0,4270.0,4160.0,4160.0,203600,0.0,-0.0007,0.0021,0.0,0.5064,0.0066,-0.0037,-0.1272,0.0324,-0.1823,-0.0007,-0.0087,0.0,-0.209,0.0,0.0,0.0,0.0,-0.0134,-0.0003,0.0,0.0,-0.0011,-0.0004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-22,4200.0,4270.0,4170.0,4260.0,229700,0.0004,0.0,0.0013,0.0,0.4583,0.0294,-0.0294,0.0024,-0.0235,-0.1128,0.0418,0.0252,0.0,0.0,0.0,0.0,0.0,0.0,-0.0381,0.0001,0.0,0.0,-0.3795,0.021,0.0,-0.0,0.0,0.0,0.0,0.0,0.0034,0.0
2026-07-23,4240.0,4240.0,4110.0,4200.0,157500,0.0,-0.0004,-0.1429,0.0,0.4576,0.0022,0.0004,-0.0077,0.0015,-0.2226,-0.0434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0211,0.0,0.0,0.0,0.0,-0.0196,-0.0008,0.0,0.0,0.0,0.0,0.0,-0.0033,0.0
2026-07-24,4050.0,4240.0,4050.0,4240.0,399600,0.0789,0.0005,-0.0004,0.0,0.405,0.1947,0.0064,-1.0,0.0927,0.0,0.0525,0.0773,0.0,0.0004,0.0,0.0,0.0822,0.0,0.0033,-0.1035,0.0,0.0041,0.0005,0.1197,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0
