Date,Close,High,Low,Open,Volume,CP,XL,CC,PD,YP,XA,NI,AZ,KK,HD,RO,XC,SQ,IF,EP,DR,FS,AT,DU,TP,OD,BQ,YU,YB,PC,DH,MG,KI,SF,AG,ZP,LG
2026-07-13,91.0,93.0,89.0,91.0,867300,-0.0001,0.024,0.0028,-0.0043,-0.0127,0.0,-0.0,0.0,-0.0059,-0.0001,0.0001,0.0031,0.0,-0.0,0.0,0.0,0.0272,0.0,0.0,0.0,0.0045,-0.0021,0.0,0.0,0.0,0.0,0.0,-0.0361,0.0,0.0,-0.0002,-0.0001
2026-07-14,91.0,93.0,90.0,91.0,626600,0.0033,0.0047,-0.0024,-0.0083,-0.0034,0.0,0.0,0.0,-0.0235,0.0001,0.0,0.0034,0.0,0.0002,0.0,0.0,0.0305,-0.001,0.0,0.0,-0.004,0.0003,0.0,0.0,0.0,0.0,0.0,0.0003,0.0,-0.0002,0.0,0.0
2026-07-15,91.0,95.0,90.0,91.0,2099100,-0.001,-0.0348,0.0037,-0.0015,0.0027,0.0001,-200.0,0.0,0.0046,-0.0,0.0002,-0.001,0.006,0.0,0.0031,0.0,0.0161,0.0,0.0,0.0,0.0017,-0.004,0.0,0.0029,0.0,0.0009,0.0,0.0001,0.0002,0.0,0.0,0.0
2026-07-16,95.0,103.0,91.0,92.0,7287800,-0.0059,0.105,-0.0136,-0.0003,-0.0107,0.0001,0.0037,-0.0,-0.104,-0.0001,0.0,0.0207,-0.002,-0.0002,-0.004,-0.0,0.0069,0.0147,0.0003,0.0049,-0.0024,-0.0088,0.0,-0.0049,0.0,0.0001,0.0008,0.0,0.0,0.0,0.0,0.0
2026-07-17,97.0,98.0,94.0,97.0,445300,-0.0005,0.0033,0.0025,0.0026,-0.0008,-0.0,-0.0046,0.0,-0.0003,0.0002,-0.0001,-0.0023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,98.0,98.0,93.0,97.0,1170900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-21,96.0,97.0,95.0,97.0,942500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-22,95.0,97.0,94.0,97.0,635600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-23,96.0,96.0,93.0,95.0,688500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-24,95.0,95.0,93.0,95.0,390000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
