Date,Close,High,Low,Open,Volume,BK,NI,RO,XA,HD,GI,OD,YB,DR,SQ,YP,YU,ZR,XC,LG,KK,XL,AK,AT,YJ,ZP,AI,EP,TP,DH,PD,BQ,AZ,IF,KI,MG,BR,GR,CC,AO,CP,QA,HP,RG,AD,FZ,AG,ES,JB,IN,IU,CD,SH,BS,AH,RF,PC,DX,TS,MU,PI
2026-07-13,260.0,270.0,260.0,270.0,11353100,0.0121,-0.0012,0.0022,-0.0241,0.0,0.0,0.0173,0.0489,-0.1706,0.3861,-0.0751,-0.2918,0.0,-0.0836,0.0012,0.0468,-0.0715,0.4197,-0.0005,-0.125,-0.0212,0.0021,0.0018,0.0222,0.0,0.1382,0.001,0.0013,-0.0009,0.0,0.0169,0.0,0.0497,-0.1324,0.0,-0.1679,0.0007,-0.0026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-14,262.0,274.0,260.0,260.0,11586200,-0.0916,-0.0397,-0.0579,0.0044,0.0013,0.0,0.4048,-0.3307,-0.2006,0.2159,-0.0172,-0.0001,-0.0005,0.0958,0.0386,0.0269,0.2404,-0.1531,0.0012,0.1375,-0.0001,0.0,-0.0079,-0.002,-0.0007,-0.1284,-0.0531,0.0072,-0.0006,0.0007,-0.0007,0.0,-0.0054,-0.0131,-0.053,-0.0063,-0.001,0.0,0.0,0.0,0.0,0.0021,0.0,0.0,-0.0132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-15,262.0,268.0,258.0,268.0,7678600,0.018,0.0112,-0.0,-0.0019,-0.0013,0.0,0.1103,-0.054,0.0104,0.3883,-0.0799,-0.394,-0.0,-0.0358,0.0489,-0.0032,-0.1478,0.1026,0.0039,-0.0666,0.2253,0.0,-0.0128,0.0131,0.0022,-0.002,0.0019,0.0,-0.0003,-0.0524,-0.0184,0.0,-0.0055,0.0573,-0.0264,-0.0871,0.0,0.0,0.0,0.0,0.0,-0.0039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-16,260.0,278.0,260.0,264.0,15358300,0.1006,-0.0605,-0.0262,-0.0282,0.0012,0.0,-0.038,0.0543,-0.0054,0.2627,0.0806,-0.1351,0.0,0.0734,0.0021,-0.0628,-0.2143,-0.1403,0.0126,-0.064,0.0256,0.0062,-0.0321,0.0273,0.0019,0.0114,0.0025,0.006,-0.0008,-0.003,0.041,0.0,0.0011,0.1857,-0.0623,-0.0397,-0.002,-0.0082,0.0001,0.0266,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-17,264.0,266.0,252.0,262.0,10425900,0.154,0.0126,-0.0505,-0.0042,-0.001,-0.0,0.1365,-0.046,0.06,0.5661,0.051,-0.2635,0.0,-0.0678,-0.002,-0.1573,-0.3243,-0.0873,0.0015,-0.0016,-0.0371,-0.0001,0.0332,0.0079,0.0237,-0.0087,-0.0197,0.0045,-0.0005,0.0262,-0.028,0.0057,0.0009,0.1566,-0.132,-0.0087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,270.0,282.0,264.0,270.0,23637100,-0.04,0.0436,0.0111,0.0111,0.0018,0.0,-0.1498,0.04,0.0059,0.3582,0.1339,0.008,0.0003,-0.0092,0.335,-0.0427,-0.2611,0.0136,-0.0025,0.0699,-0.018,-0.0055,-0.0262,-0.0633,0.0038,-0.0486,-0.0009,0.0009,-0.0005,-0.003,0.0246,0.0,-0.0262,-0.2426,-0.1291,0.0297,0.0003,-0.0343,0.0,0.0,0.0002,0.0,0.0,-0.0,0.0174,0.0,0.0,0.0,0.0,0.0,0.0,-0.0028,-0.0026,0.0,-0.0,-0.0
2026-07-21,306.0,316.0,272.0,274.0,49354000,0.0596,-0.4689,0.008,-0.2237,0.0,0.0,-0.0978,-0.0589,-0.0794,2.0,-0.3669,-0.0713,0.0009,-0.2683,-0.0061,-0.2609,-0.9453,2.2,-0.0202,-0.0487,0.1336,0.0,-0.0456,0.0319,0.0294,-0.1107,-0.1238,0.0167,-0.0058,-0.0303,0.0002,0.0,-0.126,-0.7102,-0.0307,0.0299,0.0007,0.0006,-0.0061,-0.0918,0.0,-0.5101,0.0,0.0,0.0897,0.0,0.0,0.101,0.0,0.0,0.0,-0.0059,0.0062,0.0,0.0017,0.0
2026-07-22,318.0,324.0,294.0,310.0,32453500,0.184,-0.0704,-0.0293,-0.0917,-0.0004,0.0,0.0249,-0.0554,0.1968,0.105,-0.2378,-0.0041,-0.0012,-0.0931,0.0058,0.0051,0.0394,-0.2078,0.0033,-0.0343,0.1652,0.0043,0.006,-0.0201,-0.0032,-0.0613,-0.0037,-0.1319,-0.0028,-0.0018,-0.0476,0.0,-0.0425,-1.3,0.0,1.6,0.0071,0.004,0.0031,0.0,-0.0004,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,-0.0003,0.0,0.0,0.0151,-0.0063,0.0,0.0002,0.0
2026-07-23,352.0,352.0,310.0,320.0,40504700,0.7664,-0.4309,0.0,-0.0723,-0.0367,0.0,0.2237,-0.0259,-0.0728,1.1,-0.3278,-1.4,0.0,-0.1308,0.0025,-0.0462,0.0172,1.3,0.0,0.0,-0.1824,-0.0137,-0.0789,0.0,-0.1863,-0.2259,-0.0377,-0.0835,-0.0102,-0.0267,0.0253,0.0,-0.0494,0.4932,0.0,-0.0407,0.0,0.0003,0.0,0.0,0.0011,0.0,-0.0169,0.0,0.1546,0.0,0.0,0.0,-0.0301,0.0,0.051,-0.0183,-0.0646,-0.4412,0.0,0.0
2026-07-24,340.0,360.0,334.0,352.0,24897500,0.048,-0.0263,-0.02,-0.0248,0.072,0.0,1.3,-0.0922,0.1811,1.5,0.0414,-0.1019,-0.0018,-0.3541,0.0043,0.0591,-1.8,0.154,0.0029,0.0044,-0.1342,0.1883,-0.04,0.0631,0.1456,-0.1701,0.0026,0.0359,-0.0112,-0.0354,-0.0274,0.0,0.0062,-0.7732,0.0,0.0315,0.0018,0.012,0.0418,-0.0005,0.0,-0.0176,0.0,0.0,-0.1385,0.0,-0.0003,-0.1348,0.014,-0.0119,0.0,0.0,0.0,0.0,0.0,0.0
