Date,Close,High,Low,Open,Volume,AZ,AK,XL,CC,XC,SQ,YP,OD,DR,PD,DH
2026-07-13,2730.0,2830.0,2590.0,2830.0,4800,0.0016,0.0,-0.0033,-0.0022,0.0038,0.0,0.0003,0.0,0.0,0.0,-0.0003
2026-07-14,2760.0,2780.0,2730.0,2730.0,2100,0.0006,0.0,-0.0014,0.0022,-0.0003,-0.0003,0.0005,0.0,0.0,-0.0014,0.0
2026-07-15,2750.0,2850.0,2720.0,2760.0,3700,0.0016,0.0,0.0008,-0.0006,-0.0003,-0.0014,-0.0006,0.0001,0.0003,0.0,0.0
2026-07-16,2750.0,2770.0,2710.0,2720.0,900,0.0,0.0,0.0017,-0.0014,-0.0003,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-17,2780.0,2800.0,2700.0,2750.0,2100,0.0014,0.0003,-0.0011,-0.0003,-0.0003,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,2750.0,2770.0,2710.0,2720.0,1900,,,,,,,,,,,
2026-07-21,2720.0,2780.0,2700.0,2750.0,1900,,,,,,,,,,,
2026-07-22,2720.0,2760.0,2720.0,2730.0,3300,,,,,,,,,,,
2026-07-23,2720.0,2920.0,2680.0,2910.0,8200,,,,,,,,,,,
2026-07-24,2810.0,2810.0,2720.0,2720.0,10400,,,,,,,,,,,
