Date,Close,High,Low,Open,Volume,MG,AK,EP,YJ,XA,PC,OD,SH,ZR,HD,EL,CC,YP,NI,IH,BQ,XC,AT,KK,PD,XL,TP,AO,LG,BR,DR,RO,SQ,AZ,QA,CP,BK,ZP,IF,TF,AD,YB
2026-07-13,970.0,1000.0,965.0,985.0,69600,0.0,0.0,0.005,0.0045,0.0042,0.0062,-0.0,-0.016,-0.0143,0.0,0.0,0.033,-0.0002,0.0,0.0057,0.0,0.0,0.0,0.0,0.0,-0.0325,0.0,0.0046,-0.0,0.0,-0.0004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-14,1015.0,1040.0,965.0,965.0,430700,0.0,0.0001,-0.0306,0.0234,0.0107,0.0003,0.0,0.0249,-0.018,-0.0289,0.0039,0.0118,-0.0006,-0.0036,-0.0125,-0.0118,-0.0011,0.0,0.0,0.0,-0.0169,0.0,-0.0155,0.0,0.0758,-0.0113,0.0001,0.0,0.0,0.0001,-0.0003,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-15,1030.0,1030.0,1015.0,1015.0,59200,0.0,0.0002,0.0079,-0.0043,-0.0096,0.0014,-0.0051,-0.0132,0.0053,0.0,0.0051,-0.0027,0.0,0.0,-0.0016,0.0039,-0.0002,0.0,0.0,0.0,0.001,0.0,0.0075,-0.0002,0.0063,-0.0015,0.0,0.0,0.0,-0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-16,1060.0,1070.0,1025.0,1030.0,427800,0.0,0.0003,0.0345,0.0153,-0.0431,0.0385,-0.0089,0.0205,0.0157,0.0,-0.0092,-0.0035,-0.0027,0.0,-0.004,0.0,0.0063,0.0,0.0,-0.0002,-0.0049,0.0236,0.0271,0.0,-0.0792,-0.0252,0.0002,-0.0012,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-17,1075.0,1085.0,1050.0,1050.0,194000,0.0032,0.0011,-0.0246,-0.0188,0.0219,-0.0104,-0.0002,-0.0185,-0.0158,0.0153,0.0403,0.0029,-0.0001,0.0009,0.019,0.0037,-0.0029,-0.0011,-0.0002,0.0001,-0.0012,-0.0079,-0.0064,-0.0002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,1095.0,1110.0,1085.0,1085.0,79400,0.0046,0.0,0.0163,-0.0095,0.0035,-0.0063,-0.0009,-0.0133,0.0046,0.0026,0.0,-0.0064,0.0004,0.0,-0.0044,0.0034,0.0008,0.0,0.0,-0.0001,-0.0009,0.0098,0.0069,0.0,-0.0124,-0.0005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0015,0.0001
2026-07-21,1110.0,1110.0,1080.0,1085.0,213900,0.006,0.0001,0.0171,-0.0036,0.0093,-0.0098,0.0,0.0138,0.0207,-0.0001,-0.0146,-0.009,-0.0002,0.0,0.013,-0.0253,0.0058,0.0,-0.0274,0.0,-0.0047,0.0231,0.0063,-0.0008,-0.0179,0.0,-0.0002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0015,0.0
2026-07-22,1125.0,1135.0,1105.0,1105.0,432600,0.0028,0.0,0.0319,-0.0109,0.0229,-0.0365,0.0,0.002,0.0199,0.0,0.0049,0.0154,0.001,0.0,0.0149,0.0026,-0.0021,0.0,-0.0221,0.0,-0.0057,0.008,-0.0392,-0.0023,0.0039,0.0,0.0,0.0,-0.0001,0.0,0.0,0.0,0.0,-0.0117,0.0006,0.0,0.0
2026-07-23,1100.0,1125.0,1100.0,1125.0,273200,0.0073,0.0,0.0019,0.0074,-0.0501,0.0098,0.0,0.0194,0.0023,0.0062,0.0023,-0.0107,-0.0001,0.0,-0.0197,0.0,-0.0001,0.0,0.0,0.0,0.0015,-0.0443,0.006,0.0,0.0634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0028,0.0,0.0,0.0
2026-07-24,1115.0,1160.0,1050.0,1070.0,237300,0.0005,0.0,-0.0519,0.058,0.0058,0.05,0.0,-0.0178,0.0046,0.0003,-0.0245,-0.029,-0.0026,0.0,0.0098,0.0006,0.0009,0.0,-0.0002,0.0,-0.0004,0.0,0.0017,-0.0,-0.0594,0.0,0.0,0.0,0.0,0.0,0.0,0.0031,0.054,-0.0036,0.0,0.0,0.0
