Date,Close,High,Low,Open,Volume,XC,YU,QA,BQ,CP,OD,XL,YP,PD,DR,XA,CC,SQ
2026-07-13,234.0,246.0,222.0,232.0,4200,0.0,0.0,0.0,0.0001,0.0,0.0,-0.0,-0.0,-0.0,0.0001,0.0,-0.0001,0.0
2026-07-14,234.0,234.0,226.0,232.0,2400,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,-0.0003,-400.0,0.0002,0.0,0.0,-0.0001
2026-07-15,232.0,246.0,232.0,236.0,1000,-0.0001,0.0,0.0,0.0001,0.0,0.0,-0.0,0.0,-0.0001,0.0001,0.0,0.0,0.0
2026-07-16,230.0,232.0,230.0,232.0,11300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0018,0.0005,-0.0023,0.0
2026-07-17,234.0,246.0,228.0,246.0,26100,-0.0002,0.0005,-0.0001,-0.0009,-0.0006,0.0002,0.0008,-0.0002,-0.0001,0.0005,0.0,0.0,0.0
2026-07-20,230.0,244.0,228.0,236.0,12000,,,,,,,,,,,,,
2026-07-21,230.0,236.0,230.0,234.0,12900,,,,,,,,,,,,,
2026-07-22,230.0,232.0,224.0,230.0,42300,,,,,,,,,,,,,
2026-07-23,244.0,254.0,226.0,230.0,103600,,,,,,,,,,,,,
2026-07-24,234.0,244.0,226.0,244.0,22100,,,,,,,,,,,,,
