Date,Close,High,Low,Open,Volume,XC,SQ,EL,QA,LG,RO,XA,AZ,KK,LS,CP,ZP,AT,KI,OD,EP,BK,XL,YP,DH,AI,CC,MG,ES,YB,BQ,NI,IF,GR,HP,PD,AG,DX,TP,DR,YU,HD
2026-07-13,92.0,95.0,91.0,92.0,6110100,0.0044,-0.0006,0.0,0.0003,-0.0001,-0.005,0.003,-0.0003,-0.0352,-0.0259,-0.0092,0.0,-0.0,-0.0003,0.0009,-0.0162,0.0,-0.001,0.0049,-0.0,0.0,0.0019,-0.0009,0.0,-0.0093,0.0056,0.1029,0.0,0.0026,0.0,-0.0222,0.0,0.0,0.0005,0.005,0.0,-0.0056
2026-07-14,92.0,94.0,91.0,92.0,2456800,-0.0045,-0.0001,0.0,0.0,-0.0002,-500.0,-0.0066,0.0003,0.0045,-0.0092,-0.001,0.0,0.0,0.0,-0.0001,0.0184,-0.0,-0.0604,0.0262,0.0003,0.0,-0.0124,0.0,0.0,-0.0001,0.0258,0.012,0.0,0.0012,0.0,0.0058,0.0,0.0,0.0,200.0,0.0,0.0
2026-07-15,93.0,96.0,92.0,92.0,10984200,-0.0322,0.0,0.0,-0.0012,0.0,-500.0,0.0199,-0.0002,-0.003,-0.0188,0.0053,0.0,0.0,0.0,-0.0016,0.0056,0.01,-0.0452,0.0304,0.0013,0.0,0.0328,0.0024,0.0,0.0051,-0.0227,0.0307,0.0001,-0.0301,0.0,0.0072,0.0,0.0,0.0,0.0047,-0.0007,0.0
2026-07-16,92.0,96.0,91.0,92.0,7916900,0.0123,0.0047,0.0,0.0,-0.0319,0.0009,-0.0125,0.0147,-0.0278,0.0,-0.0234,0.0095,-0.0021,0.0,-0.0012,0.0057,-0.0076,-0.0166,-0.0035,-0.0018,0.0,0.0253,-0.0021,0.0,0.0164,0.0171,0.0032,0.0,0.0356,0.0,-0.0149,-0.0002,-0.0,0.0001,0.0003,0.0,0.0
2026-07-17,94.0,96.0,92.0,93.0,6282300,0.0202,0.0069,0.0006,-0.0001,0.002,-0.001,0.0,-0.0127,0.0001,0.0009,-0.0375,0.1266,-0.001,0.0001,-0.0109,-0.0025,-0.0016,-0.0706,-0.0298,0.0009,-0.0,0.0266,0.0009,0.0005,-0.0016,-0.0167,-0.0052,-0.0011,0.0054,-0.0005,0.0009,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,95.0,98.0,94.0,95.0,9136300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-21,93.0,97.0,90.0,96.0,10084600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-22,95.0,96.0,92.0,94.0,7647800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-23,94.0,96.0,93.0,96.0,6701800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-24,92.0,102.0,90.0,94.0,24415700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
