Date,Close,High,Low,Open,Volume,NI,XA,OD,YB,QA,DR,SQ,YP,HP,XC,LG,KK,XL,YJ,AI,DH,AZ,IF,MG,PC,MI,CP,AD,RO,YU,AK,AT,ZP,RF,CD,EP,TP,PD,BQ,AG,KI,GR,CC,DX,IH,PG,JB,MU,BK,IN,RB,BR,AO,FZ,FS
2026-07-13,112.0,117.0,108.0,117.0,9208500,0.0015,-0.0006,0.0097,-0.2563,0.0002,0.0,0.0042,-0.1382,0.0324,0.0352,0.0098,0.0047,0.1811,0.0042,0.0,0.0238,0.0001,0.0,0.0,0.0,0.0,0.0074,0.0,0.0,0.0002,0.0266,0.0003,0.0,0.0,0.0,0.0057,0.0064,0.0107,-0.002,0.0,0.0,0.0056,0.0045,0.0,0.0,0.0,0.0,0.0,0.023,0.0,0.0,0.0,0.0,0.0,-0.0001
2026-07-14,111.0,112.0,106.0,112.0,7923200,-0.0104,-0.0001,0.0017,-0.3168,0.001,0.0,0.011,0.0224,0.0324,0.0623,0.0,0.0069,0.102,0.0,0.0,0.0022,-0.0102,0.0,0.0,0.0,0.0,0.0002,0.0,0.0,-0.0003,0.0272,0.0,0.0,0.0,0.0,0.0074,0.0,0.0141,0.003,0.0,-0.0,0.0,0.0524,0.0,0.0,0.0,0.0,0.0,-0.0138,0.0,0.0,0.0,0.0055,0.0,0.0
2026-07-15,109.0,111.0,108.0,111.0,3382500,0.0176,0.0,0.0197,-0.0658,-0.0007,0.0,0.0055,0.0302,0.0,0.0107,-0.001,0.0131,-0.021,0.0,0.0,0.0073,-0.0065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0498,0.0,0.0002,0.0,0.0,0.0009,0.0,-0.0049,0.0008,-0.0492,-0.0,-0.0031,-0.0015,0.0,0.0,-0.0022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-16,137.0,147.0,105.0,111.0,193047300,0.0064,0.023,0.1274,0.3197,-0.0021,-0.0095,0.099,-0.1925,-0.1216,0.0535,-0.0138,0.0361,0.2103,0.0001,0.0204,-0.0008,0.0093,-0.001,0.1059,0.0,0.0,0.0417,-0.0003,-0.0001,0.0222,-0.1967,-0.0231,-0.0017,0.0,0.0,-0.0035,-0.1301,-0.0764,0.0078,-0.3761,0.0272,0.2566,-0.1993,0.06,-0.0001,-0.0005,0.0235,-0.0372,-0.0232,-0.0024,-0.0001,-0.0023,-0.0355,0.0,0.0
2026-07-17,125.0,138.0,123.0,129.0,50987300,-0.0296,-0.024,-0.0328,0.3479,0.0015,-0.0003,-0.0905,-0.0823,0.0375,0.0286,0.0074,0.0015,0.2196,0.0031,0.0026,0.0033,0.0078,0.0,-0.0926,0.0001,-0.0012,-0.0054,0.0128,0.0012,-0.024,-0.005,-0.0001,0.0646,0.0078,0.0001,-0.0165,-0.0006,-0.0666,-0.0055,0.0156,0.0009,-0.1012,-0.133,-0.0528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,134.0,153.0,128.0,128.0,176036000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-21,137.0,143.0,131.0,136.0,37148500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-22,136.0,140.0,133.0,138.0,11054200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-23,133.0,138.0,132.0,136.0,15285800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-24,122.0,133.0,121.0,132.0,13782200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
