Date,Close,High,Low,Open,Volume,IH,NI,XA,CC,OD,YB,YO,DR,YP,XC,LG,KK,XL,YJ,SA,DH,AZ,MG,PC,LS,CP,BK,RO,IN,RB,YU,AK,AT,ZP,RF,TP,CD,IU,PD,BQ,AG,AR,HD,AO,FZ,QA,SH,SQ,DX,ES,HP,AI,IF,RG,GI,IC,EP,SF,KI,GR,PG,FS,PF,MI,MU,BR,JB,AD,DU,ZR,TF
2026-07-13,155.0,171.0,149.0,168.0,305440700,0.0,0.0978,0.0988,1.2,-0.0364,0.9758,0.0,0.0409,0.9194,0.1716,-4.4,-0.4131,1.7,0.0135,-0.0217,-1.7,-0.0639,-1.0,0.0,0.0801,0.1326,0.2768,0.0666,0.32,0.0,-0.0576,0.7044,0.0324,-0.1719,0.0,0.0861,0.0,-0.0081,0.2651,-0.039,0.0,0.0,0.0,-0.3105,0.019,0.0451,-0.0,0.3057,0.0711,-0.0539,1.5,-0.8589,-0.0265,0.0,0.0,0.0,-0.022,0.0,0.0,0.0938,0.0,0.0,0.0,0.0,0.0248,-0.0015,-0.0029,0.0,0.0,0.0,-0.0007
2026-07-14,143.0,156.0,137.0,155.0,444391600,0.0,0.3977,-0.1046,1.5,0.1106,0.3696,0.0,0.0467,0.4403,1.3,11.0,-0.7708,2.4,-0.4049,0.0,0.0673,-9.0,0.33,0.0,-0.0709,0.1358,-0.2751,0.0404,-0.2592,-0.0001,-0.0018,2.5,0.2118,0.3236,-11.6,0.1131,0.0,-0.0001,0.2383,0.1168,-0.0118,-0.0139,-0.0144,0.0,-0.0079,0.0206,-0.0,0.6934,0.0,0.0,0.1915,0.0,0.013,-0.0004,-200.0,0.0,0.017,0.0,0.0,0.0658,0.0,0.0,0.0,0.0,0.0,0.0,-0.0036,-0.0001,-0.0001,-0.0002,0.0
2026-07-15,129.0,140.0,129.0,138.0,426768500,0.0,0.1598,-0.1271,2.3,0.1845,0.4605,0.0,0.2115,3.6,2.0,1.0,0.6148,6.1,-0.085,-0.3497,0.3273,-8.1,-3.8,0.0,0.2045,0.9929,0.0909,0.1272,-6.3,0.0,0.0871,-1.1,0.096,0.1222,-1.2,0.6748,0.1375,-0.0027,0.5421,0.0,0.0691,0.0,0.0,-0.1364,0.0,0.0,0.0,0.3929,-0.0026,0.0,0.1264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.276,-0.0001,-0.0079,-0.0002,-0.0006,-0.0,-0.0102,0.0,0.0,0.0,0.0,0.0
2026-07-16,133.0,138.0,125.0,128.0,677402000,0.675,0.4562,0.0,0.0,0.8548,1.4,0.0,0.7287,1.7,0.2084,0.832,0.7793,4.8,-1.5,-0.5157,1.2,-6.3,-2.5,0.0345,-0.0003,1.9,0.0,0.1134,-6.5,-0.0035,0.2047,1.0,-0.0055,-0.3528,-1.8,-0.069,-0.0046,0.6607,0.7583,0.0777,0.1,0.0,0.0,-0.1513,0.0,0.3554,0.0253,0.3445,-0.0513,-0.0268,-0.0534,-0.0306,-0.011,-0.0007,-0.0,-0.0,0.2375,-0.0027,-0.0074,0.4163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-17,131.0,136.0,128.0,132.0,273326600,0.655,0.1366,0.0642,2.3,0.2596,-0.5725,-0.0001,0.0873,0.7881,0.6558,1.0,-0.3065,-0.8931,0.5765,-0.5866,0.4525,0.8545,-1.8,0.2606,0.1309,-0.4835,-0.0869,0.0592,-4.3,0.5041,-0.0077,0.425,-0.0113,0.1134,-2.0,0.1011,-0.1201,0.9465,0.2139,0.197,-0.0334,0.064,0.7752,-0.7434,0.1014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,130.0,133.0,128.0,131.0,327570200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-21,144.0,145.0,125.0,129.0,1391916200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-22,135.0,142.0,131.0,141.0,730666000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-23,141.0,155.0,134.0,135.0,1623508600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-24,120.0,142.0,120.0,139.0,1799840600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
