Date,Close,High,Low,Open,Volume,XC,SQ,QA,YU,YJ,LG,AZ,XA,KK,LS,CP,ZP,AT,KI,AG,AI,EP,XL,YP,DH,DX,AK,BK,OD,MG,SH,CC,FZ,YB,NI,PG,BQ,GR,HP,HD,PD,DR,TP,AR,AO,CD,RS,IU,BB,IF,RO,PC,BR,TF
2026-07-13,80.0,80.0,77.0,78.0,125159200,0.005,-0.0025,0.0,0.001,0.0,-0.0003,-0.0406,-0.1286,0.0046,0.0,-0.0156,0.0491,-0.0185,0.0,0.0,-0.0024,-0.0917,-0.1286,-0.1217,0.0009,0.0,0.3818,0.2376,-0.0184,-0.0033,-0.08,0.0465,-0.0057,-0.0001,-0.0236,0.0,0.0015,-0.0662,0.0156,-0.0074,0.0116,0.0022,0.0002,0.0,-0.002,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0004
2026-07-14,81.0,83.0,79.0,80.0,183223600,0.0859,-0.0062,-0.0064,-0.0002,-0.0003,-0.001,0.0111,-0.1899,0.0433,-0.0,-0.0497,-0.1305,0.0069,0.0,-0.0017,-0.0027,-0.0665,-0.223,0.0228,-0.0208,0.0,0.7223,0.1195,-0.3806,0.0244,0.0,0.3322,0.1987,-0.002,-0.1819,0.0,-0.2356,-0.0081,0.0214,0.0108,0.0252,-0.1103,0.0014,0.0,0.0142,-0.0001,0.0,0.0,0.0,0.0,-0.0229,0.0003,0.0,0.0
2026-07-15,82.0,82.0,79.0,81.0,102154400,-0.097,0.0436,0.0001,0.0,0.0,0.0006,-0.0091,-0.0324,0.0229,0.0,0.0578,-0.0011,0.0304,0.0006,0.0,-0.04,0.0321,0.0569,-0.1239,0.0053,0.0,0.1601,0.0015,-0.0865,0.0736,-0.0,0.1029,-0.0873,-0.0001,0.0845,0.0,-0.0029,0.0316,-0.0008,-0.0039,0.0001,-0.0049,-0.0001,0.0,-0.0081,0.0,-0.0,-0.016,-0.1899,-0.0002,0.0,0.0,0.0,0.0
2026-07-16,88.0,88.0,80.0,82.0,150310900,-0.0488,-0.2074,-0.0009,-0.254,0.0,-0.0202,-0.0172,0.0018,-0.3255,0.0,0.0031,0.2318,0.0003,0.4152,-0.0145,-0.0172,0.071,-0.5139,-0.2837,-0.0207,0.0105,1.4,0.2164,-0.699,-0.2816,-0.085,1.2,-0.1404,0.0135,-0.5623,0.085,-0.009,-0.0731,0.0944,-0.0069,-0.0802,-0.0525,-0.005,-0.002,-0.0433,0.0085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-17,85.0,87.0,83.0,86.0,135154200,0.4255,0.3756,0.0042,-0.1716,-0.0001,-0.6391,0.21,0.0099,-0.0042,0.0008,0.0677,-0.3284,0.0046,-0.0009,0.0334,0.0333,0.0124,0.8295,0.0845,0.0614,0.0084,-0.8503,-0.3366,-0.0134,0.1094,-0.002,-0.9564,-0.0002,0.1163,0.5892,0.085,0.0022,0.0143,0.008,0.0067,0.178,0.0324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,86.0,86.0,83.0,85.0,118513200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-21,89.0,89.0,84.0,86.0,112800700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-22,85.0,90.0,84.0,89.0,156811500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-23,85.0,89.0,83.0,85.0,135651200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-24,81.0,84.0,80.0,84.0,157170500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
