Date,Close,High,Low,Open,Volume,XL,PD,XA,YB,AZ,EP,DH,KK,XC,GR,BQ,OD,YP,CP,IF,CC,DR,MG,QA,RO,NI,KI,SQ,LG,FS,MU,AI,SF,FZ,AT
2026-07-13,102.0,102.0,99.0,100.0,1310200,0.052,-0.0346,0.0,0.0,0.0,0.0,0.0,-0.0015,-0.0053,0.0,-0.0,0.0101,-0.0058,0.0,0.0,-0.0111,0.0,0.0,0.0,-0.001,0.0011,0.0,0.0,0.0001,-0.0,0.0,0.0,0.0,0.0,-0.004
2026-07-14,103.0,103.0,100.0,103.0,2729700,0.0742,0.0414,0.0046,0.0001,0.0,0.0036,0.0,0.0001,-0.0026,-0.0005,0.0,0.0117,-0.1599,0.0,0.0,0.0061,0.0,0.0,0.0,0.0001,0.0211,0.0,0.0,0.0,0.0,0.0,0.0,0.001,-0.001,0.0
2026-07-15,103.0,108.0,100.0,103.0,4933100,0.0433,-0.0116,-0.0053,0.0,-0.0002,-0.0037,0.0,-0.0114,-0.0037,0.001,0.0001,-0.0011,-0.2015,0.0001,-0.0,-0.0195,0.0,0.0,0.0001,-0.0001,0.2125,0.0,0.0,0.0,0.0,-0.0001,-0.0001,0.001,0.0,0.0
2026-07-16,108.0,108.0,102.0,103.0,7168300,0.1187,-0.032,0.0013,-0.0084,0.0048,0.0001,0.0,-0.0079,0.0005,0.0047,0.0006,-0.0013,-0.1907,0.0349,-0.0,-0.0323,0.0007,0.0595,0.0,0.0001,0.0874,0.0004,-0.0296,-0.0116,-0.0,0.0,0.0,0.0,0.0,0.0
2026-07-17,106.0,108.0,105.0,108.0,1722100,-0.013,0.0119,0.0008,-0.003,-0.0,0.0005,-0.0025,0.0012,0.0174,0.0075,0.0044,0.0038,-0.0198,-0.0158,0.0,0.0077,0.0011,-0.0017,-0.0002,-0.0,-0.0007,0.0003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,107.0,119.0,106.0,107.0,37895000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-21,107.0,109.0,104.0,109.0,5752000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-22,108.0,113.0,104.0,107.0,8977800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-23,108.0,110.0,107.0,110.0,4301200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-24,107.0,108.0,105.0,108.0,1556200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
