Date,Close,High,Low,Open,Volume,XL,PD,EP,GR,XC,SQ,YP,CC,HP,KK,YB,AT,BQ,OK,NI,MU,YU,CP,AZ,LG
2026-07-13,218.0,220.0,218.0,220.0,344400,-0.0125,0.0165,0.0001,0.0,0.0032,-0.0003,-0.0017,0.0099,0.0,-0.0011,0.0077,0.0,-0.0142,0.0,-0.0022,0.0,0.0,0.0033,-0.0,-0.0088
2026-07-14,230.0,236.0,230.0,236.0,256700,-0.0035,0.0027,0.0,0.0,-0.0005,0.0054,-0.0115,0.0075,0.0,0.0071,0.0066,-0.0023,-0.0104,0.0,0.0,0.0,-0.0013,0.0,0.0,0.0
2026-07-15,228.0,230.0,228.0,230.0,712600,0.0687,0.045,0.0001,0.0018,0.0021,-0.0011,-0.0301,-0.0066,0.0,-0.0244,0.0,-0.0339,-0.0228,0.0,0.0,0.0011,0.0,0.0,0.0,0.0
2026-07-16,238.0,238.0,228.0,228.0,683500,0.0198,0.0394,0.0,0.0,0.0006,-0.002,-0.0021,-0.0338,0.0002,-0.0014,0.0077,-0.0029,-0.0018,-0.0238,-0.0,0.0,0.0,0.0,0.0,0.0
2026-07-17,238.0,238.0,238.0,238.0,228300,-0.0205,0.0068,0.0009,0.0002,0.0024,-0.0003,0.0203,-0.0101,-0.0005,0.0008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,228.0,234.0,220.0,220.0,131300,,,,,,,,,,,,,,,,,,,,
2026-07-21,228.0,228.0,228.0,228.0,220300,,,,,,,,,,,,,,,,,,,,
2026-07-22,226.0,228.0,226.0,228.0,41800,,,,,,,,,,,,,,,,,,,,
2026-07-23,226.0,236.0,226.0,236.0,36200,,,,,,,,,,,,,,,,,,,,
2026-07-24,222.0,226.0,222.0,222.0,128200,,,,,,,,,,,,,,,,,,,,
