Date,Close,High,Low,Open,Volume,GR,XL,CC,PD,YP,EP,FS,XC,SQ,TP,OD,BQ,AK,NI,YU,AZ,ZP,YB,LG,TF,RO,MG,AF,DR,KK,LS,PC,HP,HD,BS,DH,CP,DX,CD,AG
2026-07-13,2900.0,2970.0,2870.0,2900.0,38100,-0.0026,0.0114,0.0066,-0.0,0.0006,-0.0067,0.0,0.0102,-0.0266,0.0,0.0029,0.0,0.0,0.0,0.0,0.0,0.0006,0.0,0.0,0.0,0.0,0.0,0.0,0.0026,0.0017,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0003,-0.0003
2026-07-14,2890.0,2950.0,2890.0,2950.0,19900,0.0,-0.0088,0.0217,-0.0017,0.0,0.0,0.0,-0.0009,0.0015,0.0,-0.0049,0.0059,0.0003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0049,0.0,0.0,0.0,0.0,0.0,0.0,0.0003,0.0,-0.0084,0.0,0.0
2026-07-15,3070.0,3110.0,2900.0,2900.0,279100,-0.5277,-0.0551,-0.027,-0.0085,0.0371,0.0,0.0,-0.002,-0.0004,0.0,0.0032,-0.0001,0.0,0.0045,0.0003,0.0052,0.0099,-0.0302,0.0,0.0,0.0,0.0,0.014,-0.0151,-0.0045,-0.0034,0.0,0.0,-0.0003,0.0,0.0,0.5999,0.0,0.0,0.0
2026-07-16,3180.0,3220.0,2900.0,3070.0,237900,-0.0067,-0.0503,0.1507,-0.0481,0.0294,-0.0019,-0.0016,-0.0051,0.2171,-0.003,-0.049,0.0,0.0,-0.0059,0.0,0.0,-0.007,-0.0048,0.0,0.0,0.0,-0.0032,0.0155,-0.0313,-0.002,0.0009,-0.0138,0.0023,-0.0,-0.179,-0.0032,0.0,0.0,0.0,0.0
2026-07-17,3190.0,3240.0,3140.0,3180.0,39900,0.001,0.0058,0.0075,0.0026,-0.0019,0.0016,-0.0016,0.0077,-0.0097,-0.0016,-0.0051,0.0048,0.001,-0.0003,0.0322,-0.0219,0.0016,-0.0016,-0.0032,-0.0016,-0.0013,-0.0157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,3280.0,3390.0,3220.0,3220.0,72200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-21,3320.0,3380.0,3250.0,3380.0,50300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-22,3260.0,3330.0,3170.0,3320.0,40700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-23,3300.0,3330.0,3250.0,3260.0,62600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-24,3270.0,3320.0,3250.0,3320.0,17100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
