Date,Close,High,Low,Open,Volume,XC,YU,LG,AZ,AK,EP,YP,DH,CC,YB,NI,BQ,PD,HD,QA,SQ,YJ,KK,CP,ZP,KI,OD,DX,AG,XL,SS,BK,AI,MG,TP,RG,IF,AO,GR,BR,IN,HP,CD,RO,DR,XA,AT,TF,PP,LS,FZ,AR,PC,SF,FS,BS,RF
2026-07-13,1770.0,1805.0,1740.0,1785.0,6747900,0.2028,-1.7,-0.0753,0.0262,2.6,-0.2506,-0.0522,0.0,0.1524,0.1273,0.1425,0.4407,-0.3129,0.0087,0.0002,1.5,0.0018,0.0341,0.5871,0.3276,0.152,-3.6,-0.0041,-0.3798,0.0589,0.0018,0.1915,-0.0831,0.0002,-0.0444,0.0,0.0016,0.0,-0.0868,0.0,0.0,0.0028,0.0,0.0014,0.0767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0088,0.0
2026-07-14,1840.0,1845.0,1740.0,1740.0,11997500,-0.2843,-2.0,-0.0021,-0.1044,8.4,-1.4,-0.3656,-0.3118,1.8,0.0043,0.0907,0.225,-0.2506,-0.012,0.0007,-1.3,-0.0103,0.0793,-1.6,-0.3495,0.0,-0.3533,0.0184,-0.0286,-2.6,0.0,0.8144,-0.1494,-0.0014,-0.1256,0.0,-0.0511,0.0005,0.0797,0.0,0.0,-0.0021,0.0,-0.0018,-0.1445,-0.0052,0.0168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.009,0.009
2026-07-15,1835.0,1860.0,1810.0,1860.0,13190600,0.3796,-3.6,-0.1764,0.0069,-2.5,-0.0316,0.6057,0.0522,-0.5973,-0.0203,2.4,-0.1375,0.1918,-0.0001,0.011,0.6643,0.0,0.2286,2.1,-2.2,0.1055,0.2581,0.0019,-0.4951,2.1,0.0,-0.2841,-0.0915,0.0019,0.043,0.0,0.0011,-0.0006,0.0543,0.0,0.0,0.0092,0.1725,0.0156,-0.1655,0.9501,0.0549,-0.0002,0.0,0.0,0.0,0.0,0.0007,0.0005,-0.0009,0.0,0.0
2026-07-16,1960.0,2020.0,1810.0,1835.0,27198100,-0.9728,-7.3,0.0044,-0.2147,4.7,-0.8747,1.5,0.0412,2.2,0.0,8.7,-0.3539,-0.6535,0.0,-0.0123,-2.6,0.0184,-0.1126,-2.0,0.8798,-0.1122,-0.3406,-0.0123,0.0466,-2.0,0.0,1.8,-0.1417,-0.1245,-0.9765,0.0,-0.0258,0.002,0.3152,0.044,0.0,0.0,0.0002,-0.0114,-0.1984,-0.9263,-0.0523,0.0006,0.2305,-0.1274,-0.0283,-0.2758,0.0,0.0,0.0,0.0,0.0
2026-07-17,1910.0,1950.0,1880.0,1950.0,13145600,0.1994,-4.0,0.1974,0.0156,2.0,-0.1343,0.1838,0.0492,-0.2146,-0.0236,0.1793,-0.2017,-0.0277,0.0346,0.0019,0.0073,0.0016,0.154,1.3,-0.3999,0.1092,0.1672,0.3139,0.0763,1.5,0.0019,-0.5221,-0.8033,0.0011,-0.132,0.0086,-0.2872,0.1345,0.1446,-0.0427,-0.0004,0.0019,-0.0948,-0.001,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,1930.0,1945.0,1885.0,1910.0,8368600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-21,1945.0,1970.0,1910.0,1930.0,12589200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-22,2020.0,2040.0,1950.0,1975.0,20532700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-23,1965.0,2060.0,1960.0,2020.0,16614900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-24,1920.0,1950.0,1865.0,1950.0,8419100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
