Date,Close,High,Low,Open,Volume,AF,CD,SS,CP,IN,RG,XL,IF,ZR,GR,CC,YP,AO,KK,AT,DX,SH,SF,LS,XC,FZ,AZ,IU,HP,PC,BK,MG,YJ,PD,DR,XA,EP,KI,AI,SQ,TP,OD,BQ,AK,NI,YU,ZP,PO,YB,LG,BR,SA,HD,PF,DH,MU,IH,TF,AG,ES,PG,RO,FS,RS,BS,ID,AD,BB,QA,RB,AR,PI,MI,KZ
2026-07-13,904.0,908.0,850.0,862.0,234474000,0.0,-0.0871,0.0,5.2,0.0,0.0,-0.5274,1.4,0.0,-0.2382,-4.7,-0.7943,0.4751,-0.2506,-0.2245,0.4956,0.6718,0.0,-0.573,-0.371,-0.0685,-0.6104,0.0385,0.3116,0.0,6.4,0.5374,-0.286,-2.7,0.7571,-1.0,0.0925,-1.3,0.0781,-0.5738,0.4971,-1.0,-0.4885,2.3,0.3819,0.2483,-3.6,0.0,-0.4563,0.2188,0.1333,-0.0362,0.3012,0.0,0.2837,-0.0315,0.0993,0.0,-0.1816,0.0,0.0,0.3413,0.0,0.0,0.0,-0.0497,0.0,0.0,0.0,0.0,0.0498,-1.6,0.5851,0.1801
2026-07-14,918.0,952.0,900.0,916.0,278953500,0.0,1.3,0.0,-0.7655,0.0,0.3711,13.2,4.4,0.0,-1.7,-12.5,3.6,-0.5782,2.2,0.5432,0.3165,-0.7049,0.0,-0.011,6.8,0.3731,-3.5,-0.3381,-0.1645,-0.0743,-7.8,0.1687,0.452,-1.5,1.6,-0.519,-0.2348,-0.096,0.1032,-0.0391,0.6397,0.253,0.6194,-5.9,0.5638,-0.9706,0.1465,0.0,7.1,-3.6,0.0,0.0,0.0902,0.0,-2.0,-0.0229,0.0,0.0,-2.0,-0.0584,0.0,-0.3396,0.0,0.0,0.0,0.0,0.0465,0.4745,0.0475,-0.0348,0.1077,0.0,0.0,0.0
2026-07-15,920.0,948.0,910.0,928.0,230706000,0.0,0.0,0.0,-0.2911,0.0,-0.0443,8.4,4.9,0.0,-0.4456,-6.0,2.9,0.4052,-4.3,0.1469,0.0,0.0649,0.0,0.085,8.1,0.0,0.7007,0.1502,-3.8,-0.0021,-0.249,4.4,0.0608,0.8131,-11.7,0.2477,-0.1835,0.579,0.164,-0.2602,0.0837,1.0,1.4,-5.4,0.9569,-1.1,1.6,0.1077,-0.6836,-2.3,-1.2,0.0,0.0991,0.0,-1.0,0.0,0.0,0.0,1.2,0.0,-0.0459,0.0,-0.0092,0.161,-0.0047,-0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-16,875.0,935.0,870.0,915.0,239714200,0.0,4.0,-8.8,0.1901,-0.0004,-0.0055,4.7,-1.4,0.0,-1.3,7.1,-3.2,-0.2235,0.0,0.1832,0.0819,0.0,0.0882,0.3005,0.5104,0.4045,-2.5,-0.0981,0.7551,0.0,-1.2,-6.4,-0.3121,0.8665,-1.8,0.7466,0.3746,0.2229,0.0,2.7,0.166,3.6,0.7532,-0.0807,2.4,-1.1,-0.4371,0.0,-0.5188,0.3169,0.4116,0.0,-0.605,0.0,0.5533,-0.0004,-0.1264,-0.0001,-1.6,0.0817,-0.1365,0.0729,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-17,885.0,915.0,875.0,875.0,141368800,0.009,-3.5,-1.8,5.5,1.8,0.1916,6.7,0.0377,-0.1402,-0.2365,-2.4,-3.1,0.0036,1.8,-0.1211,-3.4,-0.0463,0.0224,0.0608,-0.3534,0.0318,0.0159,0.0705,-0.8501,0.002,-0.1001,2.8,-0.2817,-1.2,-0.2739,-0.2235,-0.7503,0.4721,-0.5625,2.8,-0.7428,-1.1,-0.9848,1.4,0.3779,-2.9,0.2185,0.0023,-0.7567,2.1,-0.1906,0.0027,0.107,0.0177,-0.2841,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,915.0,915.0,870.0,885.0,199158300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-21,960.0,965.0,905.0,925.0,448019200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-22,945.0,980.0,930.0,970.0,302472100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-23,910.0,975.0,895.0,945.0,346094800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-24,870.0,905.0,870.0,900.0,144490800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
