Date,Close,High,Low,Open,Volume,NI,OD,QA,DR,YP,XC,LG,XL,AK,AT,ZP,PD,IF,KI,CC,CP,BK,RO,XA,YB,SQ,YU,KK,DH,BQ,AZ,AG,MG,GR,ID,EP,TP
2026-07-13,200.0,210.0,200.0,210.0,3253100,-0.0,-0.0017,0.0002,-0.0042,-0.0162,0.0088,0.0,0.0085,0.0459,-0.0004,-0.0023,0.0021,0.0,0.0,-0.0225,0.001,-0.0077,-0.0016,-0.0019,0.0,-0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0069,0.0,0.0,-0.0136,-0.0004
2026-07-14,199.0,206.0,196.0,204.0,6174500,0.0024,0.0,-0.0,0.003,-0.0004,-0.0048,0.0,0.0172,0.0781,-0.002,0.0063,0.0106,0.0,0.0,1.0,-1.1,0.0324,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,-0.0672,0.0,0.004,0.0,-0.0094
2026-07-15,212.0,214.0,197.0,202.0,1534000,0.001,-0.024,-0.0001,-0.0053,0.0009,-0.0073,0.0,-0.0645,0.0164,-0.008,0.0716,0.014,0.0,0.0,0.0798,0.0019,0.0,0.0,0.0,0.0,-0.001,0.0,0.0,0.0002,0.0028,0.0,-0.0005,-0.0717,0.0,-0.0063,-0.0,-0.0
2026-07-16,216.0,224.0,212.0,212.0,2002100,0.0,0.0026,-0.0004,0.0,-0.034,0.0063,0.0,-0.0239,-0.0123,0.0001,0.0036,-0.006,-0.001,0.0,0.0608,-0.0006,0.0053,-0.0,-0.0001,-0.0003,-0.0015,-0.0043,0.0008,-0.0001,-0.0,0.0022,0.0025,0.0,0.0001,0.0,0.0,0.0
2026-07-17,210.0,220.0,208.0,220.0,671300,-0.0035,0.0001,0.0032,-0.0,-0.0053,0.0002,-0.0004,0.0547,-0.0399,-0.0,0.0009,-0.0074,-0.0001,-400.0,-0.0067,0.0042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,212.0,216.0,206.0,216.0,431500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-21,208.0,226.0,204.0,226.0,1365200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-22,206.0,210.0,204.0,210.0,791500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-23,204.0,210.0,200.0,206.0,688600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-24,200.0,206.0,197.0,204.0,492700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
