Date,Close,High,Low,Open,Volume,XC,YU,LG,XA,AZ,PC,AT,AK,EP,YP,DH,CC,SF,YB,NI,BQ,PD,HD,QA,SQ,YJ,PO,KK,CP,ZP,KI,OD,BK,AI,XL,AG,FZ,MG,TP,AR,IF,GR,HP,RO,DR,AO,DX,RF,JB,BR,CD
2026-07-13,59.0,62.0,56.0,62.0,203086500,0.1741,0.0311,0.0305,0.8321,-0.0113,0.0,0.0128,0.1061,0.0793,0.2986,0.1137,2.7,-0.0191,0.0,0.27,-8.1,0.6503,-0.007,0.0,0.1447,-0.0038,0.0,0.1032,0.4037,-0.0323,0.0,0.2293,0.0,0.0699,1.4,0.0,-0.001,0.1153,0.0521,0.1345,0.0,0.0586,0.0121,0.0,0.1191,0.0201,0.0,0.0,0.0,0.0,0.0
2026-07-14,60.0,62.0,59.0,60.0,69731100,0.0077,0.0009,-0.0004,-0.0011,-0.0062,0.0,-0.0003,0.3608,-0.0503,-0.1399,-0.078,1.8,0.0,-0.0317,-0.0908,-1.8,0.0411,0.0,-0.0003,0.064,0.0425,-0.0006,0.0074,-0.0908,0.0704,0.0,-0.1315,0.0707,-0.0044,0.0349,0.0,-0.0063,-0.1405,0.0,-0.0452,0.0,-0.013,-0.0057,0.0002,0.1842,-0.0061,0.0,0.0,0.0016,0.0001,-0.003
2026-07-15,59.0,61.0,58.0,60.0,99058300,0.2473,0.038,0.1425,1.2,-0.0,0.0,0.0,0.0865,-0.5178,0.1597,-0.0278,0.1126,0.0,0.0,0.1239,-3.1,0.0531,0.0,0.0107,0.0078,0.2514,0.0,0.0233,0.0879,0.0,0.0071,0.0698,-0.0157,0.0459,-0.2879,0.0,0.125,0.2238,0.0175,0.069,0.0,0.1147,0.0122,0.0,0.6524,0.0,0.0,0.018,-0.0007,0.0,0.0
2026-07-16,57.0,59.0,56.0,59.0,125355700,0.2294,0.0,0.0,0.2857,0.0,0.0,0.0,0.0123,-0.4192,0.234,0.018,0.796,0.0,0.0667,0.0873,-4.6,0.1808,0.0,0.0,0.0272,0.1791,0.0,0.0206,0.1908,0.0141,0.0,0.0512,-0.0276,0.0365,0.9418,0.0072,-0.115,0.7425,0.0,0.161,0.0,0.1086,0.0944,0.0075,0.6238,0.0171,-0.0012,0.0,0.0,0.0,0.0
2026-07-17,57.0,58.0,55.0,58.0,165495200,0.1795,-2.4,0.7463,-0.0265,-0.0055,-0.0001,0.1181,-0.3121,-0.4284,0.0862,-0.0279,1.1,0.0422,-0.0022,0.2797,-2.7,0.1016,-0.0057,0.0003,1.3,-0.183,0.0006,0.0209,-0.017,-0.0438,0.0017,0.0446,0.0095,0.0066,0.9462,0.0001,0.1105,-0.1649,0.0096,0.6788,0.0275,0.3382,-0.0594,0.0084,0.1977,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,58.0,60.0,56.0,57.0,128229400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-21,60.0,60.0,58.0,58.0,156427000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-22,59.0,61.0,58.0,60.0,160425700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-23,58.0,63.0,58.0,59.0,290384400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-24,58.0,60.0,57.0,58.0,135018300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
