Date,Close,High,Low,Open,Volume,AK,BK,TP,NI,RO,XA,CC,PD,OD,BQ,BB,KI,SQ,YP,XC,KK,XL,DR,LG,FS,ZP,EP,GR,DH,PC,AZ,YU,IF
2026-07-13,6425.0,6475.0,6325.0,6425.0,54900,-0.0336,-0.0045,0.0006,0.0064,0.0013,0.0,0.0609,0.0134,-0.0,0.0,0.0,0.0,-0.0318,0.0012,0.0413,0.0147,-0.0353,0.0,0.0,0.0,-0.0562,0.0,0.0,0.0032,0.0,0.0,0.0178,0.0006
2026-07-14,6450.0,6675.0,6400.0,6425.0,79400,-0.1007,0.0006,0.0,0.001,0.0,0.0658,-0.0531,0.0071,-0.0122,0.0,0.0,-0.0013,-0.0514,0.1012,0.058,-0.0233,-0.0424,0.0,0.0,0.0,0.0,0.0032,0.0006,0.0,0.0,0.0007,0.0464,0.0
2026-07-15,6500.0,6600.0,6425.0,6450.0,62100,-0.1345,0.0006,0.0,0.0458,-0.0,0.0,-0.0338,0.0077,-0.0317,0.0,0.0,0.0,0.0115,-0.0084,0.107,0.0019,0.0262,0.0,0.0,0.0,0.0,0.0,0.0006,0.0006,0.0065,0.0,0.0,0.0
2026-07-16,6575.0,6650.0,6500.0,6500.0,31300,-0.0478,-0.002,0.0256,-0.0297,0.0072,0.0,-0.0231,0.0112,-0.002,0.0,0.0,0.0007,0.0013,-0.0053,0.0377,-0.0013,0.0141,0.0449,-0.0013,-0.0007,-0.0322,-0.0007,0.0033,0.0,0.0,0.0,0.0,0.0
2026-07-17,6550.0,6650.0,6500.0,6650.0,49600,-0.0799,-0.0007,0.0725,0.0294,0.0033,0.0663,-0.0765,0.002,0.0013,-0.0007,-0.0497,-0.0007,0.0066,-0.0188,0.0288,0.002,0.015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,6700.0,6725.0,6550.0,6550.0,66600,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-21,6700.0,6725.0,6675.0,6700.0,47400,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-22,6650.0,6800.0,6550.0,6700.0,80400,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-23,6700.0,6725.0,6500.0,6650.0,232200,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-24,6550.0,6700.0,6425.0,6675.0,55300,,,,,,,,,,,,,,,,,,,,,,,,,,,,
