Date,Close,High,Low,Open,Volume,XC,SQ,RO,LG,MI,CP,DX,XL,YP,CC,PD,NI,PC,OD,GR,KK,BQ,AT,EP,AZ,DH
2026-07-13,630.0,640.0,630.0,640.0,41300,0.0002,0.0,0.0,0.0,0.0,0.0,-0.0001,-0.0039,-0.0002,0.0041,-0.0003,0.0001,0.0,0.0001,0.0,-0.0012,0.0,-0.0006,0.0,0.0,0.002
2026-07-14,635.0,650.0,620.0,635.0,63100,-0.0037,0.0002,0.0,-0.0001,0.003,0.0,0.0,0.0113,0.0,-0.0091,0.0001,0.0018,0.0,0.0,-0.0003,0.0,-0.0003,0.0,0.0,-0.002,-0.001
2026-07-15,630.0,650.0,625.0,635.0,20800,0.0001,0.0053,0.0,0.0,0.0,0.0009,0.0,-0.0024,0.0002,-0.0023,0.0022,-0.0029,0.0,0.0,0.0,0.0002,-0.001,-0.0001,-0.0,0.0,0.0
2026-07-16,635.0,645.0,630.0,630.0,20400,0.0006,-0.0008,0.0003,0.0,0.0,0.0,0.0001,0.0001,0.0008,-0.0018,-0.0003,0.0,0.0002,0.0006,0.0001,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-17,630.0,650.0,625.0,635.0,25100,-0.0005,-0.0004,-0.0005,-0.0027,0.0032,-0.0009,-0.0001,-0.0013,0.0004,0.0032,-0.0004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,630.0,650.0,630.0,640.0,23800,,,,,,,,,,,,,,,,,,,,,
2026-07-21,635.0,640.0,625.0,630.0,43800,,,,,,,,,,,,,,,,,,,,,
2026-07-22,640.0,645.0,625.0,640.0,48000,,,,,,,,,,,,,,,,,,,,,
2026-07-23,635.0,655.0,630.0,645.0,53600,,,,,,,,,,,,,,,,,,,,,
2026-07-24,625.0,645.0,625.0,635.0,36800,,,,,,,,,,,,,,,,,,,,,
