Date,Close,High,Low,Open,Volume,NI,XA,CC,OD,YB,QA,DR,SQ,YP,ES,HP,JB,LG,XC,XL,KK,YJ,AI,DH,AZ,PC,CP,BK,RO,RB,YU,AK,AT,ZP,CD,EP,TP,PD,BQ,KI,GR,HD,DX,PP,AG,AR,BB,DP,IF,ZR,FZ,LS,AO,RS,TF,KZ,GI
2026-07-13,770.0,770.0,760.0,770.0,1613900,-0.0707,0.0,-0.1432,-0.0132,0.0,-0.0002,-0.0096,0.1254,-0.0551,0.0,0.0,0.0002,-0.022,0.013,0.0055,0.0413,0.0842,0.0,0.004,0.0025,0.0,0.0308,-0.0296,-0.0008,0.0,-0.0008,-0.0728,0.0022,-0.2069,0.0,-0.037,-0.0152,0.0168,0.0,0.0,0.0136,0.0005,0.0015,0.0,-0.0008,0.0,0.0,0.0,0.0087,0.3305,-0.0027,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-14,765.0,780.0,765.0,770.0,2084900,0.1188,0.0,0.1672,0.0785,0.0008,0.0002,-0.0042,0.0654,0.0025,0.0,0.0,-0.0,0.0076,0.0962,0.2838,0.0031,-0.0,0.0,0.0831,-0.0184,0.0,0.0189,-0.0026,0.0001,0.0,-0.4796,-0.031,0.0077,-0.0065,0.0,-0.0072,0.0039,-0.1018,0.0,0.0016,0.0502,-0.001,0.0,0.0,-0.0002,0.0,0.0,0.0,-0.0077,-0.3296,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-15,770.0,775.0,760.0,765.0,1022900,-0.0511,0.0011,0.362,-0.0054,0.0,0.0009,-0.0012,-0.0028,0.0502,0.0,0.0002,0.0001,0.0017,0.0748,-0.1226,-0.0638,0.0,0.0,0.0024,0.0,0.0001,0.0021,0.0235,0.0011,0.0,0.0047,0.0032,0.0,0.0009,0.0077,-0.0004,0.0077,-0.0556,0.0,0.0042,0.0028,0.0012,0.0,0.0,-0.0003,0.0,-0.2118,-0.0305,-0.007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-16,770.0,780.0,770.0,770.0,1847100,0.1371,0.0,-0.1226,0.0019,-0.0388,0.0001,0.0095,-0.0001,-0.028,-0.0078,0.0,0.0103,0.0044,-0.1238,0.4244,0.0103,0.0004,0.0,-0.0029,0.0845,0.0,0.0005,0.0084,-0.0002,0.0,0.0,-0.0026,0.0001,0.0062,0.0,-0.008,-0.3316,-0.1968,0.0001,0.0001,0.2322,0.0,0.0002,-0.0677,-0.0001,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-17,785.0,790.0,770.0,775.0,2218600,-0.054,-0.0015,0.0374,0.0359,0.0016,-0.0017,0.003,0.0207,0.2882,-0.0078,0.0052,0.0001,0.0023,-0.0965,0.3838,-0.0662,-0.0004,0.0002,-0.1917,-0.0219,0.0005,0.0328,-0.0001,0.0009,0.0089,-0.1906,-0.0064,0.0162,0.0002,0.0077,-0.0778,-0.006,-0.1158,0.0015,-0.0003,-0.0081,0.0,-0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,785.0,795.0,785.0,785.0,1687400,0.149,0.0001,0.0706,-0.1063,-0.0001,-0.0013,0.0013,0.1104,-0.007,0.0,0.002,-0.0001,0.0236,0.0078,0.1196,0.0083,0.0,0.0,-0.2015,0.0,0.0006,0.0798,0.0135,0.01,0.0,0.0,-0.0121,0.0,0.001,0.0,0.004,0.0573,0.095,0.0,0.0,-0.1,0.0002,-0.0006,0.0,0.0001,0.0,-0.2154,0.0,-0.0165,0.0,0.0,0.0,-0.0002,0.0,0.0,-0.0933,0.0001
2026-07-21,790.0,795.0,785.0,790.0,1106500,0.1103,0.0,0.0149,0.0056,-0.0628,0.0,0.0039,-0.0446,0.0186,0.0,0.0023,0.0045,0.0,0.0258,-0.0148,-0.0039,0.0001,0.0,-0.0015,0.004,0.0,0.0,-0.0011,0.0006,-0.0089,0.002,0.0277,-0.0001,0.0918,0.0,0.0068,-0.0035,0.0078,0.0,0.0,-0.0,-0.0014,0.0,0.0,-0.1612,0.0,0.0,0.0,-0.0229,0.0,0.0,0.0,-0.0001,0.0,0.0002,0.0,0.0
2026-07-22,790.0,795.0,785.0,790.0,495800,-0.0641,0.0003,-0.0025,-0.001,-0.0002,0.0,0.0006,-0.0034,-0.0299,0.0,-0.0051,0.0002,0.0001,0.0013,0.0951,0.0032,0.0,0.0,0.0001,0.0,0.0,0.0002,0.0003,0.0011,0.0,-0.0008,-0.0103,0.0,0.0002,0.0,0.0156,-0.0024,0.0067,0.0001,-0.0003,-0.0111,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,-0.0021,0.0,0.0,-0.0004,0.0005,0.0079,0.0,0.0,0.0
2026-07-23,790.0,790.0,785.0,790.0,2137000,-0.1746,0.0391,0.1368,0.3009,0.0,0.0,0.2485,0.007,-0.0882,-0.0079,0.0035,0.0015,0.0,0.0291,0.1044,-0.0341,0.0,0.0,-0.0067,-0.0049,0.0,0.1401,-0.0002,-0.007,0.0,-0.1525,0.0551,0.0,-0.1882,0.0,0.0001,0.0002,-0.0215,-0.0117,0.0055,-0.0112,0.0005,-0.0192,0.0,0.0,0.0001,-0.3493,0.0,0.021,0.0,0.0,-0.0161,-0.0001,0.0,0.0,0.0,0.0
2026-07-24,785.0,790.0,775.0,790.0,1631300,0.0392,0.0,-0.2874,0.1708,0.0001,-0.0001,0.0025,-0.1221,0.0149,0.0,0.0,0.0002,-0.0041,0.0057,0.0711,-0.0678,0.0004,0.0,0.0152,0.0,0.0,0.0293,-0.0001,0.0009,0.0,0.0098,0.0211,-0.0079,0.0002,0.0,0.0094,0.0,0.0018,0.0,0.0008,0.0904,0.0003,0.0,0.0,0.0,0.0,0.0,0.0,0.0053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
