Date,Close,High,Low,Open,Volume,NI,XA,OD,DR,SQ,YP,XC,LG,KK,XL,AT,DH,PD,CC,DX,CP,EL,EP,AZ,BQ,YB,MG,GR,CD,HP,ZP,RG,PC,TP,AO,RO,YU,LS,IF,FZ,QA
2026-07-13,350.0,354.0,346.0,350.0,297000,-0.0324,0.0,-0.0004,0.0,0.003,-0.0002,0.001,0.0692,0.0,-0.0504,0.0002,0.0,0.0009,0.0126,0.0,0.0,0.0,0.0,0.0,-0.0001,-0.0,-0.0035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-14,352.0,354.0,344.0,350.0,92200,-0.0005,0.0,0.0,0.0,-0.0002,-0.0004,-0.0004,0.0,0.0,-0.0018,0.0001,0.0,-0.0003,0.0033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-15,354.0,356.0,350.0,354.0,52800,0.0017,0.0,0.0,0.0,0.0,-0.0008,0.001,-0.0008,-0.0,-0.0035,0.0002,0.0,0.0014,0.0006,0.0,0.0,0.0003,0.0,-0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-16,358.0,364.0,350.0,350.0,250500,0.0009,0.0001,0.0025,0.0,-0.021,-0.009,0.0116,0.0,-0.0017,-0.0046,0.0,0.0,0.0001,0.0223,0.0,0.0,0.0,-0.0001,-0.0011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-17,354.0,368.0,348.0,368.0,420500,-600.0,-0.0705,-0.0004,0.0,0.0001,-0.0098,-0.0062,0.0071,-0.0,0.0759,-0.0,0.0,-0.0172,0.0189,-0.0015,0.0035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,388.0,392.0,354.0,354.0,1727900,-0.0211,-0.0001,-0.0115,0.0002,-0.0186,-0.0476,-0.0053,-0.0013,0.0049,-0.0442,-0.0002,0.0,-0.0471,0.0225,-0.0244,-0.0289,0.0,-0.0008,-0.0143,-0.0042,-0.0019,0.0,0.2639,0.0,-0.0003,0.0,0.0,0.0,-0.001,0.0,-600.0,-0.0166,-0.0004,-0.0001,-0.001,-0.0005
2026-07-21,392.0,402.0,380.0,394.0,1528700,-0.0018,0.0,-0.0,-0.0002,-0.0242,-0.0217,-0.0048,-0.0,0.0086,0.0197,-0.0029,-0.0059,0.0013,-0.0345,0.0,-0.3241,0.0,-0.0002,0.0,0.0,0.0,-0.0002,0.3941,0.0,-0.0004,0.0,0.0,0.0,0.0,0.0,800.0,-0.0028,0.0,0.0,0.0,0.0
2026-07-22,388.0,396.0,382.0,392.0,214400,0.0001,0.0,0.0001,0.0,-0.0001,-0.0226,-0.0118,0.0,-0.0066,-0.0262,0.0,0.0,0.0134,0.0187,0.0,0.0,0.0,-0.0,-0.0001,0.0,0.0,0.0,0.035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0
2026-07-23,386.0,392.0,382.0,390.0,704200,0.0069,0.0,0.0001,0.0,-0.0153,-0.0003,0.0003,0.0,0.0075,-0.0387,0.0,0.0,-0.0157,0.0312,0.0,0.0,0.0,-0.0002,0.0,0.0,0.0,0.0,0.0135,0.0,0.0003,0.0,0.0078,0.0,0.0019,0.0007,0.0001,0.0,0.0,0.0,0.0,0.0
2026-07-24,378.0,394.0,372.0,394.0,668100,0.0037,0.0,0.0007,0.0,-0.0906,0.0041,0.0012,0.0,0.0,0.1021,0.0,-0.0,-0.0414,-0.0033,0.0,0.0666,0.0,0.0004,0.0,0.0,0.0,0.0,-0.0339,0.0002,400.0,-0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
