Date,Close,High,Low,Open,Volume,XC,SQ,FS,YB,AZ,XA,KK,BQ,NI,AT,KI,GR,OD,XL,YP,CC,PD,QA,CP,MG,IF,PG,LG,AG,EP,GI,DR,YU,RO,AI,SF,TP
2026-07-13,116.0,121.0,114.0,117.0,1281000,0.0043,0.0,0.0,-0.0149,0.0107,0.0117,0.0078,0.006,-0.0,0.0,-0.0001,0.0,-0.0465,0.0218,-0.0047,0.0071,0.0028,0.0,-0.0023,-0.0035,0.0,0.0,0.0,0.0,-0.0001,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0
2026-07-14,116.0,120.0,114.0,116.0,1456300,-0.0023,0.0177,0.0,-0.0028,-0.0071,0.0,-0.0082,-0.0169,-0.001,0.0,0.0,0.0,-0.0058,-0.0404,-0.0097,0.0121,0.0157,0.0,0.0,0.0,0.0,0.0476,0.0,0.0,-0.0002,0.0,0.0019,-0.0006,-0.0001,0.0,0.0,0.0
2026-07-15,119.0,123.0,115.0,116.0,3108300,-0.0054,0.0024,0.0,-0.0052,-0.004,-0.0001,0.0045,0.0038,0.0004,0.0073,-0.0,0.0005,-0.0286,-0.0634,-0.0083,0.0014,-0.0193,0.0,0.0,0.0,0.0,0.1189,100.0,0.0,-0.002,-0.0,-0.003,0.0,0.0,0.0,0.0,0.0
2026-07-16,121.0,122.0,116.0,119.0,1911700,-0.0155,0.0017,0.0589,0.0001,0.0,-0.0119,-200.0,-0.0,-0.0001,0.0,0.0,0.0005,0.0015,-0.1284,0.0001,0.0136,0.0043,0.026,-0.0003,-0.0,0.0004,0.0492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-17,121.0,122.0,120.0,122.0,707200,-0.0036,0.0005,0.0171,0.0,0.0002,-0.001,0.0,-0.0047,-0.0007,0.0011,0.0001,-0.0165,-0.0001,-0.0027,0.0224,-0.0088,-0.0035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,122.0,125.0,121.0,122.0,472100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-21,127.0,132.0,122.0,123.0,5365800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-22,122.0,129.0,122.0,129.0,1779000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-23,125.0,130.0,121.0,122.0,1724100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-24,121.0,125.0,121.0,125.0,693700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
