Date,Close,High,Low,Open,Volume,ZP,KK,YP,CC,XL,SQ,DX,CP,NI
2026-07-13,4090.0,4090.0,3960.0,3960.0,1500,-0.0016,0.0,0.0004,0.0,0.0029,0.0,0.0,-0.0021,0.0004
2026-07-14,4090.0,4090.0,4090.0,4090.0,0,,,,,,,,,
2026-07-15,4090.0,4090.0,4090.0,4090.0,9500,-0.0008,0.0,0.0,-0.0004,0.0335,0.0,0.0,-0.0323,0.0
2026-07-16,4090.0,4090.0,4090.0,4090.0,3200,0.0,0.0,0.0,0.0037,0.0061,0.002,0.0004,-0.0123,0.0
2026-07-17,4180.0,4180.0,4020.0,4090.0,700,-0.0016,-0.0,0.0017,-0.0008,0.0008,0.0,0.0,0.0,0.0
2026-07-20,4220.0,4220.0,4180.0,4180.0,3000,,,,,,,,,
2026-07-21,4220.0,4220.0,4220.0,4220.0,9900,,,,,,,,,
2026-07-22,4250.0,4250.0,4250.0,4250.0,500,,,,,,,,,
2026-07-23,4290.0,4290.0,4290.0,4290.0,2300,,,,,,,,,
2026-07-24,4290.0,4290.0,4290.0,4290.0,0,,,,,,,,,
