Date,Close,High,Low,Open,Volume,NI,HD,XA,OD,YB,QA,SQ,YP,XC,LG,KK,XL,SA,DH,AZ,MG,PC,CP,BK,RO,IN,YU,AK,AT,ZP,EP,PD,BQ,AG,GR,CC,DX,DR,RG,FS,IF,KI,HP,AI,GI,AR
2026-07-13,100.0,103.0,98.0,101.0,57669100,0.0142,0.001,0.0214,0.0208,0.0017,0.0,-0.001,0.0158,-0.0873,0.0083,-0.0069,0.0299,-0.0075,-0.0,-0.0002,-0.0033,0.0,0.0013,0.0078,0.0001,0.0,0.01,-0.0094,0.0,0.0,-0.0144,0.0507,-0.006,0.1587,0.0,-0.1878,0.0001,0.0,0.0,-0.0,0.0,0.0,0.0071,-0.0002,0.0,-0.025
2026-07-14,100.0,103.0,98.0,100.0,64684500,0.0038,-0.0005,-0.0011,-0.0086,-0.0056,0.0003,0.0011,0.0073,0.0502,-0.0001,-0.1082,0.0055,-0.0075,0.0152,-0.1732,0.0084,0.0,-0.0069,-0.0061,0.0,0.0,0.0175,-0.0192,0.0,-0.0001,0.0209,-0.1297,-0.0014,-0.4109,0.0,0.7514,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0022,-0.0003,0.0,0.0
2026-07-15,99.0,101.0,99.0,101.0,23212400,0.0115,0.0035,-0.0147,-0.0692,0.011,-0.0017,-0.0022,0.0097,0.0455,0.0087,-0.1171,0.1766,0.0,0.0003,0.0,0.0008,0.0,-0.0289,0.0,0.0,0.0,0.0,-0.0167,-0.0001,0.0,-0.0002,0.0048,0.0049,-0.0082,0.0,-0.0283,-0.0,0.0,0.0,-0.0,0.0001,0.0099,0.0,0.0,0.0,0.0
2026-07-16,99.0,103.0,98.0,100.0,63747400,-0.0001,-0.0019,0.0044,0.0049,-0.0141,-0.0,0.0005,0.073,0.0332,0.0067,0.0329,0.1735,-0.008,0.0,0.0001,0.0001,0.0253,-0.168,0.008,0.0,0.0,0.0011,-0.0235,0.0011,0.0112,-0.0153,0.0183,0.0093,-0.1179,0.002,-0.0569,0.0,0.0001,-0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-17,103.0,105.0,99.0,99.0,73710800,-0.0453,-0.0004,0.0124,-0.0129,-0.0152,-0.0002,-200.0,0.1105,-0.0832,0.0022,-0.0074,-0.2472,-0.008,-0.0001,0.0022,-0.0095,-0.0255,-0.0321,0.0537,0.0,0.0103,-0.0016,-0.0236,-0.0006,-0.022,-0.0103,-0.0861,-0.0101,-0.1129,0.0001,0.5628,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,105.0,108.0,102.0,105.0,93429000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-21,102.0,106.0,101.0,106.0,93280200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-22,103.0,104.0,101.0,103.0,58089500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-23,110.0,110.0,102.0,104.0,90065600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-24,100.0,109.0,100.0,109.0,90722900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
