Date,Close,High,Low,Open,Volume,Sektor,Sub_Sektor,TP,CP,PD,DR,XL,SQ,CC,EP,YU,NI,KK,AT,ID,XC,MG,OD,YP,YB,DH,AZ,RO,YJ,LG,RB
2026-07-13,39.0,39.0,37.0,37.0,3598500,Barang-Konsumen-Primer,Perdagangan Ritel Barang Primer,0.0059,0.05,0.0002,0.0006,0.0144,0.0,0.0008,0.0,0.0081,-0.0,0.0,0.0,0.0,0.0048,0.0,0.0001,0.0025,0.0,0.0,-0.0001,0.0,0.0037,-0.0925,0.0015
2026-07-14,38.0,39.0,37.0,39.0,3099200,Barang-Konsumen-Primer,Perdagangan Ritel Barang Primer,0.006,-0.0287,0.0,0.0003,0.0173,-0.0005,0.0,0.0001,0.002,0.0,0.0004,0.0,0.0019,0.0016,0.0,0.0001,0.0,0.0,0.0,-0.0005,-0.0,0.0,0.0,0.0
2026-07-15,39.0,40.0,39.0,39.0,1340500,Barang-Konsumen-Primer,Perdagangan Ritel Barang Primer,-0.0031,0.0078,-0.0,-0.0008,0.0108,0.0,0.0114,0.0,-0.0068,-0.002,-0.0027,-0.002,0.0,-0.0043,0.0,0.0,-0.004,-0.0048,0.0004,0.0,0.0,0.0,0.0,0.0
2026-07-16,38.0,39.0,38.0,39.0,826200,Barang-Konsumen-Primer,Perdagangan Ritel Barang Primer,0.0029,0.0194,-0.0098,0.0,-0.0079,0.0,0.0006,0.0,0.0022,0.0019,0.0015,-0.0019,0.0,-0.006,0.0,0.0,-0.0029,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-17,38.0,39.0,38.0,38.0,708900,Barang-Konsumen-Primer,Perdagangan Ritel Barang Primer,0.0039,0.0123,0.0,-0.0011,-0.013,0.0,-0.0038,-0.0001,0.0009,-0.0017,0.0002,-0.0003,0.0019,-0.0003,0.0011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,38.0,38.0,38.0,38.0,2592500,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-21,38.0,38.0,38.0,38.0,1503800,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-22,39.0,39.0,38.0,38.0,165000,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-23,39.0,39.0,38.0,38.0,1709100,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-24,38.0,38.0,38.0,38.0,1809900,,,,,,,,,,,,,,,,,,,,,,,,,,
