Date,Close,High,Low,Open,Volume,DH,RO,PD,BQ,YB,DR,YP,XC,CC,XL,CP,TP,NI,EP,IU,MG,SQ,GR,KK,XA,LG,SF,OD,AZ,YU,YJ,KI,AT,DX,IF,QA,PG,GI,AG
2026-07-13,29.0,29.0,28.0,29.0,984900,0.0001,0.0,0.0008,0.0001,-0.0036,0.0,-0.0004,-0.002,0.0022,0.0023,0.0,0.0,0.0003,0.0,0.0,-0.0003,0.0016,0.0,-0.0007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0006,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-14,30.0,30.0,27.0,28.0,6724400,0.0,0.0,0.0198,-0.0007,-0.0005,0.0006,0.0029,-0.0204,0.0045,0.0663,-0.03,0.0,0.0006,-0.0005,0.0,0.0,0.0,0.0,-0.0427,0.0,-0.0,0.0,-0.0001,0.0,0.0004,-0.0004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-15,31.0,31.0,30.0,31.0,2868400,-0.0,0.0,-0.0,0.0003,0.0005,0.0028,0.0029,-0.0026,-0.0069,0.0457,0.0,0.0,0.0,0.0,0.0,-0.0009,0.0,0.0,-0.026,-0.0003,-0.0124,-0.0031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-16,30.0,31.0,30.0,31.0,910500,-0.0,0.0,0.0002,-0.0002,0.0,0.0,0.0019,-0.0012,-0.0046,0.0001,0.0,0.0,0.0003,-0.0002,0.0012,0.0043,0.0016,0.0006,-0.0041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-17,30.0,30.0,29.0,30.0,438500,0.0,-0.0,-0.0032,0.0003,0.0026,-0.0029,0.001,0.0001,0.0001,0.0017,0.0005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,29.0,30.0,29.0,29.0,793400,-100.0,0.0,0.0005,0.0,0.0007,0.0,-0.0001,-0.0005,0.0028,-0.0035,0.0,0.0,0.0,0.0,0.0,0.0,0.0005,0.0013,-0.0018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-21,30.0,30.0,29.0,29.0,1510500,-0.0,0.0,0.0003,0.0001,0.0008,0.0,0.0,-0.0121,-0.0081,0.0133,0.0,0.0,-0.0002,-0.0007,0.0,0.0,-0.005,0.0116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-22,28.0,30.0,28.0,30.0,1835500,0.0,0.0,-0.0059,-0.0,0.0148,-0.0001,-0.0003,-0.0,0.0113,-0.0141,0.0,-0.014,0.006,0.0001,0.0,0.0,0.0003,0.0,0.0,0.0001,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0018,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-23,28.0,28.0,27.0,28.0,2286300,0.0004,0.0,0.0008,0.0001,0.0028,0.0,0.0036,0.0014,0.0043,0.0071,0.0072,0.0001,0.0007,-0.0003,0.0,0.0004,-0.0042,-0.0109,0.0056,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.014,0.0004,-0.0001,0.0,-0.0054,-0.0,0.0
2026-07-24,28.0,28.0,28.0,28.0,472000,0.0,0.0,-0.0018,0.0,0.0012,0.0001,0.0004,0.0007,-0.0023,-0.003,0.0032,0.0001,0.0007,0.0,0.0,0.0,0.0006,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003,0.0,0.0,0.0,0.0,0.0,0.0
