Date,Close,High,Low,Open,Volume,XC,SQ,LG,AZ,KK,ZP,AT,OD,EP,AG,XL,YP,DH,CC,NI,GR,PD,RO,DR,YU,AK,MG,TP,BS,CP,FZ,CD,LS,YB,HP,RS,BQ
2026-07-13,4360.0,4400.0,4330.0,4350.0,203000,0.0449,0.023,0.0,0.0004,0.0017,0.0004,-0.0316,-0.0027,-0.0092,0.0,0.0703,-0.193,0.0013,0.1928,0.0357,0.0004,-0.0596,0.0013,0.0,0.0,-0.0481,0.0,0.0,-0.0022,0.0004,-0.0022,0.0009,0.0009,0.0263,0.0,-0.0436,-0.0087
2026-07-14,4360.0,4400.0,4320.0,4360.0,300000,-0.0087,0.0178,0.0,0.0022,0.0222,-0.3211,0.007,0.0309,0.0022,0.0,-0.2004,0.0336,0.0092,0.0454,-0.0065,0.0,0.0716,0.0,0.0,-0.1637,0.4554,0.0,0.0044,0.0022,0.0,0.0022,-0.0087,0.0013,0.0013,0.0004,0.0,0.0
2026-07-15,4420.0,4450.0,4360.0,4360.0,165400,0.2478,0.0,0.0876,0.0,0.0159,0.0225,0.0004,-0.2311,0.0053,0.0,-0.194,0.061,0.0097,0.0487,-0.0035,0.0,-0.0729,0.0,0.0027,0.0,-0.0004,0.0,0.0004,-0.0022,0.0088,-0.0022,-0.0044,0.0,0.0,0.0,0.0,0.0
2026-07-16,4440.0,4450.0,4420.0,4420.0,202300,0.1477,0.02,-0.0009,0.0,0.0888,0.0004,0.0018,-0.2434,0.0022,0.0,-0.0402,-0.0484,-0.1551,-0.0021,-0.0093,0.0,0.2282,0.0,0.0009,0.0004,-0.0004,0.0089,0.0004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-17,4510.0,4510.0,4440.0,4440.0,167500,0.1252,0.0036,0.0845,-0.009,-0.0044,0.0009,-0.0009,0.0486,0.0023,-0.0134,-0.2154,-0.0135,0.0108,-0.0617,0.0742,-0.0031,-0.0346,0.0,0.0059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,4550.0,4550.0,4510.0,4510.0,372200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-21,4530.0,4560.0,4530.0,4550.0,204300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-22,4530.0,4540.0,4520.0,4530.0,81100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-23,4550.0,4570.0,4520.0,4530.0,160300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-24,4510.0,4550.0,4490.0,4550.0,184400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
