Date,Close,High,Low,Open,Volume,AK,EP,XA,OD,GR,CP,BK,HD,CC,HP,YP,DR,LS,RO,SQ,NI,BQ,XC,KK,PD,XL,CD,TP,YB,DH,DU,YU,AZ,LG,ZP,SA,FS,IF,MG,AI,AT,BB,BS,PC,KI,SS,MU
2026-07-13,2320.0,2340.0,2300.0,2320.0,250900,-0.0107,-0.0088,0.0065,-0.0393,0.121,-0.0122,0.0035,-0.0,0.1549,0.0002,0.053,0.0012,0.0,0.0,-0.0418,0.0002,0.0,-0.0334,-0.0005,-0.0087,-0.0103,-0.0117,-0.0158,0.0,0.0,0.0,0.0,0.0002,0.0,-0.0016,0.0,0.0,0.0,0.0,0.0,0.0,-0.146,0.0,0.0,0.0,0.0,0.0
2026-07-14,2390.0,2430.0,2330.0,2350.0,282000,-0.0256,-0.0162,-0.0468,-0.0403,0.0,0.0076,0.0002,-0.0,0.0481,0.0,0.0771,-0.0017,-0.0007,0.0,0.0535,-0.0301,0.0059,-0.0505,-0.0001,0.058,0.0011,-0.0119,-0.0193,0.0,0.0016,0.0,0.0005,-0.0014,0.0002,-0.0024,0.0,-0.0024,0.0,0.0005,-0.0048,-0.0002,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-15,2420.0,2440.0,2390.0,2440.0,300100,-0.1281,-0.0087,0.1217,0.0088,0.0233,-0.0054,0.0002,0.0002,-0.0499,-0.0002,0.1967,-0.0718,0.0,-0.0,-0.0919,-0.0056,0.0024,-0.0188,0.1236,0.0036,-0.0327,0.0,-0.0117,0.0,0.0,0.0,0.0,-0.0171,-0.0352,-0.0012,-0.001,-0.0012,-0.0002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-16,2450.0,2470.0,2420.0,2420.0,348900,-0.0091,-0.0278,0.0,-0.0024,-0.0233,0.0076,-0.0,0.0005,0.1165,0.0012,0.2066,-0.0005,0.0,-0.0002,-0.0012,-0.0059,0.0,-0.0185,0.0609,-0.0128,-0.341,0.0,0.0012,0.0147,0.026,0.0002,-0.0002,0.0074,0.0002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-17,2500.0,2500.0,2450.0,2480.0,246100,-0.0067,-0.0002,-0.005,-0.0057,0.047,0.0047,-0.0015,-0.0005,0.0342,-0.0747,-0.0194,-0.0015,-0.0005,-0.0002,-0.0005,-0.0241,0.0084,-0.0025,0.1356,0.013,-0.0833,-0.0055,0.0036,-0.0148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,2550.0,2580.0,2490.0,2500.0,693000,-0.0079,-0.0018,0.0771,-0.0059,0.2674,0.0075,0.0,0.0005,-0.198,-0.0115,0.0752,0.0137,0.0,0.0,0.0762,0.0021,0.0028,0.1924,-0.0531,0.0139,0.0431,0.0,-0.0113,-0.0062,0.0013,0.0003,-0.4737,0.0005,-0.0005,-0.0025,0.0,-0.0025,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,-0.0
2026-07-21,2560.0,2580.0,2520.0,2550.0,276900,-0.0071,0.0013,-0.0003,0.0263,0.0163,0.0,-0.0003,-0.0008,0.0042,0.0,-0.0113,-0.1324,0.0,0.0,0.0125,-0.1553,-0.0005,0.1508,-0.0111,0.0281,-0.0081,0.0,0.0025,0.0005,-0.0026,0.0,0.0095,-0.0454,-0.0243,0.0,0.0,0.0,-0.0254,0.0028,0.0,-0.0003,0.0,0.0,0.0,0.0031,0.1673,0.0
2026-07-22,2530.0,2580.0,2500.0,2560.0,415900,-0.0008,0.001,-0.0008,0.0322,0.0402,0.0045,-0.0014,0.0002,0.1545,0.0,-0.0613,-0.1339,0.0,-0.001,-0.1545,-0.0106,0.0185,-0.1337,0.0762,0.0262,0.0059,0.0253,0.0221,0.0034,0.0027,0.0,0.0025,0.0,0.0723,0.0,0.0,0.0,0.0,0.0013,-0.0051,0.0,0.0,0.0127,0.0013,0.0,0.0,0.0
2026-07-23,2550.0,2600.0,2510.0,2550.0,239200,0.0,-0.0157,0.0254,-0.0399,-0.0016,0.0005,0.0,0.0002,-0.0687,0.0,0.0527,-0.0005,-0.0005,0.0,0.141,-0.0093,-0.0005,0.0017,-0.0096,0.0273,-0.0351,-0.0129,0.0157,-0.0208,-0.0082,0.0,0.0,0.001,0.0054,-0.0052,0.0,-0.0026,0.0,0.0,0.0,0.0013,0.0,0.0,0.0013,-0.0425,0.0,0.0
2026-07-24,2490.0,2550.0,2490.0,2540.0,654300,-0.0005,-0.0127,0.0506,0.0523,0.3043,0.0789,0.001,0.0003,-0.9806,0.0,0.0541,-0.0503,0.0,0.0,-0.1572,0.0261,0.0298,-0.0035,0.2085,0.0509,0.0303,0.0252,0.0158,0.0002,0.1997,0.0,-0.001,0.0103,0.0566,0.0013,0.0,0.0013,0.0,0.0012,0.0,0.0013,0.0,0.0025,0.0035,0.0,0.0,0.0
