Date,Close,High,Low,Open,Volume,XA,YB,AZ,DH,ZP,AK,AT,YU,HD,GR,YP,AI,IF,CC,RO,NI,SQ,TP,XL,PD,SS,YJ,EP,KK,LG,OD,BQ,XC,CP,BK,DX,AG,DR,QA,RB,HP,KI,KZ,ES,RG,MG,SA,FS
2026-07-13,1615.0,1620.0,1585.0,1595.0,2279500,0.0005,-0.0097,0.0044,-0.0031,-0.2378,0.1137,0.0,-0.0008,0.0142,-0.0276,-0.5631,-0.0003,-0.1685,0.613,0.0202,0.0225,-0.142,-0.0034,-0.2766,0.048,-0.32,0.0,0.0337,-0.0219,-0.0566,1.3,-0.0073,-0.0633,0.0009,0.0168,0.0,-0.0064,-0.0316,0.0,0.0,-0.2099,0.0,0.0,0.0,0.0,-0.008,0.001,-0.0008
2026-07-14,1620.0,1645.0,1605.0,1620.0,2906000,0.0191,-0.0098,-0.0299,0.005,-0.0262,0.4815,-0.0301,-0.018,-0.0068,0.0204,-0.6681,0.0,-0.323,-0.0486,-0.0223,-0.2041,-0.0665,0.0506,-0.1829,-0.1951,0.0,0.0,-0.1618,-0.0229,0.0057,1.6,0.0013,-0.1653,-0.0191,-0.0133,0.0,0.0,-0.0013,0.0003,0.0,0.0,-0.0005,0.0,0.0,0.0008,0.0,0.0,0.0
2026-07-15,1675.0,1680.0,1625.0,1625.0,4378300,-0.0199,-0.0008,-0.062,0.0296,0.0236,1.6,0.013,-0.2734,-0.003,-0.2553,0.0765,0.0,-0.163,0.7219,-0.0021,-0.0539,0.0124,-0.0342,-0.7513,-0.7513,-0.3398,-0.249,-0.0053,-0.2161,-0.0043,1.2,-0.026,-0.3776,-0.0088,-0.0132,0.0,-0.0012,-0.0035,-0.0013,0.0,0.0,-0.0025,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-16,1685.0,1690.0,1660.0,1675.0,5801300,0.0002,-0.0001,-0.0191,-0.0207,0.0409,1.2,0.0279,0.2388,0.0005,-0.0202,1.5,0.0,-0.1635,0.2471,0.0018,0.113,0.0724,-0.0067,0.078,-0.2812,0.0,-0.2983,0.0148,-0.0596,-0.0062,2.2,-0.0008,0.0102,0.0114,0.1611,0.0201,0.0,-0.0059,0.0003,-0.0168,0.0005,0.0008,-5.0,-0.016,0.0,0.0,0.0,0.0
2026-07-17,1710.0,1735.0,1670.0,1685.0,9390900,0.015,0.0154,-0.0101,0.1082,-5.4,1.6,-0.0052,-0.4929,-0.0055,-0.1763,-0.2805,-0.0002,-0.0845,2.1,-0.0002,-0.0114,-0.1769,-0.0107,0.1546,-0.0574,2.9,-0.0002,0.006,-0.0099,-0.5885,3.4,0.0005,-0.0892,-0.0172,0.1886,-3.1,-0.0019,-0.0528,-0.0017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,1795.0,1800.0,1720.0,1725.0,11611600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-21,1760.0,1795.0,1720.0,1795.0,6809000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-22,1750.0,1760.0,1725.0,1760.0,3178200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-23,1740.0,1750.0,1720.0,1750.0,5103400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-24,1710.0,1740.0,1685.0,1740.0,4277000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
