Date,Close,High,Low,Open,Volume,EP,NI,CC,OD,IF,BR,SQ,YP,XC,KK,XL,YJ,DH,SF,YB,HP,PD
2026-07-13,940.0,945.0,910.0,925.0,111400,0.0,0.012,0.0047,0.0154,0.0,-0.0296,0.0,0.0146,-0.0009,0.0,-0.0002,0.0051,0.0,0.0046,-0.018,-0.0076,-0.0002
2026-07-14,940.0,955.0,915.0,945.0,110000,-0.0024,-0.0141,0.0148,-0.0117,0.0,-0.0079,-0.0,0.0077,0.0129,0.0,0.003,0.0054,0.0,-0.0146,0.018,-0.011,0.0
2026-07-15,940.0,945.0,925.0,945.0,109800,0.0,-0.0052,-0.0055,0.0156,-0.0182,0.0084,0.0,0.0047,0.0001,0.0,-0.0002,0.0017,-0.0149,0.0136,0.0,0.0,0.0
2026-07-16,950.0,965.0,910.0,930.0,249400,-0.0037,-0.0226,0.0009,-0.018,0.0195,-0.0086,0.0,0.0287,0.003,0.0009,0.0006,-0.0025,0.0017,0.0,0.0,0.0,0.0
2026-07-17,950.0,960.0,940.0,950.0,107900,-0.0019,0.0216,0.0166,0.0182,-0.0192,0.0199,-0.013,-0.0204,-0.0209,0.0005,0.0002,-0.0015,0.0,0.0,0.0,0.0,0.0
2026-07-20,940.0,955.0,915.0,955.0,147400,,,,,,,,,,,,,,,,,
2026-07-21,930.0,950.0,910.0,940.0,159600,,,,,,,,,,,,,,,,,
2026-07-22,935.0,935.0,910.0,930.0,115100,,,,,,,,,,,,,,,,,
2026-07-23,930.0,945.0,915.0,925.0,135200,,,,,,,,,,,,,,,,,
2026-07-24,920.0,935.0,900.0,935.0,110400,,,,,,,,,,,,,,,,,
