Date,Close,High,Low,Open,Volume,CD,CP,GR,PD,CC,YP,XL,DR,IF,KI,EP,KK,DX,AI,XC,SQ,TP,OD,AK,NI,YU,YB,ZP,HP,LG,RB,HD,RO,DH,MG,JB,XA,AT,BQ,AZ,BK,YJ,DP,DU
2026-07-13,378.0,380.0,374.0,376.0,1299500,0.0,-0.0075,0.0006,0.0277,-0.0404,0.0411,-0.0123,0.0,0.0,0.0003,0.006,0.0009,0.0002,0.0,-0.0227,0.0037,0.0042,0.0564,-0.0047,-0.011,-0.0,0.0,-0.1389,0.0,-0.0013,0.0,0.0,0.0002,0.0015,-0.0003,0.0,0.0926,0.0,-0.0004,0.0,0.0041,0.0,0.0,0.0
2026-07-14,380.0,382.0,376.0,378.0,2135200,0.0,0.0,-0.0026,-0.3034,0.0898,0.0808,-0.054,0.0013,0.0,0.0002,0.2624,0.0214,0.0002,0.0,-0.001,0.0163,0.0111,0.0251,0.0,0.0111,-0.0038,-0.0023,-0.1939,0.0,0.0004,0.0,0.0001,0.0,0.0011,-0.0003,0.0,0.0022,0.0,0.0,0.0042,0.0335,0.0,0.0,0.0
2026-07-15,380.0,382.0,376.0,380.0,2277100,0.0,0.002,0.0036,-0.1204,0.0831,0.0786,0.0487,0.0033,0.0,0.0,-0.0037,0.0076,0.0002,0.0,0.1115,-0.1631,0.0,0.0044,-0.0023,-0.3661,-0.0038,0.0039,0.0005,0.0001,0.0021,0.0,0.0,0.0002,0.0008,0.0,0.0,0.0189,0.0,0.0,0.0,0.0047,0.0006,0.2845,0.0
2026-07-16,380.0,382.0,378.0,380.0,1132000,0.0,0.0001,0.0005,0.0274,0.0662,0.0478,-0.0134,-0.0193,0.0,0.0004,0.0,-0.0184,0.0,-0.0002,0.0168,-0.0496,0.0266,0.0031,0.0,-0.1707,-0.0,0.0015,0.0002,0.0,0.0012,0.0,0.0008,0.0008,0.0001,-0.0006,-0.0002,0.0762,0.0,-0.0019,0.0001,0.0044,0.0,0.0,0.0
2026-07-17,384.0,384.0,378.0,380.0,3160600,0.0144,0.0086,0.0031,0.027,0.1291,0.3407,0.0202,0.0057,-0.0,0.0008,-0.0029,0.0865,0.0002,-0.0074,-0.0069,-0.057,0.0081,-0.0032,-0.0379,-0.4216,-0.16,0.0395,0.004,0.0002,0.0004,0.0,-0.0008,0.0001,0.0093,-0.0004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,384.0,386.0,380.0,384.0,4200400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-21,384.0,386.0,382.0,384.0,3768900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-22,384.0,386.0,380.0,386.0,2407900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-23,384.0,386.0,378.0,384.0,9289400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-24,382.0,384.0,378.0,384.0,2753600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
