Date,Close,High,Low,Open,Volume,HD,XL,PD,YU,EP,RB,XC,BS,SQ,MG,CP,DH,AZ,RX,NI,LG,HP,TP,KI,RO,BK,BQ,DX,XA,GR,AT,FS,RF,ZP,YP,AK,CC,AR,OD,KK,DR,PP,LS,AO,PG,YB,FZ,RS,MU,AG,AI,IF,TF,BB,YJ,BR
2026-07-13,5500.0,5500.0,5300.0,5400.0,1381500,-0.0,0.4174,0.4141,0.5921,-0.0005,0.0,0.1252,0.0,-0.0586,0.0,0.106,-0.0111,0.0045,0.0,0.0138,0.0011,0.0,0.1171,0.1545,0.0,-0.2972,0.0304,0.0,0.1064,-0.3457,0.038,-0.0028,0.0,-1.4,0.0363,-0.4252,-0.8997,0.0,0.1552,0.3905,0.7737,0.0,0.0,0.0,0.0,-0.1358,0.0599,0.0064,0.0,0.0,0.0215,0.0077,0.0,0.0,0.0,0.0135
2026-07-14,5600.0,5650.0,5400.0,5500.0,2407900,-0.0003,1.8,2.3,-0.0178,-0.0039,0.0,-0.3916,-0.0028,0.6084,0.0,-0.3179,-0.0101,0.1315,0.0,-0.0331,-0.0236,0.0084,0.0075,-0.0011,0.0,-0.836,0.014,0.0,0.0284,0.2449,-0.0199,-0.0028,0.0,-0.5149,-0.6847,1.1,0.0705,0.0,0.0371,-2.9,-0.1563,0.0,-0.0017,0.0,0.0,0.0006,-0.0028,-0.0067,0.0,-0.1256,0.0,-0.0006,0.0558,-0.3479,0.0028,0.0
2026-07-15,5600.0,5625.0,5550.0,5600.0,1156400,-0.0,0.2808,0.2824,-0.0841,0.0022,0.0,-0.2075,0.0,0.5277,0.0762,-0.0549,0.8167,0.0409,0.0,-0.0061,0.0028,0.0,-0.0672,-0.0028,0.0,-0.0583,-0.0218,0.0006,-0.0155,0.0095,0.0039,-0.0028,0.0,-0.2814,-0.0184,-0.1885,-1.3,0.0017,-0.0174,0.0626,0.5551,0.0,0.0006,0.0,0.0,0.0,0.0,0.0,0.0,-0.0534,-0.1963,0.0,-0.0558,0.0,0.0,0.0
2026-07-16,6100.0,6150.0,5650.0,5725.0,3604800,0.0056,0.4773,0.6441,-1.4,0.2868,0.0,-0.2011,-0.0262,-0.1123,-0.0286,-0.0582,-0.1078,-0.3368,0.0,0.0236,-0.0569,-0.031,0.1906,0.0,0.0,0.0518,-0.0849,0.0024,-1.8,1.2,-0.1324,-0.0091,0.0,-0.8043,0.0503,3.9,-0.7207,0.0,-0.1576,-0.188,-0.4991,0.0384,-0.0006,0.0092,-0.1718,-0.0726,-0.0674,0.0304,-0.0047,0.0096,0.2974,-0.0959,0.0,0.0,0.0,0.0
2026-07-17,5925.0,6150.0,5925.0,6100.0,3049300,-0.0014,1.2,-0.2782,0.1474,0.1514,0.006,0.1454,0.0116,0.1208,0.0738,-0.6826,0.3897,0.7589,-0.455,-0.004,0.1084,0.0765,0.0411,0.0598,0.0024,-0.1735,-0.0003,-1.8,0.0611,0.388,0.037,0.003,-0.005,5.3,0.672,-5.7,-1.3,0.0012,0.0065,0.2115,0.3791,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,6100.0,6150.0,6000.0,6000.0,1842700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-21,6100.0,6175.0,6000.0,6125.0,3581800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-22,6050.0,6150.0,5925.0,6100.0,2248700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-23,6075.0,6225.0,6025.0,6075.0,3335200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-24,5925.0,6025.0,5850.0,6025.0,2626600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
