Date,Close,High,Low,Open,Volume,QA,MG,YJ,EP,XA,GR,CP,AI,CC,YP,DR,SQ,AG,NI,AZ,XC,BQ,AT,KK,PD,AF,XL,TP,LG,YB,OD,HP,AO,DH,IF,EL,RO,ZP,HD
2026-07-13,448.0,478.0,398.0,420.0,266700,-0.0,0.0,0.0,-0.0051,0.0,0.0002,0.0,-0.0002,-0.0084,-0.0033,0.0,-0.0019,0.0022,0.0,0.0,-0.0049,-0.0062,0.0,-0.0014,0.0,0.0,0.0019,0.0,0.0,-0.0,0.0,0.0,0.0277,-0.0004,-0.0,0.0,0.0,0.0,0.0
2026-07-14,436.0,452.0,412.0,448.0,417500,0.0,-0.0022,-0.0007,-0.0027,0.0,0.0,0.0,0.0,-0.0004,-0.0001,0.0,-0.0633,0.0,0.0002,0.0,-0.0022,0.0004,0.0,-0.0005,0.0161,0.0,-0.0373,-0.0002,0.0,0.125,0.0004,-0.0045,-0.0281,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-15,428.0,436.0,420.0,420.0,96900,-0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0051,0.0027,0.0,-0.0186,0.0,0.0024,-0.0042,0.0001,-0.0056,0.0,0.0,-0.0002,0.0,0.0179,0.0,0.0,0.0006,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-16,418.0,430.0,412.0,420.0,101900,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0267,-0.0002,0.0,-0.0269,0.0,0.0004,0.0,0.0002,-0.0,0.0,0.0,0.0,0.0,-0.0001,0.0,0.0,-0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-17,358.0,428.0,356.0,418.0,3124900,-0.0724,0.029,0.0075,0.0002,0.0015,0.0002,0.0023,-0.0,0.0455,0.0903,0.0007,0.0276,0.0011,0.0135,0.0008,0.1421,0.0022,0.0108,0.0008,0.0254,-0.0004,0.3995,0.0004,-0.7299,0.0012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,326.0,350.0,326.0,350.0,507300,0.0,0.0003,0.0034,0.0,0.0,0.0143,0.0002,0.0,-0.0028,0.0063,0.0009,0.0011,0.0,0.0072,0.0001,0.002,0.0006,0.0084,0.0,0.0025,0.0,-0.0203,0.0,0.0,0.0016,0.0005,0.0,0.0,0.0,0.0,0.0,-0.0005,-0.0263,0.0003
2026-07-21,330.0,330.0,300.0,300.0,207200,0.0,0.0,0.0003,0.0,0.0,0.0,0.0,0.0,0.0036,0.0081,0.0002,-0.0005,0.0,0.0073,0.0003,-0.0024,-0.0022,-0.0033,0.0,-0.0069,0.0,0.006,0.0,0.0,0.0012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0116,0.0
2026-07-22,362.0,362.0,332.0,332.0,374100,0.0,0.0163,-0.0018,-0.0109,0.0,0.0,0.0167,0.0,0.0018,0.0128,-0.0021,-0.0001,0.0,-0.0045,-0.0044,-0.0473,0.0,-0.0094,0.0,-0.0112,0.0,0.0442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-23,360.0,378.0,360.0,360.0,456600,0.0,0.0167,0.0,0.0,0.0002,0.0062,-0.0166,0.0,0.0185,-0.1074,0.0,-0.0,0.0,0.0,0.0,-0.0226,0.0047,-0.0036,0.0,0.054,0.0,0.0281,0.0222,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,-0.0003,0.0,0.0
2026-07-24,358.0,360.0,358.0,360.0,57400,0.0,0.009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0031,0.0,-0.0036,0.0,0.0,0.0,0.0037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0124,0.0,0.0,0.0
