Date,Close,High,Low,Open,Volume,Sektor,Sub_Sektor,EP,BQ,XL,DR,YP,XC,CC,AO,AT,PD,OD,LG,CP,NI,KI,KK,SQ,YU,RO,AZ,DH,XA
2026-07-13,500.0,505.0,500.0,505.0,222000,Barang-Konsumen-Primer,Perdagangan Ritel Barang Primer,0.0537,-0.0049,-0.0006,0.0,-0.0527,-0.0006,0.0001,-0.0005,0.0,0.0,0.0058,0.0,0.0,0.0002,0.0,0.0,0.0,0.0,-0.0004,0.0,0.0,0.0
2026-07-14,520.0,520.0,498.0,500.0,254900,Barang-Konsumen-Primer,Perdagangan Ritel Barang Primer,-0.0001,0.0002,-0.0018,-0.05,0.0004,-0.0021,0.0127,0.037,0.0,-0.0018,0.0056,0.0,0.0,0.0,0.0,-0.0006,0.0,0.0005,0.0,0.0,0.0,0.0
2026-07-15,520.0,525.0,500.0,520.0,253700,Barang-Konsumen-Primer,Perdagangan Ritel Barang Primer,0.0239,0.0026,0.0039,0.0631,-0.0113,0.0017,0.0001,-0.0391,0.0002,-0.0474,0.0024,0.0,0.0,0.0001,0.0,0.0001,-0.0002,0.0,0.0,0.0,0.0,0.0
2026-07-16,515.0,520.0,500.0,510.0,206600,Barang-Konsumen-Primer,Perdagangan Ritel Barang Primer,-0.0407,0.0008,-0.0009,0.0,-0.0099,-0.0002,0.0003,0.0508,-0.0001,-0.0002,-0.0001,-0.0,0.0003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-17,510.0,515.0,500.0,510.0,99100,Barang-Konsumen-Primer,Perdagangan Ritel Barang Primer,0.0397,0.0016,-0.0066,-0.0404,0.0516,-0.0003,0.0058,-0.0515,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,510.0,510.0,505.0,510.0,198100,,,-0.0369,-0.0044,-0.0038,0.0364,-0.0495,-0.0004,0.0038,0.0545,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0001,0.0,0.0,0.0,0.0001,0.0,0.0
2026-07-21,515.0,515.0,505.0,515.0,263900,,,0.0077,-0.001,-0.0003,0.0,0.056,-0.002,-0.0054,-0.0559,0.0,0.0,-0.0014,0.0,-0.0003,0.0,0.0,0.0,0.0026,0.0,0.0001,0.0,0.0,0.0
2026-07-22,515.0,515.0,505.0,515.0,205500,,,0.027,0.0013,0.0033,-0.0215,-0.0537,0.0002,0.0159,0.051,0.0,0.0002,-0.0027,0.0,0.0,0.0,0.0,0.0006,0.0,0.0,0.0,0.0,0.0001,-0.0217
2026-07-23,515.0,520.0,505.0,505.0,197800,,,-0.0356,0.0079,0.0025,0.0306,0.0565,-0.0011,-0.0053,-0.0515,0.0,-0.0003,-0.0036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-24,510.0,515.0,500.0,515.0,207100,,,0.035,0.0006,0.0023,-0.0095,-0.039,-0.0001,0.0103,0.0,-0.0001,0.0,0.0001,0.0,0.0,0.0001,0.0,-0.0002,0.0001,0.0,0.0,0.0006,0.0,0.0
