Date,Close,High,Low,Open,Volume,BK,NI,RO,XA,CC,OD,YB,QA,DR,SQ,YP,XC,FS,AK,KK,XL,ZP,EP,DH,PD,BQ,KI,LS,GR,HD,CP,IN,CD,TP,MG,MI,DX,AT,BR,HP,LG,AZ,IF,RG,AO,AG,AI
2026-07-13,520.0,525.0,510.0,515.0,10227100,0.1518,0.0116,0.0,0.0001,-0.0578,-0.0148,-0.0455,0.0,0.0,0.0005,-0.0213,-0.0235,0.5605,0.3273,-0.0011,-0.0032,-0.1808,-0.0011,0.0,-0.0085,0.0003,0.0,0.0,0.0,-1.8,0.0,0.0155,0.0,0.0583,0.0,0.0,0.0,-0.0005,0.9975,0.0,-0.0004,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-14,515.0,530.0,510.0,525.0,15348100,-0.0101,0.0103,-0.0001,-5.1,0.6218,0.2587,-0.1675,0.0001,0.0026,0.0005,-0.0032,-0.0026,2.2,0.1354,-0.0005,0.0406,-0.0008,-0.0062,0.0028,-0.0104,0.0045,0.001,0.0,0.0,0.6248,1.1,0.3098,0.0,-0.0144,0.0,0.0,0.0,0.0,0.0,-0.0001,0.0,0.0216,0.0102,0.0,0.0,0.0,0.0
2026-07-15,520.0,525.0,510.0,515.0,18703700,0.0,-0.0104,0.0,4.7,-0.4457,-0.2651,-0.0431,-0.0026,0.0001,0.0003,-0.0132,-0.0349,-2.6,0.4607,0.0011,0.0,-0.0767,-0.0005,0.0002,0.0271,-0.0093,0.0,0.0,0.0,1.2,-1.9,0.0,0.0,-0.0029,0.0,0.0,0.0,-0.0055,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-16,520.0,525.0,515.0,525.0,5729300,0.3121,-0.0032,0.0,-0.0001,-0.0011,-0.053,-0.0708,-0.0002,0.0,-0.0014,-0.0107,-0.0033,1.5,-0.1317,0.0021,-0.1583,0.0365,-0.0001,-0.0028,0.0005,0.0057,0.0,0.0,-0.013,-0.9351,0.0,-0.3675,-0.0355,-0.0071,-0.052,-0.0041,0.0009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-17,515.0,535.0,515.0,525.0,13783000,-0.0467,0.0188,0.0006,-4.8,-0.2337,0.033,0.0131,500.0,0.0051,-0.0042,0.0353,0.029,0.8593,0.1257,0.0257,-0.021,-0.0275,0.0001,-0.0054,-0.0312,-0.1178,0.0021,-0.0082,0.0073,1.5,2.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,520.0,530.0,496.0,515.0,19495200,0.4557,0.0003,0.0,3.6,-0.455,-0.001,0.0023,-0.0006,-0.0029,0.0002,0.0022,-0.0768,-1.3,0.0424,-0.1053,0.0584,-0.0996,0.0005,-0.0037,-0.0484,-0.0001,0.001,0.0,-0.0054,-0.6147,-2.1,0.0,0.0,-0.0108,0.0029,0.0,0.0,0.0,0.6019,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0
2026-07-21,520.0,525.0,505.0,520.0,6766000,-0.0444,-0.0208,0.0004,0.0,0.4187,-0.0002,-0.0011,0.0,0.0019,0.0,0.0023,-0.0016,-1.7,-0.0423,-0.0534,-0.0564,0.0,0.0,0.0,0.0053,-0.0203,-0.001,0.0,0.013,2.3,-0.7655,0.0,0.0,0.0,0.0,0.0,0.0,0.0007,0.0,0.0,0.0148,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-22,515.0,520.0,505.0,520.0,14405500,-0.2063,-0.0582,0.0003,-3.7,-0.1508,-0.0749,0.0001,0.0,0.0,0.0,-0.0105,0.0012,1.1,-0.0143,-0.0137,-0.0964,-0.0284,-0.0156,-0.0009,-0.0141,0.0001,0.0009,0.0,0.0026,0.0525,4.1,0.0,0.0,-0.3449,0.0,0.0,0.0,0.0,-0.572,-0.0002,0.0051,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-23,520.0,535.0,515.0,520.0,10627100,0.0,0.0013,-0.0003,0.0,0.3375,0.0037,-0.0328,0.0023,0.0077,0.0002,-0.0069,-0.0688,1.4,1.3,-0.1023,-0.0183,0.3375,-0.0001,-0.0004,-0.0144,0.0,0.0,-0.0023,0.0261,-3.0,-0.2613,0.0,0.0,-0.004,0.0,0.0,0.0,-0.0099,0.1214,0.0047,0.0001,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-24,515.0,530.0,505.0,520.0,13916700,-0.0186,0.0117,0.0104,5.1,-0.0378,0.0156,0.0039,0.0,0.0005,-0.008,0.0345,0.0261,-2.1,0.2738,0.0561,0.5791,-0.5788,0.0,0.0,-0.0061,0.0033,0.0,0.0,0.0002,-0.1828,-3.3,0.0,0.0,0.0002,0.0,0.0,0.0,0.0002,0.1168,0.0,0.0046,-0.028,-0.0001,-0.0001,0.0026,0.0001,-0.001
