Date,Close,High,Low,Open,Volume,CP,GR,XL,CC,PD,XA,YP,EP,DR,KI,KK,AG,AT,XC,SQ,TP,OD,QA,BQ,AK,NI,AZ,YB,ZP,PC,RO,DH,DX,RX,LG,BK,PF,AO,HD,LS,YU,PG,MU,HP,MG,RG,IF,FS,YJ,ZR
2026-07-13,181.0,183.0,178.0,183.0,2244400,0.0,0.0003,0.0819,0.0126,0.0025,0.0002,0.0069,-0.074,0.0004,0.0,-0.0069,0.012,0.0004,-0.005,-0.0189,-0.0054,0.0068,0.0,0.0005,-0.051,0.0679,0.0,0.0,-0.0038,0.0,0.0001,-0.0,-0.0001,0.0,-0.036,0.0005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0082,0.0,0.0004,0.0,0.0,0.0018,-0.0024
2026-07-14,183.0,188.0,180.0,181.0,3587700,-0.0552,0.0009,-0.1149,0.1782,0.0033,0.0193,-0.0174,0.0102,0.0287,0.001,-0.0034,0.0002,-0.024,-0.0239,-0.0201,-0.0044,0.0052,0.0,0.0027,0.0017,0.0053,-0.0038,0.0,-0.0022,0.0,0.0001,0.0337,0.0013,0.0,-0.0199,0.0259,0.0,0.0052,0.0,-0.0005,0.0011,-0.0056,0.0001,-0.0082,-0.0113,0.0003,-0.0092,-0.0004,0.0002,0.0
2026-07-15,190.0,193.0,184.0,184.0,6643000,0.0158,0.0004,0.1597,0.0002,0.0225,0.0034,-0.0122,-0.0023,-0.0028,-0.0,-0.0043,-0.0002,-0.0403,-0.0095,-0.0089,0.0136,0.0211,0.0,0.0066,-0.0747,-0.0614,0.0036,0.0004,-0.015,0.0,0.0004,0.0063,-0.0013,0.0,-0.0204,0.0105,0.0,0.0034,-0.0046,0.0014,-0.0116,-0.0017,-0.0002,0.0008,0.0013,0.0,0.0,0.0,0.0,0.0
2026-07-16,191.0,192.0,186.0,190.0,3123200,0.0193,0.0002,-0.0089,-0.0255,0.0097,0.0298,-0.0566,0.001,0.0005,0.0,0.0103,0.0006,0.0002,0.0181,0.0235,-0.0176,0.0653,0.0,-0.0064,-0.0242,-0.0132,0.0005,0.0,-0.0111,0.0,-0.0004,0.0008,0.0007,-0.0,-0.0182,-0.0017,0.0034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-17,189.0,192.0,187.0,190.0,2737600,-0.0188,0.0001,0.0232,0.0558,0.0128,0.0094,-0.0441,0.0166,-0.0006,-0.0,0.0272,0.0042,0.0057,-0.0287,-0.0152,-0.0007,0.0434,0.0001,0.0009,-0.0589,0.0102,0.0043,0.0006,-0.0143,0.002,0.0001,-0.0351,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,195.0,197.0,188.0,189.0,3904600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-21,197.0,198.0,192.0,195.0,3663600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-22,195.0,202.0,192.0,199.0,6404900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-23,196.0,204.0,194.0,194.0,7715500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-24,186.0,196.0,177.0,196.0,7199800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
