Date,Close,High,Low,Open,Volume,BF,NI,XA,CC,OD,YB,PI,DR,YP,JB,XC,LG,HP,XL,KK,YJ,KZ,AI,DH,AZ,PF,IF,MG,RG,MI,CP,BK,YU,AK,AT,ZP,EP,TP,PD,BQ,BB,KI,BR,GR,RX,HD,FZ,SQ,EL,PC,RO,IN,DU,CD,PP,IU,AG,AO,DX,AH,QA,SH,LS,MU,SS,FS,RB,RS,RF,TF,IT,OK,IH,ZR,AR,SF,DP,II,SA,ID,AF,PO,ES
2026-07-13,530.0,535.0,494.0,505.0,401639700,-0.52,-1.3,0.0,0.0,0.4839,-1.3,0.0,-0.9651,-3.2,0.42,-7.8,-1.1,-1.1,-7.0,-1.1,-1.9,0.0,0.0,0.5578,12.8,-1.0,-0.3408,-2.6,0.0,0.2052,-2.3,24.0,1.8,23.7,-0.4174,-5.1,0.0,0.0,-0.3459,-0.9813,-7.6,0.0,0.0,0.0,1.8,-1.1,0.1329,-7.5,0.0,0.0,0.0,-5.1,0.0,0.023,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,-0.3419,0.0,0.0,0.0,0.0,0.0,-1.3,0.0,0.0002,0.0015,0.0258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-14,575.0,600.0,530.0,550.0,878186000,-0.8725,0.0,0.0027,-4.4,-2.7,-0.3535,0.0052,-3.9,-12.4,0.0,-2.1,29.0,-2.4,-9.7,-1.7,0.0,4.2,-7.5,0.4149,-24.1,-0.5511,7.1,13.6,0.0057,0.0,-5.5,-1.8,22.4,6.5,0.192,-1.8,0.0,12.8,10.9,0.0,0.0,0.0,-0.2877,0.0768,-6.4,-0.8645,1.9,-4.6,0.0,0.0,0.0,0.0988,0.0398,0.0,0.0,0.0822,0.0,-0.4485,1.5,-0.2893,0.0364,0.0,-0.419,0.0,-8.9,0.04,0.0006,0.0342,-4.3,0.0002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-15,555.0,595.0,555.0,590.0,393803000,0.85,1.8,-0.0167,-2.8,1.3,-0.0742,0.0,1.7,-6.5,11.6,5.3,13.0,2.1,0.4843,0.0,0.0,0.0,7.4,-0.1969,4.9,0.0,0.0,3.2,0.0,0.5914,5.4,-17.0,-1.2,-20.5,0.0,-4.7,0.4874,0.5087,2.0,4.0,-24.7,0.0,-0.0106,0.9789,2.1,0.0,1.1,3.2,0.8525,0.0,0.0,-0.0676,-0.0282,0.0,0.0,0.0,0.0,0.4152,1.2,-0.0009,-0.0142,-0.0,-0.1251,-0.0148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-16,560.0,580.0,550.0,560.0,338829700,0.0,-0.6829,-0.7212,-9.7,-0.3673,-0.062,0.0,0.1344,10.4,3.8,-0.0772,1.3,-0.601,1.9,1.2,0.1914,-5.9,4.8,-2.4,21.7,0.0,0.3467,-7.6,0.0,0.401,0.6691,-13.0,-9.3,14.9,-0.1114,-4.3,0.248,1.6,-4.1,0.1625,-18.4,0.1434,0.1398,0.3441,14.1,-0.2807,-0.0241,2.8,0.27,0.0459,-0.0369,-0.4265,-0.0297,0.5101,0.082,-0.0286,-3.9,-0.1635,-0.0174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-17,545.0,560.0,535.0,560.0,441276500,0.535,12.8,0.2351,9.0,5.9,0.4542,0.2008,-0.3495,-6.4,1.3,4.6,3.0,0.8697,12.3,-0.3303,0.1605,-32.7,-16.4,0.2024,-18.6,1.1,-3.6,2.0,-0.0201,-0.0129,2.1,4.2,2.9,7.3,-0.0103,-8.0,0.6866,-2.5,49.2,2.2,-27.5,0.338,-0.1502,-0.3705,-7.5,0.1993,-0.0892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,575.0,575.0,540.0,540.0,564581800,-0.55,-2.0,-0.3062,-10.5,-2.4,0.13,0.0499,0.0337,2.4,-1.4,-1.5,-13.4,-0.1712,13.2,-0.1885,0.0308,0.0,-1.8,0.4349,-7.6,-1.1,-1.8,-0.5348,0.0,-0.3079,-2.0,1.5,4.1,-0.551,0.2986,17.7,0.0837,-1.1,-2.8,1.2,-0.3284,0.1688,0.5222,2.4,0.0,0.4406,-0.1112,-0.8115,0.0109,0.0,0.0,2.0,0.0,-0.2315,0.0,-0.0802,0.0,0.0133,6.3,0.0,0.0019,0.0,0.0265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5564,0.0,0.0,0.0,0.006
2026-07-21,620.0,620.0,555.0,575.0,1135656300,-1.2,-12.9,0.4184,-2.1,-1.3,0.0,0.0,22.0,-3.9,-0.9026,-5.0,-1.8,-1.0,-2.3,0.0,15.4,0.8235,-3.8,1.1,-26.4,0.0,-4.0,12.8,0.0,-0.7481,10.0,-7.8,8.1,-21.8,0.199,30.1,-1.6,0.0,-5.7,-0.6303,0.5374,0.0,-0.5804,-0.4523,0.1725,1.6,-2.5,2.6,-1.0,1.2,0.0,2.9,0.0,0.0,0.0,0.1786,0.71,2.8,-2.5,0.0,0.0,0.0,0.767,0.0,0.0,0.0,0.0,0.0,-0.5356,0.0009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009,0.0
2026-07-22,605.0,630.0,595.0,625.0,709241600,0.0,3.9,1.8,0.4543,9.4,0.7481,0.0,1.5,7.1,14.7,12.8,2.7,1.4,13.2,1.1,-14.7,0.0,-7.3,-1.3,-0.3007,0.5862,-0.3994,-23.4,0.0,-0.0745,4.2,-7.6,-2.0,-11.2,1.0,-5.0,0.5977,0.5645,17.1,1.5,0.0,0.0,0.0,0.0,-1.7,-2.7,-0.2974,0.2807,-0.3004,-1.2,1.0,-5.1,0.0,0.0,0.0,0.0,-0.4511,-2.1,-3.6,0.0,0.0,0.0,-0.6339,0.0,-9.2,0.0,0.0,0.0,0.0,0.0,-0.0908,2.2,0.9395,0.0,0.0,0.0,0.0,0.0,-0.61,0.0,0.6075,-0.36,0.0
2026-07-23,610.0,650.0,605.0,610.0,756721800,0.0,1.6,-4.4,42.3,-4.6,-3.8,0.0,-0.8389,-13.7,0.0,-14.4,-0.9615,-0.6119,-35.1,1.8,13.8,-2.4,0.0,0.3417,3.4,-0.5653,-2.3,10.6,0.0,0.0,-9.9,11.5,2.0,12.1,-1.6,3.1,0.0,0.4143,2.3,-7.9,0.7061,-0.5981,0.0292,-1.1,5.6,-0.5594,-2.2,-3.1,0.0,0.0,-0.9407,0.0,0.0,0.5117,0.0,0.0249,-2.1,0.0,4.8,0.0,0.0,0.0,0.0832,0.0,4.4,0.0,0.0,0.9981,0.0,0.0,0.0,0.0,-0.812,0.0437,0.0,0.0,10.6,-16.6,-0.3483,0.0498,0.0,0.0,0.0
2026-07-24,585.0,610.0,575.0,605.0,350796900,0.875,2.2,0.167,-4.9,0.9506,0.7795,0.0,-0.5548,11.0,0.0,8.3,0.4839,0.332,5.0,0.2717,0.0,0.0,0.1717,0.7568,2.6,1.2,3.3,-5.1,0.0,0.0,-1.4,-0.9502,-5.9,-15.8,0.259,-1.9,0.6347,0.0,0.9713,-1.5,0.0,0.0,0.0,-3.0,-4.5,-0.2306,-0.0432,6.7,0.0,0.0,0.1652,0.0,0.0,0.0,0.0,-0.0707,-0.2974,0.3655,-0.017,0.0,0.0,0.0,-0.1761,0.0,-4.7,0.1988,0.0,0.0,0.0,0.0,0.0,2.7,0.0,-0.006,0.1165,-0.0002,0.0,0.0,0.0,0.0,0.0,0.0,0.0
