Date,Close,High,Low,Open,Volume,NI,RO,XA,HD,OD,YB,QA,DR,SQ,YP,XC,LG,KK,XL,AT,ZP,YJ,TF,CD,TP,EP,DH,PD,BQ,AZ,AG,IF,MG,KI,GR,CC,CP,YU,HP,ZR,AK,RF,FZ,MU,DX,SH,SS,AI,PC,PO
2026-07-13,83.0,84.0,82.0,83.0,154800,0.0001,0.0,-0.0,0.0,0.0002,0.0016,0.0,0.0004,0.0,0.0005,0.0008,0.0,-0.0086,0.0031,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0007,0.0,0.0,0.0,0.0,0.0002,0.0,0.0012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-14,82.0,84.0,82.0,83.0,865200,0.0083,0.0,0.0027,-0.0001,0.0,-0.0016,0.0,0.0,0.0,0.0012,0.0001,0.0,-0.0442,0.0098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016,0.0078,0.0012,0.0,0.0,0.0,0.0,0.0,0.0068,0.0067,0.0,0.0,0.0,-0.0002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-15,101.0,105.0,86.0,86.0,146342700,0.1755,0.0001,-0.0033,-0.0019,0.0073,-0.008,0.0046,-0.12,0.0369,-0.2369,0.0177,-0.006,-0.0216,0.8217,0.0022,-0.0441,-0.0205,-0.0021,-0.1364,0.0132,-0.0267,-0.0276,-0.0466,-0.0826,-0.0138,-0.0349,0.0001,-0.0728,-0.0003,-0.0278,0.0671,-0.0523,0.0031,0.0001,0.0002,-0.0133,0.0,-0.1194,0.0,0.0014,0.0007,-0.0206,-0.0123,0.0,0.0
2026-07-16,93.0,100.0,91.0,100.0,17971800,0.0218,0.0005,0.0155,-0.0,0.0022,0.0544,-0.0025,0.0105,-0.0124,0.0084,0.0558,0.0017,-0.1681,-0.2431,-0.0002,0.0,0.0277,0.0,0.0,-0.0131,0.0017,-0.0021,0.0349,-0.001,-0.034,0.0,0.0001,0.009,0.0002,0.0101,0.2111,0.0181,-0.0075,-0.0,-0.0001,-0.0001,0.0001,-0.0,0.0002,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-17,92.0,100.0,91.0,95.0,15573300,-0.2074,0.0001,-0.0101,-0.0,-0.0006,-0.0599,-0.0011,0.011,-0.0007,0.0712,-0.0537,0.0,0.0045,0.0795,-0.0,-0.001,-0.0392,-400.0,0.079,0.0013,0.001,-0.0001,0.0011,0.0149,0.0045,0.0002,0.0,0.0143,-0.0001,-0.0005,0.0884,0.0035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,92.0,94.0,90.0,93.0,3509400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-21,91.0,93.0,90.0,92.0,4146400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-22,93.0,96.0,90.0,92.0,8037200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-23,92.0,96.0,92.0,93.0,4343200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-24,91.0,93.0,90.0,92.0,2785100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
