Date,Close,High,Low,Open,Volume,XL,PD,XC,LG,AZ,YP,CC,BQ,OD,DR,AT,GR,SQ,KK,NI,RO,QA,CP,ZP,YU,EP,XA,YB,YJ,AI
2026-07-13,117.0,122.0,115.0,117.0,398600,-0.0089,0.0017,-0.0038,0.0,0.0,0.0115,0.0097,-0.0038,-0.0002,0.0,0.0,0.0,0.0,-0.0072,0.0012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0001,0.0,-0.0001
2026-07-14,112.0,122.0,110.0,118.0,2243500,0.0772,-0.0165,0.0099,-0.0002,0.003,0.0142,0.0295,0.0001,700.0,0.0,-0.0046,0.0006,0.0001,0.0056,0.0023,0.0015,0.0,0.0,0.0,0.001,0.0011,-0.0,-0.1261,0.0014,0.0
2026-07-15,112.0,114.0,108.0,112.0,433900,-0.0078,-0.0049,0.0018,0.0,0.0,0.0162,-0.0042,0.0004,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,-0.0015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-16,116.0,120.0,109.0,112.0,1404500,-0.0092,0.0073,0.0119,-0.0,0.0017,0.0041,-0.0116,0.0002,0.0022,0.0012,0.0035,0.0004,-0.0012,-0.0025,-0.0078,-0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-17,116.0,118.0,115.0,116.0,124900,-0.0105,0.0018,0.0001,0.0001,0.0013,0.0008,0.0064,0.0001,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,115.0,117.0,114.0,115.0,157800,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-21,115.0,120.0,113.0,114.0,194900,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-22,111.0,118.0,111.0,118.0,411200,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-23,115.0,117.0,111.0,111.0,298300,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-24,114.0,116.0,110.0,114.0,118000,,,,,,,,,,,,,,,,,,,,,,,,,
