Date,Close,High,Low,Open,Volume,NI,XA,AH,CC,OD,YB,YO,SH,DR,SS,SQ,YP,ES,HP,XC,LG,KK,XL,KZ,DX,AI,DH,AZ,IF,LS,BS,CP,BK,RO,YU,AK,ZP,TF,TP,EP,SF,IU,PD,BQ,BB,KI,GR,RX,HD,AO,FZ,PG,SA,RG,MG,IN,AG,PO,BR,AR,JB,YJ,AT,RF,OK,CD,FS,ZR,EL,PP,IH,QA,MI,RS,ID,PC,IT,RB,DP,DU,GI,MU,FO
2026-07-13,4250.0,4260.0,4020.0,4070.0,140381100,3.6,-1.3,0.0,-31.9,16.4,4.3,0.0,0.0,-2.7,0.0,-4.2,-34.1,0.0,0.0,-4.9,13.7,-4.2,-27.4,-1.2,1.2,-0.6849,-2.3,21.2,-1.7,0.0,0.0,-10.9,-2.9,0.0,95.2,64.4,-64.6,0.0,-0.8243,-1.5,0.0004,0.0,-10.5,-5.3,4.1,-0.6011,2.1,-3.7,0.0,-4.2,-1.3,1.8,0.0,0.0,1.8,0.0,-1.0,0.0,0.0,0.0,0.0409,0.0,0.0,0.7117,0.0,-4.8,0.0,0.0,1.2,0.0008,0.0008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-14,4160.0,4260.0,4130.0,4250.0,186937300,6.7,-0.7935,0.0,55.1,7.8,-4.5,0.0,0.0,8.1,6.7,-17.0,23.1,0.0,0.0,21.5,-3.1,5.3,33.8,27.6,0.0,9.1,0.0,46.6,6.2,0.0,0.0,0.0,-111.1,0.0,-1.5,-55.4,-170.4,0.0,4.3,3.8,0.0,0.0,7.5,6.7,55.3,-0.2192,3.4,-0.1996,-0.3321,0.0,-1.3,0.0,0.0,0.0,-3.4,0.0,0.0,0.0,0.0,2.5,10.0,2.5,5.6,3.0,0.0,0.0,2.1,-0.0125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-15,4200.0,4270.0,4170.0,4220.0,145283200,0.9389,-3.0,0.0,-19.0,-7.4,0.0,0.0,0.0004,-7.9,0.0,-3.0,-24.2,0.0,0.0,-26.1,-17.6,-7.7,-29.6,29.0,-6.4,4.5,-3.7,10.0,1.7,0.0,0.2639,-1.6,-52.9,0.3929,12.3,158.5,-71.1,0.0,47.5,-4.3,0.0,0.0,-9.3,-5.3,40.4,-1.3,-7.5,-5.5,0.7389,0.0,-2.1,0.0,0.0,0.0,1.1,0.0,-1.9,0.0,1.9,0.0004,6.3,-14.7,-0.9054,20.1,0.0105,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-16,4310.0,4310.0,4220.0,4240.0,103434900,-7.1,-6.3,0.0,-53.7,2.8,-1.1,0.0,0.0086,-3.9,0.0,-17.5,-17.3,0.0,-0.7167,-9.0,-5.4,-5.8,-23.8,1.7,-0.7138,-3.1,-3.3,-3.6,-0.5121,0.9926,0.0,-15.8,10.4,0.0,4.7,106.6,22.2,0.0,2.1,-1.3,0.0004,0.0,-6.4,-3.1,43.1,0.0,-5.2,0.0,-0.4811,0.0,0.0,0.4481,0.0342,-2.1,1.6,1.1,5.3,0.0086,-3.2,0.0004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-17,4480.0,4490.0,4270.0,4310.0,258763500,-30.1,-1.4,0.2183,-73.6,-18.0,-11.6,0.0596,0.0187,-10.5,16.1,-24.4,-56.8,0.7214,4.0,-21.7,29.5,-3.7,-55.2,-18.8,-9.1,12.1,-11.6,6.9,-4.4,-1.7,-1.5,3.0,155.6,0.2954,81.7,108.6,-93.1,0.023,-20.0,-3.2,0.2032,-1.3,5.4,1.1,90.2,-6.7,-46.8,22.1,1.8,-6.1,-2.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,4450.0,4520.0,4420.0,4480.0,197096400,7.5,4.9,0.0,-36.2,9.9,0.0,0.0,0.0,2.1,0.0,39.1,2.5,0.0,4.9,27.1,1.7,4.7,52.8,-2.5,0.0,-0.1922,2.2,-3.6,-0.5267,1.0,0.0,-4.4,-50.0,0.0,1.4,-98.3,-151.4,0.0,-9.4,1.5,0.0,0.0,11.7,4.5,159.4,0.0,9.2,-1.7,-2.5,6.5,0.0,0.0,0.0,-0.0343,5.9,0.0,0.7567,0.0,-1.3,0.0,-0.0029,0.0,-6.0,0.0,0.0,1.1,0.0,1.8,0.0,0.0,0.0,0.0,-0.0448,0.0,-0.1062,0.0,0.0,-0.0083,0.0,-0.0067,-0.0009,-0.0005,2.0
2026-07-21,4480.0,4490.0,4430.0,4480.0,135068500,-2.9,9.8,0.0,-34.9,-2.2,0.1781,0.0,0.4341,2.4,0.0,4.3,-26.3,0.0,0.0979,-2.9,1.8,1.4,5.2,-8.9,-0.5479,-0.6141,0.7693,-1.8,-0.2086,-0.2463,0.0,-0.3298,18.0,0.0833,-60.6,-58.2,47.8,0.0,0.8331,-0.5872,0.0,0.0,-0.249,-1.3,161.9,2.1,0.0,-6.6,-0.1282,3.1,0.0,0.0,0.0,0.0,0.1888,15.6,-73.3,0.2646,2.0,0.0,0.0,-0.2303,0.0,5.2,-0.1561,0.0,0.0,-0.447,0.0,0.0,0.0,-0.3984,0.0,0.0,0.0,0.0921,0.089,-0.1675,0.757,0.0,0.0,0.0,0.0
2026-07-22,4420.0,4490.0,4410.0,4490.0,93136600,-1.8,2.2,0.0,-1.0,4.2,0.8017,0.0,-2.7,-3.1,-0.0111,10.8,1.4,0.0,0.0,1.3,-1.5,3.1,6.8,1.4,0.3138,-5.2,0.1889,-5.3,-0.9234,-0.0868,-0.1982,0.3611,-10.5,0.4417,-39.8,-31.0,59.6,-0.0267,-3.3,-0.6365,0.0,0.0,-33.8,4.9,29.6,-0.2641,5.4,-1.7,0.349,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.443,0.443,0.0,0.2892,-0.7332,4.3,0.0,1.0,0.0,0.0,0.0,-0.0044,0.0,-0.1116,0.0,0.0,0.0,-0.2232,0.1105,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-23,4380.0,4470.0,4330.0,4450.0,160468800,2.6,3.4,0.0,-15.8,-1.2,0.7428,0.0,0.0,-0.1002,-4.6,11.9,-10.0,0.0,8.3,-1.7,17.5,-3.5,5.4,6.3,0.0,3.6,2.2,-2.4,-0.7382,0.2153,-1.8,2.0,28.2,0.0,11.3,-30.7,16.8,-0.0304,-14.6,0.5516,-0.004,0.0,4.1,1.3,-44.3,2.3,0.6299,8.0,0.0,-4.4,0.0,0.0,0.0,0.0,-2.5,0.0,0.3776,0.0,0.0,0.0,0.0,0.2281,0.0,0.1518,0.0,-0.4439,0.0,0.0,0.0,0.0,0.0,-0.0825,-0.2357,-0.0002,0.181,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-24,4130.0,4290.0,4120.0,4280.0,403126400,-101.9,17.4,0.0,130.6,24.6,3.1,0.0,0.0,19.6,0.0,56.6,145.5,0.0,3.9,55.9,5.8,26.5,164.0,3.7,6.8,-24.8,16.4,-28.6,0.0,0.0,0.0,36.6,-30.3,0.0,-387.8,9.5,-267.8,0.0,15.2,9.7,0.0,0.0,18.5,8.0,-34.3,0.0,80.1,-31.9,0.0,7.7,0.0,0.0,0.0,0.0,10.4,0.0,0.0,0.0,3.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
