Date,Close,High,Low,Open,Volume,NI,RO,XA,CC,OD,DR,SQ,YP,HP,XC,LG,KK,XL,ZP,EP,TP,DH,PD,BQ,MG,KI,GR,HD,DX,CP,GI,AT,AI,AG,LS,QA,FS,AZ,AF,YU,PC,YB,IF,FZ,YJ,AK,ID,CD
2026-07-13,189.0,196.0,188.0,190.0,1372600,-0.006,300.0,0.0,0.0162,-0.0001,0.0004,0.0065,-0.0066,0.0,0.0027,0.0019,0.0021,-0.0165,0.0,0.0002,0.0,-0.0001,-0.002,-0.0003,0.0,0.0001,0.0,0.0001,0.0,0.0,0.0005,0.0009,0.0,0.0,-0.0001,0.0,0.0,0.0,0.189,0.0,0.0,0.0,0.0,-0.189,0.0,0.0,0.0,0.0
2026-07-14,190.0,191.0,188.0,189.0,345000,-0.0014,0.0001,0.0,0.0104,-0.0184,0.0,-0.0208,0.0035,0.0,0.0067,0.0009,0.0138,0.0143,0.0,0.0,0.0,-0.0014,0.002,0.0,0.0,0.0,0.0028,-0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0122,-0.0004,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-15,190.0,193.0,188.0,190.0,1628700,0.0146,0.0,0.0,-0.0025,-0.045,0.0,0.0014,0.0428,0.0,-0.005,0.0014,-0.0051,-0.0014,-0.0004,-0.0034,0.0261,0.0189,0.0032,0.0,0.0,0.0001,0.0005,0.0,0.0,0.0,0.0,0.0,-0.1893,0.0,0.0,-0.0,-0.001,0.0002,0.1437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-16,189.0,191.0,187.0,190.0,1075100,-0.0019,0.0006,0.0,0.0428,-0.0224,0.0271,0.0072,0.0194,0.0,0.0111,0.0,-0.1099,-0.0025,0.0031,0.0,0.0009,0.0143,0.004,0.0,0.0,-0.0002,0.0047,0.0001,0.0,0.0189,0.0,0.0,-0.0176,0.0,0.0002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-17,190.0,193.0,187.0,189.0,3406400,0.0017,0.0002,0.0,-0.0258,-0.03,0.03,0.1478,0.0297,0.0016,0.0086,-0.0004,-0.0778,-0.0055,-0.0159,0.0002,-0.0088,-0.023,-0.0035,0.0,0.0,-0.0001,0.0002,-0.0001,-0.0477,0.0186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,191.0,192.0,190.0,191.0,578000,0.0016,0.0,0.0,-0.0114,-0.0049,0.0029,-0.0086,0.0357,0.0,0.0178,-0.0009,0.0001,-0.0082,0.0,0.0,0.001,-0.011,-0.0165,0.0,0.0,0.0,0.002,-0.0001,0.0,0.0001,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0004,0.0,100.0,0.0,0.0,0.0,0.0,0.0,-0.0
2026-07-21,191.0,192.0,189.0,191.0,498500,-0.0006,-0.0003,0.0002,0.0166,-0.0015,0.0,0.0058,0.0089,-0.0017,-0.0029,0.0001,0.0002,-0.0108,0.0001,-0.0001,0.0,-0.0324,-0.0001,0.0,0.0,0.0,0.0191,0.0001,0.0,-0.0006,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-22,191.0,192.0,189.0,191.0,150300,0.0079,-0.0008,0.0,0.0063,-100.0,0.0,-0.0067,0.0005,0.0,0.0011,0.0003,0.001,-0.0038,0.0001,-0.0002,-0.0023,-0.0,-0.0007,-0.0,0.0,-0.0,-0.0,0.0001,0.0,-0.0028,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-23,191.0,192.0,190.0,190.0,626500,0.0017,-0.0002,0.0,0.026,-0.018,0.0,-0.0149,0.0007,0.0,0.0092,0.0007,-0.0027,0.02,0.0003,0.0,-0.019,0.0,-0.0036,0.0,0.0,0.0,0.0,-0.0001,0.0,-0.0024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0001,-0.0,0.0
2026-07-24,189.0,191.0,187.0,191.0,1728000,-0.0008,0.0001,0.0,0.006,-0.0001,0.0002,-0.0092,-0.0425,0.0,-0.0174,0.0003,0.0002,-0.0203,0.0009,0.001,0.0,0.0392,0.0047,0.0,0.0,0.019,0.0028,0.0001,0.0,0.0206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.188,0.0,0.0,0.0056,0.0003,-0.1989,0.0,0.0,0.0,0.0
