Date,Close,High,Low,Open,Volume,XC,YU,SQ,LG,IH,AZ,XA,KK,ZP,AT,KI,AK,OD,EP,XL,AI,YP,CC,TP,YB,CD,NI,BQ,GR,PD,HD,RO,DR,PO,MG,HP,YO,PI,DH,AG,CP
2026-07-13,67.0,68.0,67.0,68.0,245700,0.0007,0.0,-0.0,0.0,0.0013,0.0,0.0,0.0081,0.0,0.0004,0.0,0.0025,0.0,0.0,-0.0004,0.0,-0.0026,0.0,0.0,0.0,0.0,0.0,-0.0001,0.0,0.0004,-0.0058,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0047,0.0,0.0
2026-07-14,67.0,68.0,67.0,68.0,1597300,-0.0012,0.0006,0.0,0.0,-0.0007,0.0,0.0006,-0.0007,0.0,0.0,0.0,0.0092,0.0,-0.0194,0.0517,0.0,0.0115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0019,-0.0214,0.0,-0.0334,0.0,0.0,0.0,0.0,0.0013,0.0,0.0,0.0
2026-07-15,68.0,68.0,67.0,67.0,1207100,0.0042,0.0004,0.0007,-0.0334,0.0007,0.0,0.0001,-0.006,0.0,0.0,0.0,0.0088,0.0004,-0.0097,0.0018,0.0,0.013,-0.0018,0.0,0.0015,0.0,0.0101,0.0,0.0,0.001,0.0,0.0001,0.0103,0.0,0.0027,0.0,-0.0007,-0.0014,0.0007,-0.0034,0.0
2026-07-16,68.0,68.0,67.0,68.0,485400,-0.0009,-0.0007,-0.0007,0.0,0.0,0.0,-0.0056,0.0091,0.0,-0.0001,0.0,0.0,-0.0003,0.0007,-0.0016,0.0,-0.0009,-0.0042,-0.0007,0.0,-0.0007,-0.0001,0.0,-0.0007,-0.0026,0.0201,-0.0002,0.0,-0.0007,-0.0023,-0.0067,0.0,0.0,0.0,0.0,0.0
2026-07-17,70.0,71.0,67.0,68.0,14919600,-0.0318,-0.0026,-0.0006,0.0002,-0.0035,0.005,-0.031,-0.0016,-0.0007,-0.0003,0.001,0.0072,0.0026,-0.0053,0.0943,-0.0007,-0.0034,0.0248,0.0155,0.007,-0.0263,0.0049,-0.0058,0.2679,-0.2118,-0.0207,-0.0706,-0.0137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,68.0,71.0,68.0,70.0,3694900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-21,68.0,69.0,68.0,68.0,2595900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-22,67.0,69.0,67.0,68.0,1660600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-23,68.0,70.0,67.0,68.0,6552100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-24,68.0,69.0,67.0,68.0,1555900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
