Date,Close,High,Low,Open,Volume,OD,XC,XL,YP,NI,DR,CC,AI
2026-07-13,1070.0,1125.0,1070.0,1125.0,200,0.0,0.0001,0.0,-0.0001,0.0,0.0,0.0,0.0
2026-07-14,1105.0,1110.0,1075.0,1110.0,2900,0.0,-0.0021,0.0016,0.0001,0.0,0.0,0.0002,0.0002
2026-07-15,1080.0,1130.0,1075.0,1105.0,2700,0.0001,0.0,-0.0003,-0.0022,0.0,0.0003,0.0021,0.0
2026-07-16,1080.0,1080.0,1080.0,1080.0,100,0.0,0.0,-0.0001,0.0,0.0001,0.0,0.0,0.0
2026-07-17,1090.0,1090.0,1090.0,1090.0,300,-0.0001,-0.0001,0.0003,-0.0001,0.0,0.0,0.0,0.0
2026-07-20,1100.0,1100.0,1080.0,1080.0,2000,,,,,,,,
2026-07-21,1105.0,1105.0,1100.0,1100.0,300,,,,,,,,
2026-07-22,1100.0,1115.0,1080.0,1115.0,3500,,,,,,,,
2026-07-23,1090.0,1165.0,1090.0,1110.0,23500,,,,,,,,
2026-07-24,1090.0,1115.0,1090.0,1100.0,12100,,,,,,,,
