Date,Close,High,Low,Open,Volume,OD,PD,XL,NI,XC,GR,CC,YP,AZ,KK,ZP
2026-07-13,890.0,900.0,870.0,890.0,6000,0.0004,0.0,-0.0046,0.0,0.0016,0.0,0.0015,0.001,0.0,0.0,0.0002
2026-07-14,870.0,885.0,860.0,875.0,11800,-0.0014,-0.0026,0.0031,0.0,-0.0011,0.0,0.0026,-0.0005,0.0,0.0,0.0
2026-07-15,885.0,885.0,870.0,870.0,600,0.0,0.0,-0.0001,0.0,0.0005,0.0,-0.0004,0.0,0.0,0.0,0.0
2026-07-16,895.0,940.0,870.0,885.0,26800,0.0093,-0.0007,-0.0001,0.0,-0.0023,-0.0052,-0.0011,-0.0001,0.0003,-0.0002,0.0
2026-07-17,880.0,895.0,875.0,895.0,2700,0.0001,-0.0021,0.0019,0.0002,-0.0001,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,900.0,920.0,880.0,885.0,13700,,,,,,,,,,,
2026-07-21,920.0,920.0,865.0,900.0,36700,,,,,,,,,,,
2026-07-22,910.0,925.0,885.0,920.0,25800,,,,,,,,,,,
2026-07-23,925.0,925.0,890.0,905.0,38700,,,,,,,,,,,
2026-07-24,920.0,920.0,905.0,905.0,1800,,,,,,,,,,,
