Date,Close,High,Low,Open,Volume,PI,CP,GR,YJ,XL,CC,YP,PD,DR,EP,IF,AO,KK,AG,EL,TS,SH,XC,SQ,TP,OD,BQ,IT,NI,YU,AZ,YB,HP,LG,IN,SA,HD,RB,DH,MG,XA,FS,AT,AI,FZ,PG,PC,RO,CD,ZP,KI,DU
2026-07-13,7400.0,7400.0,7125.0,7400.0,2824700,0.0,0.8285,0.234,-0.0018,6.8,0.4399,1.0,0.5658,-0.2616,0.0352,0.0,0.0,0.0755,-0.0,0.0,0.0,0.0,0.8794,0.7205,-0.2863,-0.3847,0.0043,0.0,0.1906,0.0007,-3.7,0.0842,0.027,-0.429,0.0,0.0,0.0356,0.0028,0.0093,-7.1,-0.8871,0.0,0.0143,1.1,0.0,0.0,0.0713,0.0002,0.0178,0.1391,0.0,-0.285
2026-07-14,7350.0,7425.0,7000.0,7425.0,2577100,0.0,7.9,-0.1807,0.0,1.4,0.2655,0.3877,-1.1,-0.0121,0.0837,0.0021,-0.5198,-0.0074,0.0,0.0,0.0,0.0,-0.1358,0.0725,0.0375,-0.3081,-0.0051,0.0,0.0938,0.1475,-0.319,0.0043,-0.1876,0.3599,0.0,-0.0015,-0.035,0.0,0.0029,-9.0,0.0086,0.175,-0.0148,0.0,0.1946,0.5845,0.0567,0.0042,0.0,0.0,0.0007,0.0
2026-07-15,6625.0,6925.0,6625.0,6925.0,2886200,0.0,0.0219,0.1314,0.0589,2.5,1.5,0.8712,0.2171,0.0816,0.0551,0.0,-0.0786,0.1297,0.0,-4.7,0.0,0.0,0.2992,0.3505,0.1745,0.0,0.0727,0.0,0.0567,0.0,-0.8045,0.6053,0.2838,0.439,-3.3,-0.0042,0.0,-0.165,-0.0159,0.907,-0.6119,0.0,0.0133,-0.8145,0.0,1.7,0.0168,0.0201,0.0173,0.0643,0.0,0.0
2026-07-16,5975.0,6550.0,5975.0,6550.0,6851900,0.0,12.4,0.0412,0.0,7.5,1.1,1.2,0.3099,0.0726,0.0717,1.4,-0.655,1.4,0.0,-4.8,0.0,0.0,0.2843,0.7605,0.3339,0.6754,-1.8,0.0,0.052,0.1822,-1.5,0.0487,-0.0143,0.6006,-9.3,-0.0393,0.0,0.0,0.0155,-10.0,-2.5,0.1195,0.0137,-0.3107,0.294,1.9,0.0066,0.0125,0.0,0.0,0.0,0.0
2026-07-17,6150.0,6150.0,5500.0,5650.0,10463100,-0.0003,3.1,1.8,3.6,10.4,1.7,1.9,0.4463,0.1783,0.6157,0.0946,0.0492,0.2862,0.1928,-47.9,1.1,-0.0923,1.5,0.2516,0.0585,0.5393,0.579,-0.226,0.0562,0.11,1.8,0.8467,-0.1208,-0.1133,-1.1,-0.0565,-0.0003,-0.039,0.0415,18.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,5750.0,6350.0,5600.0,6350.0,11350600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-21,6325.0,6325.0,5775.0,5775.0,3166300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-22,6200.0,6950.0,6200.0,6925.0,10854700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-23,6800.0,6800.0,6800.0,6800.0,5226200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-24,7475.0,7475.0,6775.0,6775.0,5489600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
