Date,Close,High,Low,Open,Volume,XC,YU,LG,IH,AZ,KZ,BS,AT,AK,EP,YP,DH,CC,YB,NI,DP,SQ,YJ,RO,KK,ZP,ZR,BB,AG,AI,KI,DX,BK,XL,OD,SH,MG,TP,IF,RX,AF,AO,BR,GR,FS,HP,PD,DR,XA,BQ,HD,QA,LS,YO,CP,SS,RG,CD,FZ,AR,RS,TF,OK,SF,RF
2026-07-13,725.0,735.0,720.0,725.0,44899800,-0.1141,-0.0204,-0.0443,0.0,0.0213,-0.3981,0.0,0.0368,-4.1,0.0,0.7875,0.2542,4.6,0.0489,-0.0575,0.0,0.101,0.144,0.0616,0.1207,5.1,0.0,0.137,-0.0276,0.1023,-0.0003,-10.8,-0.0573,0.4553,-0.8492,0.0,-0.0258,1.4,1.8,0.0,0.7235,0.0,0.0,0.0243,-0.0329,-0.0201,0.3209,0.031,0.0027,0.0312,-0.1222,0.0,0.0073,0.0,0.1657,0.0,0.0,0.0,0.0,0.0,-0.0073,0.0,0.0,-0.0014,0.0217
2026-07-14,730.0,745.0,720.0,730.0,58809400,0.291,0.7696,-0.036,0.0,0.059,11.2,0.0,0.0197,-1.7,-1.4,-0.4324,-0.0196,-0.8493,0.06,0.6225,0.0,0.1679,-1.1,-0.2259,-0.0097,4.1,0.0,0.0,0.0,-0.0266,0.1424,-11.2,1.6,1.2,0.0302,0.0,-0.1382,0.1442,0.001,0.0,0.4295,0.0,0.0,0.168,0.0,0.0,-4.8,-0.0265,0.0496,-0.042,0.0752,0.0058,0.0116,0.0,-0.1669,0.3679,0.0,-0.0001,0.0,0.0,0.6766,0.0007,0.0018,0.0,0.0
2026-07-15,705.0,735.0,700.0,735.0,156611300,1.8,5.2,0.8407,0.0,0.7703,-15.4,0.0,0.1998,-18.5,0.0,6.8,0.8191,-0.4471,0.2149,2.7,0.0,1.4,1.4,0.9067,1.1,7.3,0.0,-4.2,0.0,0.0,0.0,0.0,-1.1,7.0,-0.2754,0.0,1.1,1.0,0.0,0.0,0.2953,0.0,0.0,2.6,0.0,0.0,2.4,-9.0,0.0,0.4976,-0.0199,0.0,0.0,0.0,1.3,0.705,0.0,-1.1,0.2963,0.1773,0.0,0.0,0.0,0.0,0.0
2026-07-16,720.0,730.0,705.0,705.0,98438200,-0.302,1.4,0.1342,0.0,-9.7,6.9,-0.0001,-0.0716,-13.2,0.2102,-1.7,0.1918,9.5,-0.2173,0.4265,0.0,0.3761,-0.072,-0.2092,0.0294,11.9,0.0107,0.0,0.0,0.0362,-0.0545,-10.8,-0.6199,0.256,4.9,-0.0108,0.1455,-0.0479,0.0328,0.0,0.929,-0.072,0.144,0.0501,0.4913,0.0088,-0.2707,-0.0991,0.0533,-0.0557,-0.0036,0.0158,-0.084,0.036,-0.6853,0.0715,-0.0005,-0.0036,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-17,760.0,760.0,715.0,725.0,114748600,-0.2095,0.4198,0.2298,0.0105,5.8,0.0001,-0.9731,-0.217,-15.8,0.1086,-6.2,-0.1593,-1.3,-0.3497,-0.8576,-1.5,-0.3734,0.0332,-1.1,-0.1149,-0.6899,0.0075,25.1,0.8531,1.3,0.0431,-5.9,-0.6846,-0.5068,-0.1195,-0.0998,-0.0976,-1.1,1.0,0.6927,1.0,-0.1046,0.006,-0.4605,-0.1255,0.2685,2.8,-0.4721,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-20,770.0,775.0,750.0,760.0,84900400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-21,745.0,775.0,740.0,770.0,75672200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-22,730.0,745.0,725.0,740.0,82538000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-23,725.0,740.0,725.0,730.0,81978800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-24,720.0,725.0,710.0,725.0,48296500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
